# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=4
# keepX=263
# keepY=388
# nativeOrientation=6
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nizar6.aivjson
# aivJsonSha256=1d86b141261297706ad65f60d870a3ae30a8c0da05b6b3b1d4d923c702cb11ad
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=4
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=4
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=7.936
# afterScanMilliseconds=9.156
# changedLayerCells=248
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-230227-597-session006-p4-n04.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
255	388	151176	buildingId	0	241
256	388	151177	buildingId	0	241
257	388	151178	buildingId	0	241
258	388	151179	buildingId	0	241
259	388	151180	buildingId	0	241
260	388	151181	buildingId	0	241
261	388	151182	buildingId	0	241
263	388	151184	logic	32768	268468224
263	388	151184	buildingId	0	237
264	388	151185	logic	32768	268468224
264	388	151185	buildingId	0	237
265	388	151186	logic	32768	268468224
265	388	151186	buildingId	0	237
266	388	151187	logic	32768	268468224
266	388	151187	buildingId	0	237
267	388	151188	logic	32768	268468224
267	388	151188	buildingId	0	237
268	388	151189	logic	32768	268468224
268	388	151189	buildingId	0	237
269	388	151190	logic	32768	268468224
269	388	151190	buildingId	0	237
255	389	151955	buildingId	0	241
256	389	151956	buildingId	0	241
257	389	151957	buildingId	0	241
258	389	151958	buildingId	0	241
259	389	151959	buildingId	0	241
260	389	151960	buildingId	0	241
261	389	151961	buildingId	0	241
263	389	151963	logic	32768	268468224
263	389	151963	buildingId	0	237
264	389	151964	logic	32768	268468224
264	389	151964	buildingId	0	237
265	389	151965	logic	32768	268468224
265	389	151965	buildingId	0	237
266	389	151966	logic	32768	268468224
266	389	151966	buildingId	0	237
267	389	151967	logic	32768	268468224
267	389	151967	buildingId	0	237
268	389	151968	logic	32768	268468224
268	389	151968	buildingId	0	237
269	389	151969	logic	32768	268468224
269	389	151969	buildingId	0	237
255	390	152736	buildingId	0	241
256	390	152737	buildingId	0	241
257	390	152738	buildingId	0	241
258	390	152739	logic	32768	33792
258	390	152739	buildingId	0	241
259	390	152740	buildingId	0	241
260	390	152741	buildingId	0	241
261	390	152742	buildingId	0	241
262	390	152743	logic	32768	33792
262	390	152743	buildingId	0	238
263	390	152744	logic	0	268435456
263	390	152744	buildingId	0	237
264	390	152745	logic	0	268435456
264	390	152745	buildingId	0	237
265	390	152746	logic	0	268435456
265	390	152746	buildingId	0	237
266	390	152747	logic	0	268435456
266	390	152747	buildingId	0	237
267	390	152748	logic	0	268435456
267	390	152748	buildingId	0	237
268	390	152749	logic	32768	268468224
268	390	152749	buildingId	0	237
269	390	152750	logic	32768	268468224
269	390	152750	buildingId	0	237
255	391	153519	buildingId	0	241
256	391	153520	buildingId	0	241
257	391	153521	logic	32768	33792
257	391	153521	buildingId	0	241
258	391	153522	logic	32768	33792
258	391	153522	buildingId	0	241
259	391	153523	logic	32768	33792
259	391	153523	buildingId	0	241
260	391	153524	buildingId	0	241
261	391	153525	buildingId	0	241
262	391	153526	buildingId	0	239
263	391	153527	logic	0	268435456
263	391	153527	buildingId	0	237
264	391	153528	logic	32768	268468224
264	391	153528	buildingId	0	237
265	391	153529	logic	32768	268468224
265	391	153529	buildingId	0	237
266	391	153530	logic	32768	268468224
266	391	153530	buildingId	0	237
267	391	153531	logic	0	268435456
267	391	153531	buildingId	0	237
268	391	153532	logic	32768	268468224
268	391	153532	buildingId	0	237
269	391	153533	logic	32768	268468224
269	391	153533	buildingId	0	237
255	392	154304	buildingId	0	241
256	392	154305	buildingId	0	241
257	392	154306	buildingId	0	241
258	392	154307	logic	32768	33792
258	392	154307	buildingId	0	241
259	392	154308	buildingId	0	241
260	392	154309	buildingId	0	241
261	392	154310	buildingId	0	241
262	392	154311	logic	32768	33792
262	392	154311	buildingId	0	240
263	392	154312	logic	0	268435456
263	392	154312	buildingId	0	237
264	392	154313	logic	32768	268468224
264	392	154313	buildingId	0	237
265	392	154314	logic	32768	268468224
265	392	154314	buildingId	0	237
266	392	154315	logic	32768	268468224
