# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=5
# keepX=277
# keepY=437
# nativeOrientation=6
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
468	before	0	0	0	0	0	0	0	0	0
468	after	1	41	5	6940	6940	188908	7	277	437
469	before	0	0	0	0	0	0	0	0	0
469	after	1	71	5	6941	6940	190355	1	276	439
470	before	0	0	0	0	0	0	0	0	0
470	after	1	73	5	6942	6940	191076	1	276	440
471	before	0	0	0	0	0	0	0	0	0
471	after	1	72	5	6943	6940	191795	1	276	441
472	before	0	0	0	0	0	0	0	0	0
472	after	1	55	5	6944	6940	188900	7	269	437
473	before	0	0	0	0	0	0	0	0	0
473	after	1	10	5	6945	6945	193941	2	277	444
474	before	0	0	0	0	0	0	0	0	0
474	after	1	10	5	6946	6945	193944	2	280	444
475	before	0	0	0	0	0	0	0	0	0
475	after	1	10	5	6947	6945	196068	2	277	447
476	before	0	0	0	0	0	0	0	0	0
476	after	1	10	5	6948	6945	196071	2	280	447
