# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=2
# keepX=391
# keepY=533
# nativeOrientation=0
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
10	before	0	0	0	0	0	0	0	0	0
10	after	1	41	2	6242	6242	249502	7	391	533
11	before	0	0	0	0	0	0	0	0	0
11	after	1	71	2	6243	6242	253193	1	393	540
12	before	0	0	0	0	0	0	0	0	0
12	after	1	73	2	6244	6242	253194	1	394	540
13	before	0	0	0	0	0	0	0	0	0
13	after	1	72	2	6245	6242	253195	1	395	540
14	before	0	0	0	0	0	0	0	0	0
14	after	1	55	2	6246	6242	253710	7	391	541
15	before	0	0	0	0	0	0	0	0	0
15	after	1	10	2	6247	6247	250573	2	398	535
16	before	0	0	0	0	0	0	0	0	0
16	after	1	10	2	6248	6247	250576	2	401	535
17	before	0	0	0	0	0	0	0	0	0
17	after	1	10	2	6249	6247	252154	2	398	538
18	before	0	0	0	0	0	0	0	0	0
18	after	1	10	2	6250	6247	252157	2	401	538
