# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=4
# keepX=263
# keepY=388
# nativeOrientation=6
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=1d86b141261297706ad65f60d870a3ae30a8c0da05b6b3b1d4d923c702cb11ad
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
62	before	0	0	0	0	0	0	0	0	0
62	after	1	41	4	6296	6296	151184	7	263	388
63	before	0	0	0	0	0	0	0	0	0
63	after	1	71	4	6297	6296	152743	1	262	390
64	before	0	0	0	0	0	0	0	0	0
64	after	1	73	4	6298	6296	153526	1	262	391
65	before	0	0	0	0	0	0	0	0	0
65	after	1	72	4	6299	6296	154311	1	262	392
66	before	0	0	0	0	0	0	0	0	0
66	after	1	55	4	6300	6296	151176	7	255	388
67	before	0	0	0	0	0	0	0	0	0
67	after	1	10	4	6301	6301	156679	2	263	395
68	before	0	0	0	0	0	0	0	0	0
68	after	1	10	4	6302	6301	156682	2	266	395
69	before	0	0	0	0	0	0	0	0	0
69	after	1	10	4	6303	6301	159064	2	263	398
70	before	0	0	0	0	0	0	0	0	0
70	after	1	10	4	6304	6301	159067	2	266	398
