# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=6
# keepX=495
# keepY=328
# nativeOrientation=4
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
156	before	0	0	0	0	0	0	0	0	0
156	after	1	41	6	6566	6566	108336	7	495	328
169	before	0	0	0	0	0	0	0	0	0
169	after	1	71	6	6567	6566	107683	1	499	327
170	before	0	0	0	0	0	0	0	0	0
170	after	1	73	6	6568	6566	107682	1	498	327
171	before	0	0	0	0	0	0	0	0	0
171	after	1	72	6	6569	6566	107681	1	497	327
266	before	0	0	0	0	0	0	0	0	0
266	after	1	55	6	6570	6566	103136	7	495	320
267	before	0	0	0	0	0	0	0	0	0
267	after	1	10	6	6571	6571	108331	2	490	328
268	before	0	0	0	0	0	0	0	0	0
268	after	1	10	6	6572	6571	108334	2	493	328
320	before	0	0	0	0	0	0	0	0	0
320	after	1	10	6	6573	6571	110314	2	490	331
321	before	0	0	0	0	0	0	0	0	0
321	after	1	10	6	6574	6571	110317	2	493	331
