# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=7
# keepX=452
# keepY=502
# nativeOrientation=2
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
371	before	0	0	0	0	0	0	0	0	0
371	after	1	41	7	6625	6625	232048	7	452	502
372	before	0	0	0	0	0	0	0	0	0
372	after	1	71	7	6626	6625	234423	1	459	506
373	before	0	0	0	0	0	0	0	0	0
373	after	1	73	7	6627	6625	233834	1	459	505
374	before	0	0	0	0	0	0	0	0	0
374	after	1	72	7	6628	6625	233243	1	459	504
375	before	0	0	0	0	0	0	0	0	0
375	after	1	55	7	6629	6625	232056	7	460	502
376	before	0	0	0	0	0	0	0	0	0
376	after	1	10	7	6630	6630	229045	2	454	497
377	before	0	0	0	0	0	0	0	0	0
377	after	1	10	7	6631	6630	229048	2	457	497
378	before	0	0	0	0	0	0	0	0	0
378	after	1	10	7	6632	6630	230854	2	454	500
379	before	0	0	0	0	0	0	0	0	0
379	after	1	10	7	6633	6630	230857	2	457	500
