# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=4
# keepX=599
# keepY=311
# nativeOrientation=4
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=1d86b141261297706ad65f60d870a3ae30a8c0da05b6b3b1d4d923c702cb11ad
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
23	before	0	0	0	0	0	0	0	0	0
23	after	1	41	4	465653	465653	97543	7	599	311
24	before	0	0	0	0	0	0	0	0	0
24	after	1	71	4	465654	465653	96924	1	603	310
25	before	0	0	0	0	0	0	0	0	0
25	after	1	73	4	465655	465653	96923	1	602	310
26	before	0	0	0	0	0	0	0	0	0
26	after	1	72	4	465656	465653	96922	1	601	310
27	before	0	0	0	0	0	0	0	0	0
27	after	1	55	4	465657	465653	92615	7	599	303
28	before	0	0	0	0	0	0	0	0	0
28	after	1	10	4	465658	465658	97538	2	594	311
29	before	0	0	0	0	0	0	0	0	0
29	after	1	10	4	465659	465658	97541	2	597	311
30	before	0	0	0	0	0	0	0	0	0
30	after	1	10	4	465660	465658	99419	2	594	314
31	before	0	0	0	0	0	0	0	0	0
31	after	1	10	4	465661	465658	99422	2	597	314
