# capturedAtLocal=2026-09-24T22:59:22.9061826+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=6
# candidateId=0
# aivName=Default 1
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# orientation=4
# originX=398
# originY=593
# keepX=441
# keepY=636
# evaluatedCells=2616
# nativeBlockedCells=3
# resultGridBlockedCells=0
# validatorCalls=2613
# validatorBlockedCells=0
# preValidatorBlockedCells=3
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
12	81	479	605	110	110	131	0	False
12	82	480	605	110	110	131	0	False
12	83	481	605	110	110	131	0	False
13	21	419	606	110	110	137	0	False
13	22	420	606	110	110	137	0	False
13	23	421	606	110	110	137	0	False
13	80	478	606	26	26	156	0	False
13	81	479	606	110	110	131	0	False
13	82	480	606	110	110	131	0	False
13	83	481	606	110	110	131	0	False
14	21	419	607	110	110	137	0	False
14	22	420	607	110	110	137	0	False
14	23	421	607	110	110	137	0	False
14	24	422	607	26	26	152	0	False
14	69	467	607	169	169	67	0	False
14	70	468	607	169	169	67	0	False
14	71	469	607	169	169	67	0	False
14	72	470	607	169	169	67	0	False
14	79	477	607	26	26	156	0	False
14	80	478	607	25	25	129	0	False
14	81	479	607	110	110	131	0	False
14	82	480	607	110	110	131	0	False
14	83	481	607	110	110	131	0	False
15	21	419	608	110	110	137	0	False
15	22	420	608	110	110	137	0	False
15	23	421	608	110	110	137	0	False
15	24	422	608	25	25	133	0	False
15	25	423	608	26	26	152	0	False
15	32	430	608	169	169	70	0	False
15	33	431	608	169	169	70	0	False
15	34	432	608	169	169	70	0	False
15	35	433	608	169	169	70	0	False
15	42	440	608	146	146	27	0	False
15	43	441	608	146	146	27	0	False
15	44	442	608	146	146	27	0	False
15	45	443	608	146	146	27	0	False
15	46	444	608	146	146	27	0	False
15	47	445	608	146	146	27	0	False
15	48	446	608	146	146	27	0	False
15	50	448	608	114	114	50	0	False
15	51	449	608	114	114	50	0	False
15	52	450	608	114	114	50	0	False
15	53	451	608	114	114	50	0	False
15	54	452	608	114	114	50	0	False
15	55	453	608	114	114	50	0	False
15	57	455	608	146	146	49	0	False
15	58	456	608	146	146	49	0	False
15	59	457	608	146	146	49	0	False
15	60	458	608	146	146	49	0	False
15	61	459	608	146	146	49	0	False
15	62	460	608	146	146	49	0	False
15	63	461	608	146	146	49	0	False
15	69	467	608	169	169	67	0	False
15	70	468	608	169	169	67	0	False
15	71	469	608	169	169	67	0	False
15	72	470	608	169	169	67	0	False
15	78	476	608	26	26	156	0	False
15	79	477	608	25	25	129	0	False
15	80	478	608	25	25	126	0	False
15	81	479	608	25	25	127	0	False
15	82	480	608	26	26	157	0	False
16	22	420	609	26	26	165	0	False
16	23	421	609	25	25	135	0	False
16	24	422	609	25	25	132	0	False
16	25	423	609	25	25	133	0	False
16	26	424	609	26	26	152	0	False
16	32	430	609	169	169	70	0	False
16	33	431	609	169	169	70	0	False
16	34	432	609	169	169	70	0	False
16	35	433	609	169	169	70	0	False
16	40	438	609	26	26	149	0	False
16	41	439	609	26	26	149	0	False
16	42	440	609	146	146	27	0	False
16	43	441	609	146	146	27	0	False
16	44	442	609	146	146	27	0	False
16	45	443	609	146	146	27	0	False
16	46	444	609	146	146	27	0	False
16	47	445	609	146	146	27	0	False
16	48	446	609	146	146	27	0	False
16	49	447	609	26	26	147	0	False
16	50	448	609	114	114	50	0	False
16	51	449	609	114	114	50	0	False
16	52	450	609	114	114	50	0	False
16	53	451	609	114	114	50	0	False
16	54	452	609	114	114	50	0	False
16	55	453	609	114	114	50	0	False
16	56	454	609	26	26	148	0	False
16	57	455	609	146	146	49	0	False
16	58	456	609	146	146	49	0	False
16	59	457	609	146	146	49	0	False
16	60	458	609	146	146	49	0	False
16	61	459	609	146	146	49	0	False
16	62	460	609	146	146	49	0	False
16	63	461	609	146	146	49	0	False
16	64	462	609	26	26	153	0	False
16	65	463	609	26	26	153	0	False
16	69	467	609	169	169	67	0	False
16	70	468	609	169	169	67	0	False
16	71	469	609	169	169	67	0	False
16	72	470	609	169	169	67	0	False
16	77	475	609	26	26	156	0	False
16	78	476	609	25	25	129	0	False
16	79	477	609	25	25	126	0	False
16	80	478	609	25	25	127	0	False
16	81	479	609	26	26	157	0	False
17	23	421	610	26	26	165	0	False
17	24	422	610	25	25	135	0	False
17	25	423	610	25	25	132	0	False
17	26	424	610	25	25	133	0	False
17	27	425	610	26	26	152	0	False
17	32	430	610	169	169	70	0	False
17	33	431	610	169	169	70	0	False
17	34	432	610	169	169	70	0	False
17	35	433	610	169	169	70	0	False
17	39	437	610	26	26	150	0	False
17	40	438	610	25	25	75	0	False
17	41	439	610	25	25	75	0	False
17	42	440	610	146	146	27	0	False
17	43	441	610	146	146	27	0	False
17	44	442	610	146	146	27	0	False
17	45	443	610	146	146	27	0	False
17	46	444	610	146	146	27	0	False
17	47	445	610	146	146	27	0	False
17	48	446	610	146	146	27	0	False
17	49	447	610	25	25	74	0	False
17	50	448	610	114	114	50	0	False
17	51	449	610	114	114	50	0	False
17	52	450	610	114	114	50	0	False
17	53	451	610	114	114	50	0	False
17	54	452	610	114	114	50	0	False
17	55	453	610	114	114	50	0	False
17	56	454	610	25	25	73	0	False
17	57	455	610	146	146	49	0	False
17	58	456	610	146	146	49	0	False
17	59	457	610	146	146	49	0	False
17	60	458	610	146	146	49	0	False
17	61	459	610	146	146	49	0	False
17	62	460	610	146	146	49	0	False
17	63	461	610	146	146	49	0	False
17	64	462	610	25	25	89	0	False
17	65	463	610	25	25	88	0	False
17	66	464	610	26	26	154	0	False
17	69	467	610	169	169	67	0	False
17	70	468	610	169	169	67	0	False
17	71	469	610	169	169	67	0	False
17	72	470	610	169	169	67	0	False
17	76	474	610	26	26	156	0	False
17	77	475	610	25	25	129	0	False
17	78	476	610	25	25	126	0	False
17	79	477	610	25	25	127	0	False
17	80	478	610	26	26	157	0	False
18	24	422	611	26	26	165	0	False
18	25	423	611	25	25	135	0	False
18	26	424	611	25	25	132	0	False
18	27	425	611	25	25	133	0	False
18	28	426	611	26	26	152	0	False
18	32	430	611	169	169	70	0	False
18	33	431	611	169	169	70	0	False
18	34	432	611	169	169	70	0	False
18	35	433	611	169	169	70	0	False
18	38	436	611	26	26	150	0	False
18	39	437	611	25	25	76	0	False
18	40	438	611	25	25	28	0	False
18	41	439	611	25	25	28	0	False
18	42	440	611	146	146	27	0	False
