# capturedAtLocal=2026-09-24T22:59:28.5053184+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=8
# candidateId=0
# aivName=Default 5
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# orientation=4
# originX=295
# originY=138
# keepX=338
# keepY=181
# evaluatedCells=2077
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=2077
# validatorBlockedCells=0
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
26	49	344	164	26	26	136	0	False
26	50	345	164	26	26	135	0	False
26	51	346	164	26	26	135	0	False
26	52	347	164	26	26	135	0	False
26	53	348	164	26	26	135	0	False
26	54	349	164	26	26	135	0	False
26	55	350	164	26	26	135	0	False
26	56	351	164	26	26	135	0	False
26	57	352	164	26	26	135	0	False
26	58	353	164	26	26	135	0	False
26	59	354	164	26	26	135	0	False
26	60	355	164	26	26	135	0	False
26	61	356	164	26	26	135	0	False
26	62	357	164	26	26	135	0	False
26	63	358	164	26	26	135	0	False
26	64	359	164	26	26	135	0	False
26	65	360	164	26	26	135	0	False
26	66	361	164	26	26	135	0	False
26	67	362	164	26	26	135	0	False
26	68	363	164	26	26	135	0	False
26	69	364	164	26	26	134	0	False
27	39	334	165	26	26	98	0	False
27	40	335	165	26	26	96	0	False
27	41	336	165	26	26	96	0	False
27	42	337	165	26	26	96	0	False
27	43	338	165	26	26	96	0	False
27	44	339	165	26	26	96	0	False
27	45	340	165	26	26	96	0	False
27	46	341	165	26	26	96	0	False
27	49	344	165	26	26	136	0	False
27	50	345	165	25	25	64	0	False
27	51	346	165	25	25	64	0	False
27	52	347	165	25	25	64	0	False
27	53	348	165	25	25	64	0	False
27	54	349	165	25	25	64	0	False
27	55	350	165	25	25	64	0	False
27	56	351	165	25	25	64	0	False
27	57	352	165	25	25	64	0	False
27	58	353	165	25	25	64	0	False
27	59	354	165	25	25	64	0	False
27	60	355	165	25	25	64	0	False
27	61	356	165	25	25	64	0	False
27	62	357	165	25	25	64	0	False
27	63	358	165	25	25	64	0	False
27	64	359	165	25	25	64	0	False
27	65	360	165	25	25	64	0	False
27	66	361	165	25	25	64	0	False
27	67	362	165	25	25	64	0	False
27	68	363	165	25	25	65	0	False
27	69	364	165	26	26	134	0	False
28	39	334	166	26	26	98	0	False
28	40	335	166	113	113	66	0	False
28	41	336	166	113	113	66	0	False
28	42	337	166	113	113	66	0	False
28	43	338	166	113	113	66	0	False
28	44	339	166	113	113	66	0	False
28	45	340	166	113	113	66	0	False
28	46	341	166	26	26	95	0	False
28	49	344	166	26	26	100	0	False
28	50	345	166	25	25	63	0	False
28	51	346	166	25	25	25	0	False
28	52	347	166	25	25	25	0	False
28	53	348	166	25	25	25	0	False
28	54	349	166	25	25	25	0	False
28	55	350	166	25	25	25	0	False
28	56	351	166	25	25	25	0	False
28	57	352	166	25	25	25	0	False
28	58	353	166	25	25	25	0	False
28	59	354	166	25	25	25	0	False
28	60	355	166	25	25	25	0	False
28	61	356	166	25	25	25	0	False
28	62	357	166	25	25	25	0	False
28	63	358	166	25	25	25	0	False
28	64	359	166	25	25	25	0	False
28	65	360	166	25	25	25	0	False
28	66	361	166	25	25	25	0	False
28	67	362	166	25	25	26	0	False
28	68	363	166	25	25	65	0	False
28	69	364	166	26	26	134	0	False
29	39	334	167	26	26	98	0	False
29	40	335	167	113	113	66	0	False
29	41	336	167	113	113	66	0	False
29	42	337	167	113	113	66	0	False
29	43	338	167	113	113	66	0	False
29	44	339	167	113	113	66	0	False
29	45	340	167	113	113	66	0	False
29	46	341	167	26	26	95	0	False
29	49	344	167	26	26	100	0	False
29	50	345	167	25	25	63	0	False
29	51	346	167	25	25	16	0	False
29	52	347	167	25	25	89	0	False
29	53	348	167	95	95	109	0	False
29	54	349	167	95	95	109	0	False
29	55	350	167	95	95	109	0	False
29	56	351	167	95	95	109	0	False
29	57	352	167	95	95	109	0	False
29	58	353	167	95	95	109	0	False
29	61	356	167	95	95	42	0	False
29	62	357	167	95	95	42	0	False
29	63	358	167	95	95	42	0	False
29	64	359	167	95	95	42	0	False
29	65	360	167	95	95	42	0	False
29	66	361	167	95	95	42	0	False
29	67	362	167	25	25	26	0	False
29	68	363	167	25	25	65	0	False
29	69	364	167	26	26	134	0	False
30	39	334	168	26	26	97	0	False
30	40	335	168	113	113	66	0	False
30	41	336	168	113	113	66	0	False
30	42	337	168	113	113	66	0	False
30	43	338	168	113	113	66	0	False
30	44	339	168	113	113	66	0	False
30	45	340	168	113	113	66	0	False
30	46	341	168	26	26	94	0	False
30	49	344	168	26	26	100	0	False
30	50	345	168	25	25	63	0	False
30	51	346	168	25	25	16	0	False
30	52	347	168	25	25	89	0	False
30	53	348	168	95	95	109	0	False
30	54	349	168	95	95	109	0	False
30	55	350	168	95	95	109	0	False
30	56	351	168	95	95	109	0	False
30	57	352	168	95	95	109	0	False
30	58	353	168	95	95	109	0	False
30	61	356	168	95	95	42	0	False
30	62	357	168	95	95	42	0	False
30	63	358	168	95	95	42	0	False
30	64	359	168	95	95	42	0	False
30	65	360	168	95	95	42	0	False
30	66	361	168	95	95	42	0	False
30	67	362	168	25	25	26	0	False
30	68	363	168	25	25	65	0	False
30	69	364	168	26	26	134	0	False
31	39	334	169	26	26	101	0	False
31	40	335	169	113	113	66	0	False
31	41	336	169	113	113	66	0	False
31	42	337	169	113	113	66	0	False
31	43	338	169	113	113	66	0	False
31	44	339	169	113	113	66	0	False
