# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=4
# keepX=599
# keepY=311
# nativeOrientation=4
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=1d86b141261297706ad65f60d870a3ae30a8c0da05b6b3b1d4d923c702cb11ad
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
195	before	0	0	0	0	0	0	0	0	0
195	after	1	41	4	466356	466356	97543	7	599	311
196	before	0	0	0	0	0	0	0	0	0
196	after	1	71	4	466357	466356	96924	1	603	310
197	before	0	0	0	0	0	0	0	0	0
197	after	1	73	4	466358	466356	96923	1	602	310
198	before	0	0	0	0	0	0	0	0	0
198	after	1	72	4	466359	466356	96922	1	601	310
199	before	0	0	0	0	0	0	0	0	0
199	after	1	55	4	466360	466356	92615	7	599	303
200	before	0	0	0	0	0	0	0	0	0
200	after	1	10	4	466361	466361	97538	2	594	311
201	before	0	0	0	0	0	0	0	0	0
201	after	1	10	4	466362	466361	97541	2	597	311
202	before	0	0	0	0	0	0	0	0	0
202	after	1	10	4	466363	466361	99419	2	594	314
203	before	0	0	0	0	0	0	0	0	0
203	after	1	10	4	466364	466361	99422	2	597	314
