# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=4
# keepX=599
# keepY=311
# nativeOrientation=4
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=4
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nizar6.aivjson
# aivJsonSha256=1d86b141261297706ad65f60d870a3ae30a8c0da05b6b3b1d4d923c702cb11ad
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=4
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=4
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.468
# afterScanMilliseconds=9.802
# changedLayerCells=437
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-225931-928-session002-p4-n04.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
599	297	89003	logic2	4	2
600	297	89004	logic2	4	2
601	297	89005	logic2	4	2
602	297	89006	logic2	4	2
603	297	89007	logic2	4	2
604	297	89008	logic2	4	2
605	297	89009	logic2	4	2
599	298	89600	logic2	4	2
600	298	89601	logic2	4	2
601	298	89602	logic2	4	2
602	298	89603	logic2	4	2
603	298	89604	logic2	4	2
604	298	89605	logic2	4	2
605	298	89606	logic2	4	2
606	298	89607	logic2	4	2
600	299	90200	logic2	4	2
601	299	90201	logic2	4	2
602	299	90202	logic2	4	2
603	299	90203	logic2	4	2
604	299	90204	logic2	4	2
605	299	90205	logic2	4	2
606	299	90206	logic2	4	2
607	299	90207	logic2	4	2
601	300	90802	logic2	4	2
602	300	90803	logic2	4	2
603	300	90804	logic2	4	2
604	300	90805	logic2	4	2
605	300	90806	logic2	4	2
606	300	90807	logic2	4	2
607	300	90808	logic2	4	2
608	300	90809	logic2	4	2
602	301	91406	logic2	4	2
603	301	91407	logic2	4	2
604	301	91408	logic2	4	2
605	301	91409	logic2	4	2
606	301	91410	logic2	4	2
607	301	91411	logic2	4	2
608	301	91412	logic2	4	2
609	301	91413	logic2	4	2
603	302	92012	logic2	4	2
604	302	92013	logic2	4	2
605	302	92014	logic2	4	2
606	302	92015	logic2	4	2
607	302	92016	logic2	4	2
608	302	92017	logic2	4	2
609	302	92018	logic2	4	2
610	302	92019	logic2	4	2
599	303	92615	buildingId	0	199
600	303	92616	buildingId	0	199
601	303	92617	buildingId	0	199
602	303	92618	buildingId	0	199
603	303	92619	buildingId	0	199
604	303	92620	logic2	4	2
604	303	92620	buildingId	0	199
605	303	92621	logic2	4	2
605	303	92621	buildingId	0	199
606	303	92622	logic2	4	2
607	303	92623	logic2	4	2
608	303	92624	logic2	4	2
609	303	92625	logic2	4	2
610	303	92626	logic2	4	2
611	303	92627	logic2	4	2
599	304	93224	buildingId	0	199
600	304	93225	buildingId	0	199
601	304	93226	buildingId	0	199
602	304	93227	buildingId	0	199
603	304	93228	buildingId	0	199
604	304	93229	buildingId	0	199
605	304	93230	logic2	4	2
605	304	93230	buildingId	0	199
606	304	93231	logic2	4	2
607	304	93232	logic2	4	2
608	304	93233	logic2	4	2
609	304	93234	logic2	4	2
610	304	93235	logic2	4	2
611	304	93236	logic2	4	2
599	305	93835	buildingId	0	199
600	305	93836	buildingId	0	199
601	305	93837	buildingId	0	199
602	305	93838	logic	0	1024
602	305	93838	buildingId	0	199
603	305	93839	buildingId	0	199
604	305	93840	buildingId	0	199
605	305	93841	logic2	4	2
605	305	93841	buildingId	0	199
606	305	93842	logic2	4	2
607	305	93843	logic2	4	2
608	305	93844	logic2	4	2
609	305	93845	logic2	4	2
610	305	93846	logic2	4	2
611	305	93847	logic2	4	2
599	306	94448	buildingId	0	199
600	306	94449	buildingId	0	199
601	306	94450	logic	0	1024
601	306	94450	buildingId	0	199
602	306	94451	logic	0	1024
602	306	94451	buildingId	0	199
603	306	94452	logic	0	1024
603	306	94452	buildingId	0	199
604	306	94453	buildingId	0	199
605	306	94454	logic2	4	2
605	306	94454	buildingId	0	199
606	306	94455	logic2	4	2
607	306	94456	logic2	4	2
608	306	94457	logic2	4	2
609	306	94458	logic2	4	2
610	306	94459	logic2	4	2
611	306	94460	logic2	4	2
599	307	95063	buildingId	0	199
600	307	95064	buildingId	0	199
601	307	95065	buildingId	0	199
602	307	95066	logic	32768	33792
602	307	95066	buildingId	0	199
603	307	95067	buildingId	0	199
604	307	95068	buildingId	0	199
605	307	95069	logic2	4	2
605	307	95069	buildingId	0	199
606	307	95070	logic2	4	2
607	307	95071	logic2	4	2
608	307	95072	logic2	4	2
609	307	95073	logic2	4	2
610	307	95074	logic2	4	2
611	307	95075	logic2	4	2
599	308	95680	buildingId	0	199
600	308	95681	buildingId	0	199
601	308	95682	buildingId	0	199
602	308	95683	buildingId	0	199
603	308	95684	buildingId	0	199
604	308	95685	buildingId	0	199
605	308	95686	logic2	4	2
605	308	95686	buildingId	0	199
606	308	95687	logic2	4	2
607	308	95688	logic2	4	2
608	308	95689	logic2	4	2
609	308	95690	logic2	4	2
610	308	95691	logic2	4	2
611	308	95692	logic2	4	2
599	309	96299	buildingId	0	199
600	309	96300	buildingId	0	199
601	309	96301	buildingId	0	199
602	309	96302	buildingId	0	199
603	309	96303	buildingId	0	199
604	309	96304	buildingId	0	199
605	309	96305	logic2	4	2
605	309	96305	buildingId	0	199
606	309	96306	logic2	4	2
607	309	96307	logic2	4	2
608	309	96308	logic2	4	2
609	309	96309	logic2	4	2
610	309	96310	logic2	4	2
611	309	96311	logic2	4	2
601	310	96922	logic	0	1024
601	310	96922	buildingId	0	198
602	310	96923	buildingId	0	197
603	310	96924	logic	0	1024
603	310	96924	buildingId	0	196
605	310	96926	logic2	4	2
606	310	96927	logic2	4	2
607	310	96928	logic2	4	2
608	310	96929	logic2	4	2
609	310	96930	logic2	4	2
610	310	96931	logic2	4	2
594	311	97538	logic	32768	34050
594	311	97538	buildingId	0	200
594	311	97538	height	80	90
594	311	97538	wallOwner	0	3
595	311	97539	logic	32768	34050
595	311	97539	buildingId	0	200
595	311	97539	height	80	90
595	311	97539	wallOwner	0	3
