# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=5
# keepX=376
# keepY=672
# nativeOrientation=0
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
695	before	0	0	0	0	0	0	0	0	0
695	after	1	41	5	466589	466589	304392	7	376	672
696	before	0	0	0	0	0	0	0	0	0
696	after	1	71	5	466590	466589	306137	1	378	679
697	before	0	0	0	0	0	0	0	0	0
697	after	1	73	5	466591	466589	306138	1	379	679
698	before	0	0	0	0	0	0	0	0	0
698	after	1	72	5	466592	466589	306139	1	380	679
699	before	0	0	0	0	0	0	0	0	0
699	after	1	55	5	466593	466589	306376	7	376	680
700	before	0	0	0	0	0	0	0	0	0
700	after	1	10	5	466594	466594	304907	2	383	674
701	before	0	0	0	0	0	0	0	0	0
701	after	1	10	5	466595	466594	304910	2	386	674
702	before	0	0	0	0	0	0	0	0	0
702	after	1	10	5	466596	466594	305654	2	383	677
703	before	0	0	0	0	0	0	0	0	0
703	after	1	10	5	466597	466594	305657	2	386	677
