# capturedAtLocal=2026-09-24T22:59:53.7142642+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=2
# candidateId=0
# aivName=Default 2
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\sentinel2.aivjson
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# orientation=2
# originX=505
# originY=440
# keepX=548
# keepY=483
# evaluatedCells=2228
# nativeBlockedCells=195
# resultGridBlockedCells=195
# validatorCalls=2228
# validatorBlockedCells=195
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
18	31	536	458	25	25	34	0	False
18	32	537	458	25	25	35	1	True
18	33	538	458	25	25	35	1	True
18	34	539	458	25	25	35	1	True
18	35	540	458	25	25	35	1	True
18	36	541	458	25	25	35	0	False
18	37	542	458	25	25	35	0	False
18	38	543	458	25	25	35	1	True
18	39	544	458	25	25	35	1	True
18	40	545	458	25	25	35	0	False
18	41	546	458	25	25	35	0	False
18	42	547	458	25	25	35	0	False
18	43	548	458	25	25	35	0	False
18	44	549	458	25	25	35	0	False
18	45	550	458	25	25	35	0	False
18	46	551	458	25	25	35	0	False
18	47	552	458	25	25	35	0	False
18	48	553	458	25	25	35	0	False
18	49	554	458	25	25	35	0	False
18	50	555	458	25	25	35	0	False
18	51	556	458	25	25	35	0	False
18	52	557	458	25	25	35	0	False
18	53	558	458	25	25	35	0	False
18	54	559	458	25	25	35	0	False
18	55	560	458	25	25	35	0	False
18	56	561	458	25	25	35	0	False
18	57	562	458	25	25	35	0	False
18	58	563	458	25	25	35	0	False
18	59	564	458	25	25	35	0	False
19	31	536	459	25	25	34	1	True
19	32	537	459	25	25	114	1	True
19	33	538	459	25	25	116	1	True
19	34	539	459	25	25	116	1	True
19	35	540	459	25	25	116	1	True
19	36	541	459	25	25	116	0	False
19	37	542	459	25	25	116	1	True
19	38	543	459	25	25	116	1	True
19	39	544	459	25	25	116	0	False
19	40	545	459	25	25	116	0	False
19	41	546	459	25	25	116	0	False
19	42	547	459	25	25	116	0	False
19	43	548	459	25	25	116	0	False
19	44	549	459	25	25	116	0	False
19	45	550	459	25	25	116	0	False
19	46	551	459	25	25	116	0	False
19	47	552	459	25	25	116	0	False
19	48	553	459	25	25	116	0	False
19	49	554	459	25	25	116	0	False
19	50	555	459	25	25	116	0	False
19	51	556	459	25	25	116	0	False
19	52	557	459	25	25	116	0	False
19	53	558	459	25	25	116	0	False
19	54	559	459	25	25	116	0	False
19	55	560	459	25	25	116	0	False
19	56	561	459	25	25	116	0	False
19	57	562	459	25	25	116	0	False
19	58	563	459	25	25	113	0	False
19	59	564	459	25	25	39	0	False
19	60	565	459	106	106	92	0	False
19	66	571	459	-1	86	52	0	False
19	67	572	459	-1	86	52	0	False
19	68	573	459	-1	86	52	0	False
19	69	574	459	-1	86	52	0	False
19	70	575	459	-1	86	52	0	False
19	71	576	459	-1	86	52	0	False
19	72	577	459	-1	86	52	0	False
19	73	578	459	-1	86	52	0	False
19	74	579	459	-1	86	52	0	False
19	75	580	459	-1	86	52	0	False
20	32	537	460	25	25	33	1	True
20	33	538	460	25	25	114	0	False
20	45	550	460	181	181	127	0	False
20	48	553	460	113	113	122	0	False
20	49	554	460	113	113	122	0	False
20	50	555	460	113	113	122	0	False
20	51	556	460	113	113	122	0	False
20	52	557	460	113	113	122	0	False
20	53	558	460	113	113	122	0	False
20	57	562	460	25	25	113	0	False
20	58	563	460	25	25	40	0	False
20	59	564	460	106	106	92	0	False
20	60	565	460	106	106	92	0	False
20	61	566	460	106	106	92	0	False
20	66	571	460	-1	86	52	0	False
20	67	572	460	-1	86	52	0	False
20	68	573	460	-1	86	52	0	False
20	69	574	460	-1	86	52	0	False
20	70	575	460	-1	86	52	0	False
20	71	576	460	-1	86	52	0	False
20	72	577	460	-1	86	52	0	False
20	73	578	460	-1	86	52	0	False
20	74	579	460	-1	86	52	0	False
20	75	580	460	-1	86	52	0	False
21	33	538	461	25	25	32	1	True
21	34	539	461	25	25	114	1	True
21	38	543	461	95	95	130	1	True
21	39	544	461	95	95	130	0	False
21	40	545	461	95	95	130	0	False
21	41	546	461	95	95	130	0	False
21	42	547	461	95	95	130	0	False
21	43	548	461	95	95	130	0	False
21	45	550	461	182	182	126	0	False
21	48	553	461	113	113	122	0	False
21	49	554	461	113	113	122	0	False
21	50	555	461	113	113	122	0	False
21	51	556	461	113	113	122	0	False
21	52	557	461	113	113	122	0	False
21	53	558	461	113	113	122	0	False
21	56	561	461	25	25	113	0	False
21	57	562	461	25	25	41	0	False
21	58	563	461	106	106	92	0	False
21	59	564	461	106	106	92	0	False
21	60	565	461	106	106	92	0	False
21	61	566	461	106	106	92	0	False
21	66	571	461	-1	86	52	0	False
21	67	572	461	-1	86	52	0	False
21	68	573	461	-1	86	52	0	False
21	69	574	461	-1	86	52	0	False
21	70	575	461	-1	86	52	0	False
21	71	576	461	-1	86	52	0	False
21	72	577	461	-1	86	52	0	False
21	73	578	461	-1	86	52	0	False
21	74	579	461	-1	86	52	0	False
21	75	580	461	-1	86	52	0	False
22	33	538	462	25	25	32	1	True
22	34	539	462	25	25	114	1	True
22	38	543	462	95	95	130	1	True
22	39	544	462	95	95	130	0	False
22	40	545	462	95	95	130	0	False
22	41	546	462	95	95	130	0	False
22	42	547	462	95	95	130	0	False
22	43	548	462	95	95	130	0	False
22	45	550	462	183	183	125	0	False
22	48	553	462	113	113	122	0	False
22	49	554	462	113	113	122	0	False
22	50	555	462	113	113	122	0	False
22	51	556	462	113	113	122	0	False
22	52	557	462	113	113	122	0	False
22	53	558	462	113	113	122	0	False
22	56	561	462	25	25	113	0	False
22	57	562	462	25	25	41	0	False
22	58	563	462	106	106	92	0	False
22	59	564	462	106	106	92	0	False
22	60	565	462	106	106	92	0	False
22	61	566	462	106	106	92	0	False
22	66	571	462	-1	86	52	0	False
22	67	572	462	-1	86	52	0	False
22	68	573	462	-1	86	52	0	False
22	69	574	462	-1	86	52	0	False
22	70	575	462	-1	86	52	0	False
22	71	576	462	-1	86	52	0	False
22	72	577	462	-1	86	52	0	False
22	73	578	462	-1	86	52	0	False
22	74	579	462	-1	86	52	0	False
22	75	580	462	-1	86	52	0	False
23	34	539	463	25	25	31	1	True
23	35	540	463	25	25	114	1	True
23	38	543	463	95	95	130	0	False
23	39	544	463	95	95	130	0	False
23	40	545	463	95	95	130	0	False
23	41	546	463	95	95	130	0	False
23	42	547	463	95	95	130	0	False
23	43	548	463	95	95	130	0	False
23	45	550	463	184	184	124	0	False
23	48	553	463	113	113	122	0	False
23	49	554	463	113	113	122	0	False
23	50	555	463	113	113	122	0	False
23	51	556	463	113	113	122	0	False
23	52	557	463	113	113	122	0	False
23	53	558	463	113	113	122	0	False
23	55	560	463	25	25	113	0	False
23	56	561	463	25	25	42	0	False
23	57	562	463	106	106	92	0	False
23	58	563	463	106	106	92	0	False
23	59	564	463	106	106	92	0	False
23	60	565	463	106	106	92	0	False
23	61	566	463	106	106	92	0	False
23	66	571	463	-1	86	52	0	False
23	67	572	463	-1	86	52	0	False
23	68	573	463	-1	86	52	0	False
23	69	574	463	-1	86	52	0	False
23	70	575	463	-1	86	52	0	False
23	71	576	463	-1	86	52	0	False
23	72	577	463	-1	86	52	0	False
23	73	578	463	-1	86	52	0	False
23	74	579	463	-1	86	52	0	False
23	75	580	463	-1	86	52	0	False
24	34	539	464	25	25	31	1	True
24	35	540	464	25	25	114	1	True
24	38	543	464	95	95	130	0	False
24	39	544	464	95	95	130	0	False
24	40	545	464	95	95	130	0	False
24	41	546	464	95	95	130	0	False
24	42	547	464	95	95	130	0	False
24	43	548	464	95	95	130	0	False
24	45	550	464	185	185	123	0	False
24	48	553	464	113	113	122	0	False
24	49	554	464	113	113	122	0	False
24	50	555	464	113	113	122	0	False
24	51	556	464	113	113	122	0	False
24	52	557	464	113	113	122	0	False
24	53	558	464	113	113	122	0	False
24	55	560	464	25	25	113	0	False
24	56	561	464	25	25	42	0	False
24	57	562	464	106	106	92	0	False
24	58	563	464	106	106	92	0	False
24	59	564	464	106	106	92	0	False
24	60	565	464	106	106	92	0	False
24	61	566	464	106	106	92	0	False
24	66	571	464	87	87	52	0	False
24	67	572	464	87	87	52	0	False
24	68	573	464	87	87	52	0	False
24	69	574	464	87	87	52	0	False
24	70	575	464	87	87	52	0	False
24	71	576	464	-1	86	52	0	False
24	72	577	464	-1	86	52	0	False
24	73	578	464	-1	86	52	0	False
24	74	579	464	-1	86	52	0	False
24	75	580	464	-1	86	52	0	False
25	35	540	465	25	25	30	0	False
25	36	541	465	25	25	114	0	False
25	38	543	465	95	95	130	0	False
25	39	544	465	95	95	130	0	False
25	40	545	465	95	95	130	0	False
25	41	546	465	95	95	130	0	False
25	42	547	465	95	95	130	0	False
25	43	548	465	95	95	130	0	False
25	48	553	465	113	113	122	0	False
25	49	554	465	113	113	122	0	False
25	50	555	465	113	113	122	0	False
25	51	556	465	113	113	122	0	False
25	52	557	465	113	113	122	0	False
25	53	558	465	113	113	122	0	False
25	54	559	465	25	25	113	0	False
25	55	560	465	25	25	43	0	False
25	56	561	465	106	106	92	0	False
