# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=3
# keepX=510
# keepY=502
# nativeOrientation=2
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=35909eb65c1a5fb6e1b5c739e473a35f333a4db849d1604dc9e723c60198b17f
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
19	before	0	0	0	0	0	0	0	0	0
19	after	1	41	3	465619	465619	232106	7	510	502
20	before	0	0	0	0	0	0	0	0	0
20	after	1	71	3	465620	465619	234481	1	517	506
21	before	0	0	0	0	0	0	0	0	0
21	after	1	73	3	465621	465619	233892	1	517	505
22	before	0	0	0	0	0	0	0	0	0
22	after	1	72	3	465622	465619	233301	1	517	504
23	before	0	0	0	0	0	0	0	0	0
23	after	1	55	3	465623	465619	232114	7	518	502
24	before	0	0	0	0	0	0	0	0	0
24	after	1	10	3	465624	465624	229103	2	512	497
25	before	0	0	0	0	0	0	0	0	0
25	after	1	10	3	465625	465624	229106	2	515	497
26	before	0	0	0	0	0	0	0	0	0
26	after	1	10	3	465626	465624	230912	2	512	500
27	before	0	0	0	0	0	0	0	0	0
27	after	1	10	3	465627	465624	230915	2	515	500
