# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=3
# keepX=510
# keepY=502
# nativeOrientation=2
# scale=7
# isFree=False
# selectionPlacementState=1
# selectionAccepted=True
# selectionFinalOrientation=2
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf7.aivjson
# aivJsonSha256=35909eb65c1a5fb6e1b5c739e473a35f333a4db849d1604dc9e723c60198b17f
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=3
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=3
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.567
# afterScanMilliseconds=9.902
# changedLayerCells=248
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-225954-804-session003-p3-n03.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
512	497	229103	logic	32768	34050
512	497	229103	buildingId	0	24
512	497	229103	height	130	140
512	497	229103	wallOwner	0	2
513	497	229104	logic	32768	34050
513	497	229104	buildingId	0	24
513	497	229104	height	130	140
513	497	229104	wallOwner	0	2
514	497	229105	logic	32768	33026
514	497	229105	height	130	140
514	497	229105	wallOwner	0	2
515	497	229106	logic	32768	34050
515	497	229106	buildingId	0	25
515	497	229106	height	130	140
515	497	229106	wallOwner	0	2
516	497	229107	logic	0	1282
516	497	229107	buildingId	0	25
516	497	229107	height	130	140
516	497	229107	wallOwner	0	2
512	498	229708	logic	32768	34050
512	498	229708	buildingId	0	24
512	498	229708	height	130	140
512	498	229708	wallOwner	0	2
513	498	229709	logic	32768	34050
513	498	229709	buildingId	0	24
513	498	229709	height	130	140
513	498	229709	wallOwner	0	2
514	498	229710	logic	32768	33026
514	498	229710	height	130	140
514	498	229710	wallOwner	0	2
515	498	229711	logic	32768	34050
515	498	229711	buildingId	0	25
515	498	229711	height	130	140
515	498	229711	wallOwner	0	2
516	498	229712	logic	0	1282
516	498	229712	buildingId	0	25
516	498	229712	height	130	140
516	498	229712	wallOwner	0	2
512	499	230311	logic	32768	33026
512	499	230311	height	130	140
512	499	230311	wallOwner	0	2
513	499	230312	logic	32768	33026
513	499	230312	height	130	140
513	499	230312	wallOwner	0	2
514	499	230313	logic	32768	33026
514	499	230313	height	130	140
514	499	230313	wallOwner	0	2
515	499	230314	logic	32768	33026
515	499	230314	height	130	140
515	499	230314	wallOwner	0	2
516	499	230315	logic	0	258
516	499	230315	height	130	140
