# capturedAtLocal=2026-09-24T16:11:16.4464727+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=6
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot2.aivjson
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# keepX=187
# keepY=407
# captureSequence=5
# playerId=6
# frameCount=118
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=5
# layerChanges=5225
# buildingRecordChanges=57
# beforeCaptureMilliseconds=915,5
# afterCaptureMilliseconds=1120,9
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T16:11:16.4464727+02:00	2026-09-24T16:11:16.4545032+02:00	12	0	5	0	False	0	0	0	0	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
2	2026-09-24T16:11:16.4627314+02:00	2026-09-24T16:11:16.4707457+02:00	12	1	5	0	False	0	0	0	0	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
3	2026-09-24T16:11:16.4802903+02:00	2026-09-24T16:11:16.4885167+02:00	12	2	5	77	False	1	0	1	181450	0	1	1	0x7FFAAB78EDB0	True	25	0	0	25	
4	2026-09-24T16:11:16.4979515+02:00	2026-09-24T16:11:16.5064189+02:00	12	3	5	80	False	1	0	1	154251	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
5	2026-09-24T16:11:16.5152706+02:00	2026-09-24T16:11:16.5227765+02:00	12	4	5	75	False	1	0	1	151123	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
6	2026-09-24T16:11:16.5326298+02:00	2026-09-24T16:11:16.5411555+02:00	12	5	5	74	False	1	0	1	171586	0	1	1	0x7FFAAB78EDB0	True	9	0	0	9	
7	2026-09-24T16:11:16.5510199+02:00	2026-09-24T16:11:16.5582487+02:00	12	6	5	75	False	1	0	1	167722	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
8	2026-09-24T16:11:16.5677665+02:00	2026-09-24T16:11:16.5758057+02:00	12	7	5	97	False	1	0	1	171607	0	1	1	0x7FFAAB78EDB0	True	169	0	0	169	
9	2026-09-24T16:11:16.5857988+02:00	2026-09-24T16:11:16.5926502+02:00	12	8	5	54	False	1	0	1	185162	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
10	2026-09-24T16:11:16.6022265+02:00	2026-09-24T16:11:16.6091127+02:00	12	9	5	52	True	1	0	1	171593	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
11	2026-09-24T16:11:16.6187448+02:00	2026-09-24T16:11:16.6266595+02:00	12	10	5	52	True	1	0	1	175433	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
12	2026-09-24T16:11:16.6356826+02:00	2026-09-24T16:11:16.6435131+02:00	12	11	5	54	False	1	0	1	173892	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
13	2026-09-24T16:11:16.6527541+02:00	2026-09-24T16:11:16.6609914+02:00	12	12	5	54	False	1	0	1	160611	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
14	2026-09-24T16:11:16.6704023+02:00	2026-09-24T16:11:16.6783425+02:00	12	13	5	52	True	1	0	1	179218	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
15	2026-09-24T16:11:16.6873523+02:00	2026-09-24T16:11:16.6948681+02:00	12	14	5	54	False	1	0	1	190290	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
16	2026-09-24T16:11:16.7048842+02:00	2026-09-24T16:11:16.7122975+02:00	12	15	5	75	False	1	0	1	148027	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
17	2026-09-24T16:11:16.7218045+02:00	2026-09-24T16:11:16.7298144+02:00	12	16	5	52	True	1	0	1	182953	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
18	2026-09-24T16:11:16.7393244+02:00	2026-09-24T16:11:16.7462791+02:00	12	17	5	52	True	1	0	1	186638	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
19	2026-09-24T16:11:16.7562842+02:00	2026-09-24T16:11:16.7642945+02:00	12	18	5	87	False	1	0	1	149562	0	1	1	0x7FFAAB78EDB0	True	100	0	0	100	
20	2026-09-24T16:11:16.7743110+02:00	2026-09-24T16:11:16.7813153+02:00	12	19	5	106	False	1	0	127	188	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
21	2026-09-24T16:11:16.7913906+02:00	2026-09-24T16:11:16.7994134+02:00	12	20	5	81	False	1	0	1	173887	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
22	2026-09-24T16:11:16.8077994+02:00	2026-09-24T16:11:16.8158738+02:00	12	21	5	342	False	1	0	1	164578	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
23	2026-09-24T16:11:16.8267497+02:00	2026-09-24T16:11:16.8330731+02:00	12	22	5	50	False	1	0	1	182191	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
24	2026-09-24T16:11:16.8432553+02:00	2026-09-24T16:11:16.8510038+02:00	12	23	5	54	False	1	0	1	140420	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
25	2026-09-24T16:11:16.8601373+02:00	2026-09-24T16:11:16.8682265+02:00	12	24	5	54	False	1	0	1	170807	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
