# capturedAtLocal=2026-09-24T16:11:18.5194702+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=4
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# keepX=379
# keepY=353
# captureSequence=6
# playerId=7
# frameCount=141
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=4532
# buildingRecordChanges=52
# beforeCaptureMilliseconds=1091,1
# afterCaptureMilliseconds=1331,9
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T16:11:18.5194702+02:00	2026-09-24T16:11:18.5269795+02:00	13	0	6	0	False	0	0	0	0	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
2	2026-09-24T16:11:18.5369929+02:00	2026-09-24T16:11:18.5445244+02:00	13	1	6	0	False	0	0	0	0	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
3	2026-09-24T16:11:18.5535461+02:00	2026-09-24T16:11:18.5615600+02:00	13	2	6	80	False	1	0	1	119701	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
4	2026-09-24T16:11:18.5706118+02:00	2026-09-24T16:11:18.5791809+02:00	13	3	6	52	True	1	0	1	129575	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
5	2026-09-24T16:11:18.5881987+02:00	2026-09-24T16:11:18.5952137+02:00	13	4	6	77	False	1	0	1	139119	0	1	1	0x7FFAAB78EDB0	True	25	0	0	25	
6	2026-09-24T16:11:18.6047363+02:00	2026-09-24T16:11:18.6127664+02:00	13	5	6	54	False	1	0	1	123897	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
7	2026-09-24T16:11:18.6227967+02:00	2026-09-24T16:11:18.6303264+02:00	13	6	6	54	False	1	0	1	126729	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
8	2026-09-24T16:11:18.6393647+02:00	2026-09-24T16:11:18.6483844+02:00	13	7	6	87	False	1	0	1	148964	0	1	1	0x7FFAAB78EDB0	True	100	0	0	100	
9	2026-09-24T16:11:18.6579013+02:00	2026-09-24T16:11:18.6654587+02:00	13	8	6	25	False	1	0	11	184	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
10	2026-09-24T16:11:18.6749743+02:00	2026-09-24T16:11:18.6829813+02:00	13	9	6	25	False	1	0	12	201	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
11	2026-09-24T16:11:18.6924999+02:00	2026-09-24T16:11:18.7000186+02:00	13	10	6	25	False	1	0	6	195	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
