# capturedAtLocal=2026-09-24T18:45:56.5781235+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# candidateId=1
# aivName=Default 7
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir7.aivjson
# aivJsonSha256=ab15bd187a73c6091461d7d9fa282ad5a22dc4df42b43c46793aa2686616918b
# orientation=0
# originX=375
# originY=476
# keepX=418
# keepY=519
# evaluatedCells=2047
# nativeBlockedCells=252
# resultGridBlockedCells=252
# validatorCalls=2047
# validatorBlockedCells=252
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
17	44	419	493	318	318	85	0	False
17	45	420	493	318	318	85	0	False
18	40	415	494	169	169	71	0	False
18	41	416	494	169	169	71	0	False
18	42	417	494	169	169	71	0	False
18	43	418	494	169	169	71	0	False
18	44	419	494	318	318	85	0	False
18	45	420	494	318	318	85	0	False
18	48	423	494	313	313	82	0	False
18	49	424	494	313	313	82	0	False
18	54	429	494	318	318	83	0	False
18	55	430	494	318	318	83	0	False
19	33	408	495	324	324	68	0	False
19	34	409	495	324	324	68	0	False
19	35	410	495	324	324	68	0	False
19	36	411	495	324	324	68	0	False
19	37	412	495	324	324	68	0	False
19	40	415	495	169	169	71	0	False
19	41	416	495	169	169	71	0	False
19	42	417	495	169	169	71	0	False
19	43	418	495	169	169	71	0	False
19	46	421	495	313	313	78	0	False
19	47	422	495	313	313	78	0	False
19	48	423	495	313	313	82	0	False
19	49	424	495	313	313	82	0	False
19	54	429	495	318	318	83	0	False
19	55	430	495	318	318	83	0	False
19	56	431	495	169	169	70	0	False
19	57	432	495	169	169	70	0	False
19	58	433	495	169	169	70	0	False
19	59	434	495	169	169	70	0	False
19	62	437	495	313	313	80	0	False
19	63	438	495	313	313	80	0	False
19	67	442	495	313	313	79	0	False
19	68	443	495	313	313	79	0	False
20	33	408	496	324	324	68	0	False
20	34	409	496	324	324	68	0	False
20	35	410	496	324	324	68	0	False
20	36	411	496	324	324	68	0	False
20	37	412	496	324	324	68	0	False
20	40	415	496	169	169	71	0	False
20	41	416	496	169	169	71	0	False
20	42	417	496	169	169	71	0	False
20	43	418	496	169	169	71	0	False
20	46	421	496	313	313	78	0	False
20	47	422	496	313	313	78	0	False
20	49	424	496	313	313	81	0	False
20	50	425	496	313	313	81	0	False
20	52	427	496	318	318	84	0	False
20	53	428	496	318	318	84	0	False
20	56	431	496	169	169	70	0	False
20	57	432	496	169	169	70	0	False
20	58	433	496	169	169	70	0	False
20	59	434	496	169	169	70	0	False
20	62	437	496	313	313	80	0	False
20	63	438	496	313	313	80	0	False
20	67	442	496	313	313	79	0	False
20	68	443	496	313	313	79	0	False
21	25	400	497	110	110	105	0	False
21	26	401	497	110	110	105	0	False
21	27	402	497	110	110	105	0	False
21	33	408	497	324	324	68	0	False
21	34	409	497	324	324	68	0	False
21	35	410	497	324	324	68	0	False
21	36	411	497	324	324	68	0	False
21	37	412	497	324	324	68	0	False
21	38	413	497	318	318	86	0	False
21	39	414	497	318	318	86	0	False
21	40	415	497	169	169	71	0	False
21	41	416	497	169	169	71	0	False
21	42	417	497	169	169	71	0	False
21	43	418	497	169	169	71	0	False
21	49	424	497	313	313	81	0	False
21	50	425	497	313	313	81	0	False
21	52	427	497	318	318	84	0	False
21	53	428	497	318	318	84	0	False
21	56	431	497	169	169	70	0	False
21	57	432	497	169	169	70	0	False
21	58	433	497	169	169	70	0	False
21	59	434	497	169	169	70	0	False
21	62	437	497	324	324	69	0	False
21	63	438	497	324	324	69	0	False
21	64	439	497	324	324	69	0	False
21	65	440	497	324	324	69	0	False
21	66	441	497	324	324	69	0	False
22	25	400	498	110	110	105	0	False
22	26	401	498	110	110	105	0	False
22	27	402	498	110	110	105	0	False
22	28	403	498	26	26	136	0	False
22	33	408	498	324	324	68	0	False
22	34	409	498	324	324	68	0	False
22	35	410	498	324	324	68	0	False
22	36	411	498	324	324	68	0	False
22	37	412	498	324	324	68	0	False
22	38	413	498	318	318	86	0	False
22	39	414	498	318	318	86	0	False
22	47	422	498	114	114	42	0	False
22	48	423	498	114	114	42	0	False
22	49	424	498	114	114	42	0	False
22	50	425	498	114	114	42	0	False
22	51	426	498	114	114	42	0	False
22	52	427	498	114	114	42	0	False
22	56	431	498	169	169	70	0	False
22	57	432	498	169	169	70	0	False
22	58	433	498	169	169	70	0	False
22	59	434	498	169	169	70	0	False
22	62	437	498	324	324	69	0	False
22	63	438	498	324	324	69	0	False
22	64	439	498	324	324	69	0	False
22	65	440	498	324	324	69	0	False
22	66	441	498	324	324	69	0	False
22	72	447	498	110	110	106	0	False
22	73	448	498	110	110	106	0	False
22	74	449	498	110	110	106	0	False
23	25	400	499	110	110	105	0	False
23	26	401	499	110	110	105	0	False
23	27	402	499	110	110	105	0	False
23	28	403	499	25	25	98	0	False
23	29	404	499	26	26	136	0	False
23	33	408	499	324	324	68	0	False
23	34	409	499	324	324	68	0	False
23	35	410	499	324	324	68	0	False
23	36	411	499	324	324	68	0	False
23	37	412	499	324	324	68	0	False
23	47	422	499	114	114	42	0	False
23	48	423	499	114	114	42	0	False
23	49	424	499	114	114	42	0	False
23	50	425	499	114	114	42	0	False
23	51	426	499	114	114	42	0	False
23	52	427	499	114	114	42	0	False
23	62	437	499	324	324	69	0	False
23	63	438	499	324	324	69	0	False
23	64	439	499	324	324	69	0	False
23	65	440	499	324	324	69	0	False
23	66	441	499	324	324	69	0	False
23	71	446	499	26	26	115	0	False
23	72	447	499	110	110	106	0	False
23	73	448	499	110	110	106	0	False
23	74	449	499	110	110	106	0	False
24	26	401	500	26	26	133	0	False
24	27	402	500	25	25	99	0	False
24	28	403	500	25	25	97	0	False
24	29	404	500	25	25	98	0	False
