# capturedAtLocal=2026-09-24T18:43:15.3601034+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad4.aivjson
# aivJsonSha256=54a4bef2e38baf573124a9075a95ce0d94a3ea1941282f4af0b09481a421693b
# keepX=423
# keepY=667
# captureSequence=7
# playerId=8
# frameCount=80
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=756
# buildingRecordChanges=61
# beforeCaptureMilliseconds=561,8
# afterCaptureMilliseconds=727,3
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T18:43:15.3601034+02:00	2026-09-24T18:43:15.3691070+02:00	14	0	7	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
2	2026-09-24T18:43:15.3778239+02:00	2026-09-24T18:43:15.3853414+02:00	14	1	7	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
3	2026-09-24T18:43:15.3938560+02:00	2026-09-24T18:43:15.4008653+02:00	14	2	7	80	False	1	0	1	307836	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
4	2026-09-24T18:43:15.4103796+02:00	2026-09-24T18:43:15.4180064+02:00	14	3	7	52	True	1	0	1	305210	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
5	2026-09-24T18:43:15.4260235+02:00	2026-09-24T18:43:15.4330367+02:00	14	4	7	54	False	1	0	1	304434	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
6	2026-09-24T18:43:15.4432620+02:00	2026-09-24T18:43:15.4502620+02:00	14	5	7	46	False	1	0	8	22	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
7	2026-09-24T18:43:15.4592732+02:00	2026-09-24T18:43:15.4657920+02:00	14	6	7	46	False	1	0	5	0	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
8	2026-09-24T18:43:15.4758042+02:00	2026-09-24T18:43:15.4823224+02:00	14	7	7	46	False	1	0	10	5	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
9	2026-09-24T18:43:15.4916957+02:00	2026-09-24T18:43:15.4986992+02:00	14	8	7	79	False	1	0	1	305711	0	1	1	0x7FFAAE2DEDB0	True	100	0	0	100	
10	2026-09-24T18:43:15.5082172+02:00	2026-09-24T18:43:15.5152318+02:00	14	9	7	77	False	1	0	1	307830	0	1	1	0x7FFAAE2DEDB0	True	25	0	0	25	
11	2026-09-24T18:43:15.5237999+02:00	2026-09-24T18:43:15.5313206+02:00	14	10	7	46	False	1	0	16	55	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
12	2026-09-24T18:43:15.5402275+02:00	2026-09-24T18:43:15.5477398+02:00	14	11	7	46	False	1	0	9	75	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
13	2026-09-24T18:43:15.5572476+02:00	2026-09-24T18:43:15.5647646+02:00	14	12	7	54	False	1	0	1	303399	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
14	2026-09-24T18:43:15.5737771+02:00	2026-09-24T18:43:15.5804494+02:00	14	13	7	46	False	1	0	4	71	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
15	2026-09-24T18:43:15.5889669+02:00	2026-09-24T18:43:15.5968864+02:00	14	14	7	46	False	1	0	19	84	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
16	2026-09-24T18:43:15.6058999+02:00	2026-09-24T18:43:15.6134177+02:00	14	15	7	54	False	1	0	1	303417	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
17	2026-09-24T18:43:15.6224337+02:00	2026-09-24T18:43:15.6290456+02:00	14	16	7	46	False	1	0	23	30	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
18	2026-09-24T18:43:15.6380594+02:00	2026-09-24T18:43:15.6455913+02:00	14	17	7	54	False	1	0	1	302063	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
19	2026-09-24T18:43:15.6546043+02:00	2026-09-24T18:43:15.6621104+02:00	14	18	7	54	False	1	0	1	304462	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
20	2026-09-24T18:43:15.6711256+02:00	2026-09-24T18:43:15.6781027+02:00	14	19	7	46	False	1	0	2	53	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
21	2026-09-24T18:43:15.6871168+02:00	2026-09-24T18:43:15.6941305+02:00	14	20	7	46	False	1	0	7	15	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
22	2026-09-24T18:43:15.7036574+02:00	2026-09-24T18:43:15.7106680+02:00	14	21	7	185	False	1	0	1	308516	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
23	2026-09-24T18:43:15.7201860+02:00	2026-09-24T18:43:15.7273936+02:00	14	22	7	184	False	1	0	1	308737	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
24	2026-09-24T18:43:15.7359122+02:00	2026-09-24T18:43:15.7434865+02:00	14	23	7	183	False	1	0	1	308956	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
25	2026-09-24T18:43:15.7525020+02:00	2026-09-24T18:43:15.7605127+02:00	14	24	7	185	False	1	0	1	302334	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
26	2026-09-24T18:43:15.7687223+02:00	2026-09-24T18:43:15.7757379+02:00	14	25	7	184	False	1	0	1	302061	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
27	2026-09-24T18:43:15.7847955+02:00	2026-09-24T18:43:15.7918092+02:00	14	26	7	183	False	1	0	1	301786	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
28	2026-09-24T18:43:15.8008252+02:00	2026-09-24T18:43:15.8069840+02:00	14	27	7	185	False	1	0	1	304721	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
29	2026-09-24T18:43:15.8170076+02:00	2026-09-24T18:43:15.8235186+02:00	14	28	7	184	False	1	0	1	304466	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
30	2026-09-24T18:43:15.8337089+02:00	2026-09-24T18:43:15.8412167+02:00	14	29	7	183	False	1	0	1	304209	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
31	2026-09-24T18:43:15.8484304+02:00	2026-09-24T18:43:15.8559381+02:00	14	30	7	98	False	1	0	1	301797	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
32	2026-09-24T18:43:15.8654556+02:00	2026-09-24T18:43:15.8710536+02:00	14	31	7	98	False	1	0	1	302073	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
33	2026-09-24T18:43:15.8805756+02:00	2026-09-24T18:43:15.8870844+02:00	14	32	7	98	False	1	0	1	302347	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
34	2026-09-24T18:43:15.8964445+02:00	2026-09-24T18:43:15.9029508+02:00	14	33	7	98	False	1	0	1	301519	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
35	2026-09-24T18:43:15.9119637+02:00	2026-09-24T18:43:15.9179664+02:00	14	34	7	98	False	1	0	1	308495	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
36	2026-09-24T18:43:15.9270426+02:00	2026-09-24T18:43:15.9335701+02:00	14	35	7	98	False	1	0	1	308717	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
37	2026-09-24T18:43:15.9433263+02:00	2026-09-24T18:43:15.9503442+02:00	14	36	7	98	False	1	0	1	308937	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
38	2026-09-24T18:43:15.9588541+02:00	2026-09-24T18:43:15.9663878+02:00	14	37	7	98	False	1	0	1	308518	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
39	2026-09-24T18:43:15.9749031+02:00	2026-09-24T18:43:15.9814783+02:00	14	38	7	98	False	1	0	1	308519	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
40	2026-09-24T18:43:15.9904783+02:00	2026-09-24T18:43:15.9980030+02:00	14	39	7	98	False	1	0	1	308520	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
41	2026-09-24T18:43:16.0070175+02:00	2026-09-24T18:43:16.0128120+02:00	14	40	7	98	False	1	0	1	308521	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
42	2026-09-24T18:43:16.0223221+02:00	2026-09-24T18:43:16.0293390+02:00	14	41	7	98	False	1	0	1	308275	0	1	1	0x7FFAAE2DEDB0	True	1	0	0	1	
