# capturedAtLocal=2026-09-24T18:44:40.4570990+02:00
# mapLoadSequence=6
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal2.aivjson
# aivJsonSha256=08dafe266d71fcd88f105ebca4e0ea76b7c938430010d816e77f50fb8fae60b0
# keepX=377
# keepY=515
# captureSequence=3
# playerId=4
# frameCount=108
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=3612
# buildingRecordChanges=50
# beforeCaptureMilliseconds=848,0
# afterCaptureMilliseconds=1081,2
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T18:44:40.4570990+02:00	2026-09-24T18:44:40.4641080+02:00	38	0	3	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
2	2026-09-24T18:44:40.4751272+02:00	2026-09-24T18:44:40.4831400+02:00	38	1	3	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
3	2026-09-24T18:44:40.4939468+02:00	2026-09-24T18:44:40.5029619+02:00	38	2	3	80	False	1	0	1	240104	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
4	2026-09-24T18:44:40.5124842+02:00	2026-09-24T18:44:40.5209915+02:00	38	3	3	77	False	1	0	1	240108	0	1	1	0x7FFAAE2DEDB0	True	25	0	0	25	
5	2026-09-24T18:44:40.5315701+02:00	2026-09-24T18:44:40.5395852+02:00	38	4	3	52	True	1	0	1	240700	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
6	2026-09-24T18:44:40.5495984+02:00	2026-09-24T18:44:40.5596121+02:00	38	5	3	52	True	1	0	1	240705	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
7	2026-09-24T18:44:40.5690386+02:00	2026-09-24T18:44:40.5775403+02:00	38	6	3	54	False	1	0	1	249997	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
8	2026-09-24T18:44:40.5891993+02:00	2026-09-24T18:44:40.5982134+02:00	38	7	3	54	False	1	0	1	250048	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
9	2026-09-24T18:44:40.6087403+02:00	2026-09-24T18:44:40.6167552+02:00	38	8	3	54	False	1	0	1	252160	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
10	2026-09-24T18:44:40.6302775+02:00	2026-09-24T18:44:40.6503562+02:00	38	9	3	54	False	1	0	1	252109	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
11	2026-09-24T18:44:40.6593736+02:00	2026-09-24T18:44:40.6663871+02:00	38	10	3	54	False	1	0	1	254189	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
12	2026-09-24T18:44:40.6764013+02:00	2026-09-24T18:44:40.6849412+02:00	38	11	3	54	False	1	0	1	254240	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
13	2026-09-24T18:44:40.6944456+02:00	2026-09-24T18:44:40.7024621+02:00	38	12	3	50	False	1	0	1	247315	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
14	2026-09-24T18:44:40.7120640+02:00	2026-09-24T18:44:40.7199436+02:00	38	13	3	50	False	1	0	1	247360	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
15	2026-09-24T18:44:40.7294571+02:00	2026-09-24T18:44:40.7370262+02:00	38	14	3	84	False	1	0	1	245146	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
16	2026-09-24T18:44:40.7465376+02:00	2026-09-24T18:44:40.7545504+02:00	38	15	3	83	False	1	0	1	245161	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
17	2026-09-24T18:44:40.7640612+02:00	2026-09-24T18:44:40.7727575+02:00	38	16	3	81	False	1	0	1	240113	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
18	2026-09-24T18:44:40.7817729+02:00	2026-09-24T18:44:40.7897917+02:00	38	17	3	87	False	1	0	1	249486	0	1	1	0x7FFAAE2DEDB0	True	100	0	0	100	
19	2026-09-24T18:44:40.8003117+02:00	2026-09-24T18:44:40.8078310+02:00	38	18	3	76	False	1	0	1	245142	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
20	2026-09-24T18:44:40.8178442+02:00	2026-09-24T18:44:40.8253505+02:00	38	19	3	76	False	1	0	1	245165	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
21	2026-09-24T18:44:40.8353708+02:00	2026-09-24T18:44:40.8423705+02:00	38	20	3	92	False	1	0	1	247869	0	1	1	0x7FFAAE2DEDB0	True	25	0	0	25	
22	2026-09-24T18:44:40.8524344+02:00	2026-09-24T18:44:40.8604505+02:00	38	21	3	65	False	1	0	1	247887	0	1	1	0x7FFAAE2DEDB0	True	36	0	0	36	
23	2026-09-24T18:44:40.8709760+02:00	2026-09-24T18:44:40.8784820+02:00	38	22	3	25	False	1	0	16	403	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
