# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# keepX=506
# keepY=357
# nativeOrientation=2
# scale=7
# isFree=False
# selectionPlacementState=1
# selectionAccepted=True
# selectionFinalOrientation=2
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel1.aivjson
# aivJsonSha256=2965e5952a8b14dd373d05084628ded036ecc933fd2f39b5e4c6cd4df62b7c9d
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=7
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=7
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.893
# afterScanMilliseconds=10.350
# changedLayerCells=353
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=16
# sampledRegionComplete=True
x	y	tileId	layer	before	after
520	351	124024	logic2	0	2
506	352	124715	logic2	0	2
508	352	124717	logic	32768	34050
508	352	124717	buildingId	0	629
508	352	124717	height	8	18
508	352	124717	wallOwner	0	6
509	352	124718	logic	32768	34050
509	352	124718	buildingId	0	629
509	352	124718	height	8	18
509	352	124718	wallOwner	0	6
510	352	124719	logic	32768	33026
510	352	124719	height	8	18
510	352	124719	wallOwner	0	6
511	352	124720	logic	32768	34050
511	352	124720	buildingId	0	630
511	352	124720	height	8	18
511	352	124720	wallOwner	0	6
512	352	124721	logic	32768	34050
512	352	124721	buildingId	0	630
512	352	124721	height	8	18
512	352	124721	wallOwner	0	6
519	352	124728	logic2	0	2
520	352	124729	logic2	0	2
521	352	124730	logic2	0	2
508	353	125424	logic	32768	34050
508	353	125424	buildingId	0	629
508	353	125424	height	8	18
508	353	125424	wallOwner	0	6
509	353	125425	logic	32768	34050
509	353	125425	buildingId	0	629
509	353	125425	height	8	18
509	353	125425	wallOwner	0	6
510	353	125426	logic	32768	33026
510	353	125426	height	8	18
510	353	125426	wallOwner	0	6
511	353	125427	logic	32768	34050
511	353	125427	buildingId	0	630
511	353	125427	height	8	18
511	353	125427	wallOwner	0	6
512	353	125428	logic	32768	34050
512	353	125428	buildingId	0	630
512	353	125428	height	8	18
512	353	125428	wallOwner	0	6
519	353	125435	logic2	0	2
520	353	125436	logic2	0	2
521	353	125437	logic2	0	2
522	353	125438	logic2	0	2
508	354	126133	logic	32768	33026
508	354	126133	height	8	18
508	354	126133	wallOwner	0	6
509	354	126134	logic	32768	33026
509	354	126134	height	8	18
509	354	126134	wallOwner	0	6
510	354	126135	logic	32768	33026
510	354	126135	height	8	18
510	354	126135	wallOwner	0	6
511	354	126136	logic	32768	33026
511	354	126136	height	8	18
511	354	126136	wallOwner	0	6
512	354	126137	logic	32768	33026
512	354	126137	height	8	18
512	354	126137	wallOwner	0	6
519	354	126144	logic2	0	2
520	354	126145	logic2	0	2
521	354	126146	logic2	0	2
522	354	126147	logic2	0	2
523	354	126148	logic2	0	2
508	355	126844	logic	32768	34050
508	355	126844	buildingId	0	631
508	355	126844	height	8	18
508	355	126844	wallOwner	0	6
509	355	126845	logic	32768	34050
509	355	126845	buildingId	0	631
509	355	126845	height	8	18
509	355	126845	wallOwner	0	6
510	355	126846	logic	32768	33026
510	355	126846	height	8	18
510	355	126846	wallOwner	0	6
511	355	126847	logic	32768	34050
511	355	126847	buildingId	0	632
511	355	126847	height	8	18
511	355	126847	wallOwner	0	6
512	355	126848	logic	32768	34050
512	355	126848	buildingId	0	632
512	355	126848	height	8	18
512	355	126848	wallOwner	0	6
519	355	126855	logic2	0	2
520	355	126856	logic2	0	2
521	355	126857	logic2	0	2
522	355	126858	logic2	0	2
523	355	126859	logic2	0	2
524	355	126860	logic2	0	2
508	356	127557	logic	32768	34050
508	356	127557	buildingId	0	631
508	356	127557	height	8	18
508	356	127557	wallOwner	0	6
509	356	127558	logic	32768	34050
509	356	127558	buildingId	0	631
509	356	127558	height	8	18
509	356	127558	wallOwner	0	6
510	356	127559	logic	32768	33026
510	356	127559	height	8	18
510	356	127559	wallOwner	0	6
511	356	127560	logic	32768	34050
511	356	127560	buildingId	0	632
511	356	127560	height	8	18
511	356	127560	wallOwner	0	6
512	356	127561	logic	32768	34050
512	356	127561	buildingId	0	632
512	356	127561	height	8	18
512	356	127561	wallOwner	0	6
519	356	127568	logic2	0	2
520	356	127569	logic2	0	2
521	356	127570	logic2	0	2
522	356	127571	logic2	0	2
523	356	127572	logic2	0	2
524	356	127573	logic2	0	2
525	356	127574	logic2	0	2
506	357	128270	logic	32768	268468224
506	357	128270	buildingId	0	595
507	357	128271	logic	32768	268468224
507	357	128271	buildingId	0	595
508	357	128272	logic	32768	268468224
508	357	128272	buildingId	0	595
509	357	128273	logic	32768	268468224
509	357	128273	buildingId	0	595
510	357	128274	logic	32768	268468224
510	357	128274	buildingId	0	595
511	357	128275	logic	32768	268468224
511	357	128275	buildingId	0	595
512	357	128276	logic	32768	268468224
512	357	128276	buildingId	0	595
514	357	128278	buildingId	0	628
515	357	128279	buildingId	0	628
516	357	128280	buildingId	0	628
517	357	128281	buildingId	0	628
518	357	128282	buildingId	0	628
519	357	128283	logic2	0	2
519	357	128283	buildingId	0	628
520	357	128284	logic2	0	2
520	357	128284	buildingId	0	628
521	357	128285	logic2	0	2
522	357	128286	logic2	0	2
523	357	128287	logic2	0	2
524	357	128288	logic2	0	2
525	357	128289	logic2	0	2
526	357	128290	logic2	0	2
506	358	128987	logic	32768	268468224
506	358	128987	buildingId	0	595
507	358	128988	logic	32768	268468224
507	358	128988	buildingId	0	595
508	358	128989	logic	32768	268468224
508	358	128989	buildingId	0	595
509	358	128990	logic	32768	268468224
509	358	128990	buildingId	0	595
510	358	128991	logic	32768	268468224
510	358	128991	buildingId	0	595
511	358	128992	logic	32768	268468224
511	358	128992	buildingId	0	595
512	358	128993	logic	32768	268468224
512	358	128993	buildingId	0	595
514	358	128995	buildingId	0	628
515	358	128996	buildingId	0	628
516	358	128997	buildingId	0	628
517	358	128998	buildingId	0	628
518	358	128999	buildingId	0	628
519	358	129000	logic2	0	2
519	358	129000	buildingId	0	628
520	358	129001	logic2	0	2
520	358	129001	buildingId	0	628
521	358	129002	logic2	0	2
522	358	129003	logic2	0	2
523	358	129004	logic2	0	2
524	358	129005	logic2	0	2
525	358	129006	logic2	0	2
526	358	129007	logic2	0	2
500	359	129700	logic2	0	2
506	359	129706	logic	32768	268468224
506	359	129706	buildingId	0	595
507	359	129707	logic	32768	268468224
507	359	129707	buildingId	0	595
508	359	129708	logic	32768	268468224
508	359	129708	buildingId	0	595
509	359	129709	logic	32768	268468224
509	359	129709	buildingId	0	595
510	359	129710	logic	32768	268468224
510	359	129710	buildingId	0	595
511	359	129711	logic	32768	268468224
511	359	129711	buildingId	0	595
512	359	129712	logic	32768	268468224
512	359	129712	buildingId	0	595
513	359	129713	logic	32768	33792
513	359	129713	buildingId	0	627
514	359	129714	buildingId	0	628
515	359	129715	buildingId	0	628
516	359	129716	buildingId	0	628
517	359	129717	logic	32768	33792
517	359	129717	buildingId	0	628
518	359	129718	buildingId	0	628
519	359	129719	logic2	0	2
519	359	129719	buildingId	0	628
520	359	129720	logic2	0	2
520	359	129720	buildingId	0	628
521	359	129721	logic2	0	2
522	359	129722	logic2	0	2
523	359	129723	logic2	0	2
524	359	129724	logic2	0	2
526	359	129726	logic2	0	2
506	360	130427	logic	32768	268468224
506	360	130427	buildingId	0	595
507	360	130428	logic	32768	268468224
507	360	130428	buildingId	0	595
508	360	130429	logic	32768	268468224
508	360	130429	buildingId	0	595
509	360	130430	logic	32768	268468224
509	360	130430	buildingId	0	595
510	360	130431	logic	32768	268468224
510	360	130431	buildingId	0	595
511	360	130432	logic	32768	268468224
511	360	130432	buildingId	0	595
512	360	130433	logic	32768	268468224
512	360	130433	buildingId	0	595
513	360	130434	buildingId	0	626
514	360	130435	buildingId	0	628
515	360	130436	buildingId	0	628
516	360	130437	logic	32768	33792
516	360	130437	buildingId	0	628
517	360	130438	logic	32768	33792
517	360	130438	buildingId	0	628
518	360	130439	logic	32768	33792
518	360	130439	buildingId	0	628
519	360	130440	buildingId	0	628
520	360	130441	logic2	0	2
520	360	130441	buildingId	0	628
521	360	130442	logic2	0	2
522	360	130443	logic2	0	2
523	360	130444	logic2	0	2
506	361	131150	logic	32768	268468224
506	361	131150	buildingId	0	595
507	361	131151	logic	32768	268468224
507	361	131151	buildingId	0	595
508	361	131152	logic	32768	268468224
508	361	131152	buildingId	0	595
509	361	131153	logic	32768	268468224
509	361	131153	buildingId	0	595
510	361	131154	logic	32768	268468224
510	361	131154	buildingId	0	595
511	361	131155	logic	32768	268468224
511	361	131155	buildingId	0	595
512	361	131156	logic	32768	268468224
512	361	131156	buildingId	0	595
513	361	131157	logic	32768	33792
513	361	131157	buildingId	0	625
514	361	131158	buildingId	0	628
515	361	131159	buildingId	0	628
516	361	131160	buildingId	0	628
517	361	131161	logic	32768	33792
517	361	131161	buildingId	0	628
518	361	131162	buildingId	0	628
519	361	131163	buildingId	0	628
520	361	131164	buildingId	0	628
521	361	131165	logic2	0	2
522	361	131166	logic2	0	2
506	362	131875	logic	32768	268468224
506	362	131875	buildingId	0	595
507	362	131876	logic	32768	268468224
507	362	131876	buildingId	0	595
508	362	131877	logic	32768	268468224
508	362	131877	buildingId	0	595
509	362	131878	logic	32768	268468224
509	362	131878	buildingId	0	595
510	362	131879	logic	32768	268468224
510	362	131879	buildingId	0	595
511	362	131880	logic	32768	268468224
511	362	131880	buildingId	0	595
512	362	131881	logic	32768	268468224
512	362	131881	buildingId	0	595
514	362	131883	buildingId	0	628
515	362	131884	buildingId	0	628
516	362	131885	buildingId	0	628
517	362	131886	buildingId	0	628
518	362	131887	buildingId	0	628
519	362	131888	buildingId	0	628
520	362	131889	logic2	0	2
520	362	131889	buildingId	0	628
521	362	131890	logic2	0	2
522	362	131891	logic2	0	2
506	363	132602	logic	32768	268468224
506	363	132602	buildingId	0	595
507	363	132603	logic	32768	268468224
507	363	132603	buildingId	0	595
508	363	132604	logic	32768	268468224
508	363	132604	buildingId	0	595
509	363	132605	logic	32768	268468224
509	363	132605	buildingId	0	595
510	363	132606	logic	32768	268468224
510	363	132606	buildingId	0	595
511	363	132607	logic	32768	268468224
511	363	132607	buildingId	0	595
512	363	132608	logic	32768	268468224
512	363	132608	buildingId	0	595
514	363	132610	buildingId	0	628
515	363	132611	buildingId	0	628
516	363	132612	buildingId	0	628
517	363	132613	buildingId	0	628
518	363	132614	buildingId	0	628
519	363	132615	logic2	0	2
519	363	132615	buildingId	0	628
520	363	132616	logic2	0	2
520	363	132616	buildingId	0	628
