# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=6
# keepX=481
# keepY=404
# nativeOrientation=2
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=2
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot6.aivjson
# aivJsonSha256=caf8ad68fd46638d53f249849eb8a6b13c314b3a886f0bf9377607666d263694
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=17
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=17
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.838
# afterScanMilliseconds=9.737
# changedLayerCells=340
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
494	398	159295	logic2	0	2
495	398	159296	logic2	0	2
483	399	160083	logic	32768	34050
483	399	160083	buildingId	0	566
483	399	160083	height	8	18
483	399	160083	wallOwner	0	5
484	399	160084	logic	32768	34050
484	399	160084	buildingId	0	566
484	399	160084	height	8	18
484	399	160084	wallOwner	0	5
485	399	160085	logic	32768	33026
485	399	160085	height	8	18
485	399	160085	wallOwner	0	5
486	399	160086	logic	32768	34050
486	399	160086	buildingId	0	567
486	399	160086	height	8	18
486	399	160086	wallOwner	0	5
487	399	160087	logic	32768	34050
487	399	160087	buildingId	0	567
487	399	160087	height	8	18
487	399	160087	wallOwner	0	5
494	399	160094	logic2	0	2
495	399	160095	logic2	0	2
496	399	160096	logic2	0	2
483	400	160883	logic	32768	34050
483	400	160883	buildingId	0	566
483	400	160883	height	8	18
483	400	160883	wallOwner	0	5
484	400	160884	logic	32768	34050
484	400	160884	buildingId	0	566
484	400	160884	height	8	18
484	400	160884	wallOwner	0	5
485	400	160885	logic	32768	33026
485	400	160885	height	8	18
485	400	160885	wallOwner	0	5
486	400	160886	logic	32768	34050
486	400	160886	buildingId	0	567
486	400	160886	height	8	18
486	400	160886	wallOwner	0	5
487	400	160887	logic	32768	34050
487	400	160887	buildingId	0	567
487	400	160887	height	8	18
487	400	160887	wallOwner	0	5
494	400	160894	logic2	0	2
495	400	160895	logic2	0	2
496	400	160896	logic2	0	2
497	400	160897	logic2	0	2
483	401	161682	logic	32768	33026
483	401	161682	height	8	18
483	401	161682	wallOwner	0	5
484	401	161683	logic	32768	33026
484	401	161683	height	8	18
484	401	161683	wallOwner	0	5
485	401	161684	logic	32768	33026
485	401	161684	height	8	18
485	401	161684	wallOwner	0	5
486	401	161685	logic	32768	33026
486	401	161685	height	8	18
486	401	161685	wallOwner	0	5
487	401	161686	logic	32768	33026
487	401	161686	height	8	18
487	401	161686	wallOwner	0	5
494	401	161693	logic2	0	2
495	401	161694	logic2	0	2
496	401	161695	logic2	0	2
497	401	161696	logic2	0	2
498	401	161697	logic2	0	2
483	402	162479	logic	32768	34050
483	402	162479	buildingId	0	568
483	402	162479	height	8	18
483	402	162479	wallOwner	0	5
484	402	162480	logic	32768	34050
484	402	162480	buildingId	0	568
484	402	162480	height	8	18
484	402	162480	wallOwner	0	5
485	402	162481	logic	32768	33026
485	402	162481	height	8	18
