# capturedAtLocal=2026-09-24T15:28:07.3271906+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=2
# candidateId=0
# aivName=Default 5
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nizar5.aivjson
# aivJsonSha256=75ec63581c8d2d6a4dcf2a67c44690af4080f597d3356b84503ec68944bb3ca7
# orientation=6
# originX=198
# originY=231
# keepX=241
# keepY=274
# evaluatedCells=2503
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=2503
# validatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
10	39	237	241	98	98	209	0	False
11	36	234	242	98	98	210	0	False
11	39	237	242	98	98	208	0	False
11	43	241	242	98	98	201	0	False
12	39	237	243	98	98	207	0	False
12	48	246	243	98	98	200	0	False
13	38	236	244	98	98	206	0	False
13	41	239	244	98	98	202	0	False
13	45	243	244	98	98	191	0	False
13	54	252	244	98	98	199	0	False
14	33	231	245	98	98	211	0	False
14	35	233	245	98	98	203	0	False
14	42	240	245	98	98	192	0	False
14	52	250	245	98	98	195	0	False
14	53	251	245	98	98	189	0	False
14	56	254	245	98	98	188	0	False
14	59	257	245	98	98	198	0	False
15	30	228	246	98	98	212	0	False
15	49	247	246	98	98	190	0	False
15	60	258	246	98	98	187	0	False
16	28	226	247	98	98	204	0	False
16	29	227	247	98	98	213	0	False
16	32	230	247	98	98	239	0	False
16	38	236	247	98	98	205	0	False
16	43	241	247	106	106	66	0	False
16	44	242	247	106	106	66	0	False
16	45	243	247	106	106	66	0	False
16	46	244	247	106	106	66	0	False
16	65	263	247	98	98	197	0	False
16	66	264	247	98	98	194	0	False
17	30	228	248	98	98	238	0	False
17	34	232	248	106	106	66	0	False
17	35	233	248	106	106	66	0	False
17	38	236	248	106	106	66	0	False
17	39	237	248	106	106	66	0	False
17	40	238	248	106	106	66	0	False
17	41	239	248	106	106	66	0	False
17	42	240	248	106	106	66	0	False
17	43	241	248	106	106	66	0	False
17	44	242	248	106	106	66	0	False
17	45	243	248	106	106	66	0	False
17	46	244	248	106	106	66	0	False
17	47	245	248	106	106	66	0	False
17	48	246	248	106	106	66	0	False
17	49	247	248	106	106	66	0	False
17	58	256	248	98	98	196	0	False
18	34	232	249	106	106	66	0	False
18	35	233	249	106	106	66	0	False
18	36	234	249	106	106	66	0	False
18	37	235	249	106	106	66	0	False
18	38	236	249	106	106	66	0	False
18	39	237	249	106	106	66	0	False
18	40	238	249	106	106	66	0	False
18	41	239	249	106	106	66	0	False
18	42	240	249	106	106	66	0	False
18	43	241	249	106	106	66	0	False
18	44	242	249	106	106	66	0	False
18	45	243	249	106	106	66	0	False
18	46	244	249	106	106	66	0	False
18	47	245	249	106	106	66	0	False
18	48	246	249	106	106	66	0	False
18	49	247	249	106	106	66	0	False
18	50	248	249	106	106	66	0	False
18	51	249	249	106	106	66	0	False
18	52	250	249	106	106	66	0	False
18	54	252	249	106	106	66	0	False
18	55	253	249	106	106	66	0	False
18	56	254	249	106	106	66	0	False
18	57	255	249	106	106	66	0	False
18	58	256	249	106	106	66	0	False
18	59	257	249	106	106	66	0	False
18	63	261	249	98	98	186	0	False
19	30	228	250	106	106	66	0	False
19	31	229	250	106	106	66	0	False
19	32	230	250	106	106	66	0	False
19	33	231	250	106	106	66	0	False
19	34	232	250	106	106	66	0	False
19	35	233	250	106	106	66	0	False
19	36	234	250	106	106	66	0	False
19	37	235	250	106	106	66	0	False
19	38	236	250	106	106	66	0	False
19	39	237	250	106	106	65	0	False
19	40	238	250	106	106	65	0	False
19	41	239	250	106	106	65	0	False
19	42	240	250	106	106	65	0	False
19	43	241	250	106	106	65	0	False
19	44	242	250	106	106	65	0	False
19	45	243	250	106	106	65	0	False
19	46	244	250	106	106	65	0	False
19	47	245	250	106	106	65	0	False
19	48	246	250	106	106	66	0	False
19	49	247	250	106	106	66	0	False
19	50	248	250	106	106	66	0	False
19	51	249	250	106	106	66	0	False
19	52	250	250	106	106	66	0	False
19	53	251	250	106	106	66	0	False
19	54	252	250	106	106	66	0	False
19	55	253	250	106	106	66	0	False
19	56	254	250	106	106	66	0	False
19	57	255	250	106	106	66	0	False
19	58	256	250	106	106	66	0	False
19	59	257	250	106	106	66	0	False
19	60	258	250	106	106	66	0	False
20	26	224	251	98	98	214	0	False
20	30	228	251	106	106	66	0	False
20	31	229	251	106	106	66	0	False
20	32	230	251	106	106	66	0	False
20	33	231	251	106	106	66	0	False
20	34	232	251	106	106	66	0	False
20	35	233	251	106	106	65	0	False
20	36	234	251	106	106	65	0	False
20	37	235	251	106	106	65	0	False
20	38	236	251	106	106	65	0	False
20	39	237	251	106	106	65	0	False
20	40	238	251	106	106	65	0	False
20	41	239	251	106	106	65	0	False
20	42	240	251	106	106	65	0	False
20	43	241	251	106	106	65	0	False
20	44	242	251	106	106	65	0	False
20	45	243	251	106	106	65	0	False
20	46	244	251	106	106	65	0	False
20	47	245	251	106	106	65	0	False
20	48	246	251	106	106	65	0	False
20	49	247	251	106	106	65	0	False
20	50	248	251	106	106	66	0	False
20	51	249	251	106	106	66	0	False
20	52	250	251	106	106	66	0	False
20	53	251	251	106	106	65	0	False
20	54	252	251	106	106	65	0	False
20	55	253	251	106	106	65	0	False
20	56	254	251	106	106	65	0	False
20	57	255	251	106	106	65	0	False
20	58	256	251	106	106	65	0	False
20	59	257	251	106	106	66	0	False
20	60	258	251	106	106	66	0	False
20	61	259	251	106	106	66	0	False
20	62	260	251	106	106	66	0	False
21	27	225	252	98	98	240	0	False
21	28	226	252	98	98	237	0	False
21	29	227	252	106	106	66	0	False
21	30	228	252	106	106	66	0	False
21	31	229	252	106	106	66	0	False
21	32	230	252	106	106	65	0	False
21	33	231	252	106	106	65	0	False
21	34	232	252	106	106	65	0	False
21	35	233	252	106	106	65	0	False
21	36	234	252	106	106	65	0	False
21	37	235	252	106	106	65	0	False
21	38	236	252	106	106	65	0	False
21	39	237	252	106	106	65	0	False
21	40	238	252	106	106	15	0	False
21	41	239	252	106	106	15	0	False
21	42	240	252	106	106	15	0	False
21	43	241	252	106	106	15	0	False
21	44	242	252	106	106	15	0	False
21	45	243	252	106	106	65	0	False
21	46	244	252	106	106	65	0	False
21	47	245	252	106	106	65	0	False
21	48	246	252	106	106	65	0	False
21	49	247	252	106	106	65	0	False
21	50	248	252	106	106	65	0	False
21	51	249	252	106	106	65	0	False
21	52	250	252	106	106	65	0	False
21	53	251	252	106	106	65	0	False
21	54	252	252	106	106	65	0	False
21	55	253	252	106	106	65	0	False
21	56	254	252	106	106	65	0	False
21	57	255	252	106	106	65	0	False
21	58	256	252	106	106	65	0	False
21	59	257	252	106	106	65	0	False
21	60	258	252	106	106	66	0	False
21	61	259	252	106	106	66	0	False
21	62	260	252	106	106	66	0	False
21	63	261	252	106	106	66	0	False
21	67	265	252	98	98	193	0	False
22	29	227	253	106	106	66	0	False
22	30	228	253	106	106	66	0	False
22	31	229	253	106	106	65	0	False
22	32	230	253	106	106	65	0	False
22	33	231	253	106	106	65	0	False
22	34	232	253	106	106	65	0	False
22	35	233	253	106	106	65	0	False
22	36	234	253	106	106	15	0	False
22	37	235	253	106	106	15	0	False
22	38	236	253	106	106	15	0	False
22	39	237	253	106	106	15	0	False
22	40	238	253	106	106	15	0	False
22	41	239	253	106	106	15	0	False
22	42	240	253	106	106	15	0	False
22	43	241	253	106	106	15	0	False
22	44	242	253	106	106	15	0	False
22	45	243	253	106	106	15	0	False
22	46	244	253	106	106	15	0	False
22	47	245	253	106	106	15	0	False
22	48	246	253	106	106	15	0	False
22	49	247	253	106	106	65	0	False
22	50	248	253	106	106	65	0	False
22	51	249	253	106	106	65	0	False
22	52	250	253	106	106	15	0	False
22	53	251	253	106	106	15	0	False
22	54	252	253	106	106	15	0	False
22	55	253	253	106	106	15	0	False
22	56	254	253	106	106	15	0	False
22	57	255	253	106	106	65	0	False
22	58	256	253	106	106	65	0	False
22	59	257	253	106	106	65	0	False
22	60	258	253	106	106	66	0	False
