# capturedAtLocal=2026-09-24T15:28:20.4545007+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# candidateId=0
# aivName=Default 8
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir8.aivjson
# aivJsonSha256=c0287e57c640f05a602bd38bf49f5ee8db1101cdcdf965f8628caee49e43b7d5
# orientation=4
# originX=363
# originY=78
# keepX=406
# keepY=121
# evaluatedCells=1856
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=1856
# validatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
25	47	410	103	54	54	146	0	False
25	48	411	103	54	54	146	0	False
25	49	412	103	54	54	146	0	False
25	50	413	103	54	54	146	0	False
25	65	428	103	54	54	11	0	False
25	66	429	103	54	54	11	0	False
25	67	430	103	54	54	11	0	False
25	68	431	103	54	54	11	0	False
26	33	396	104	54	54	10	0	False
26	34	397	104	54	54	10	0	False
26	35	398	104	54	54	10	0	False
26	36	399	104	54	54	10	0	False
26	37	400	104	92	92	63	0	False
26	38	401	104	92	92	63	0	False
26	39	402	104	92	92	63	0	False
26	40	403	104	92	92	63	0	False
26	41	404	104	92	92	63	0	False
26	47	410	104	54	54	146	0	False
26	48	411	104	54	54	146	0	False
26	49	412	104	54	54	146	0	False
26	50	413	104	54	54	146	0	False
26	65	428	104	54	54	11	0	False
26	66	429	104	54	54	11	0	False
26	67	430	104	54	54	11	0	False
26	68	431	104	54	54	11	0	False
27	33	396	105	54	54	10	0	False
27	34	397	105	54	54	10	0	False
27	35	398	105	54	54	10	0	False
27	36	399	105	54	54	10	0	False
27	37	400	105	92	92	63	0	False
27	38	401	105	92	92	63	0	False
27	39	402	105	92	92	63	0	False
27	40	403	105	92	92	63	0	False
27	41	404	105	92	92	63	0	False
27	43	406	105	76	76	64	0	False
27	44	407	105	76	76	64	0	False
27	45	408	105	76	76	64	0	False
27	46	409	105	76	76	64	0	False
27	47	410	105	54	54	146	0	False
27	48	411	105	54	54	146	0	False
27	49	412	105	54	54	146	0	False
27	50	413	105	54	54	146	0	False
27	55	418	105	50	50	27	0	False
27	56	419	105	50	50	27	0	False
27	57	420	105	50	50	27	0	False
27	58	421	105	50	50	27	0	False
27	65	428	105	54	54	11	0	False
27	66	429	105	54	54	11	0	False
27	67	430	105	54	54	11	0	False
27	68	431	105	54	54	11	0	False
28	33	396	106	54	54	10	0	False
28	34	397	106	54	54	10	0	False
28	35	398	106	54	54	10	0	False
28	36	399	106	54	54	10	0	False
28	37	400	106	92	92	63	0	False
28	38	401	106	92	92	63	0	False
28	39	402	106	92	92	63	0	False
28	40	403	106	92	92	63	0	False
28	41	404	106	92	92	63	0	False
28	43	406	106	76	76	64	0	False
28	44	407	106	76	76	64	0	False
28	45	408	106	76	76	64	0	False
28	46	409	106	76	76	64	0	False
28	47	410	106	54	54	146	0	False
28	48	411	106	54	54	146	0	False
28	49	412	106	54	54	146	0	False
28	50	413	106	54	54	146	0	False
28	55	418	106	50	50	27	0	False
28	56	419	106	50	50	27	0	False
28	57	420	106	50	50	27	0	False
28	58	421	106	50	50	27	0	False
28	65	428	106	54	54	11	0	False
28	66	429	106	54	54	11	0	False
28	67	430	106	54	54	11	0	False
28	68	431	106	54	54	11	0	False
28	70	433	106	110	110	99	0	False
28	71	434	106	110	110	99	0	False
28	72	435	106	110	110	99	0	False
29	29	392	107	110	110	100	0	False
29	30	393	107	110	110	100	0	False
29	31	394	107	110	110	100	0	False
29	33	396	107	54	54	10	0	False
29	34	397	107	54	54	10	0	False
29	35	398	107	54	54	10	0	False
29	36	399	107	54	54	10	0	False
29	37	400	107	92	92	63	0	False
29	38	401	107	92	92	63	0	False
29	39	402	107	92	92	63	0	False
29	40	403	107	92	92	63	0	False
29	41	404	107	92	92	63	0	False
29	43	406	107	76	76	64	0	False
29	44	407	107	76	76	64	0	False
29	45	408	107	76	76	64	0	False
29	46	409	107	76	76	64	0	False
29	55	418	107	50	50	27	0	False
29	56	419	107	50	50	27	0	False
29	57	420	107	50	50	27	0	False
29	58	421	107	50	50	27	0	False
29	60	423	107	50	50	65	0	False
29	61	424	107	50	50	65	0	False
29	62	425	107	50	50	65	0	False
29	63	426	107	50	50	65	0	False
29	69	432	107	26	26	133	0	False
29	70	433	107	110	110	99	0	False
29	71	434	107	110	110	99	0	False
29	72	435	107	110	110	99	0	False
30	29	392	108	110	110	100	0	False
30	30	393	108	110	110	100	0	False
30	31	394	108	110	110	100	0	False
30	32	395	108	26	26	139	0	False
30	37	400	108	92	92	63	0	False
30	38	401	108	92	92	63	0	False
30	39	402	108	92	92	63	0	False
30	40	403	108	92	92	63	0	False
30	41	404	108	92	92	63	0	False
30	43	406	108	76	76	64	0	False
30	44	407	108	76	76	64	0	False
30	45	408	108	76	76	64	0	False
30	46	409	108	76	76	64	0	False
30	47	410	108	146	146	32	0	False
30	48	411	108	146	146	32	0	False
30	49	412	108	146	146	32	0	False
30	50	413	108	146	146	32	0	False
30	51	414	108	146	146	32	0	False
30	52	415	108	146	146	32	0	False
30	53	416	108	146	146	32	0	False
30	55	418	108	50	50	27	0	False
30	56	419	108	50	50	27	0	False
30	57	420	108	50	50	27	0	False
30	58	421	108	50	50	27	0	False
30	60	423	108	50	50	65	0	False
30	61	424	108	50	50	65	0	False
30	62	425	108	50	50	65	0	False
30	63	426	108	50	50	65	0	False
30	68	431	108	26	26	133	0	False
30	69	432	108	25	25	93	0	False
30	70	433	108	110	110	99	0	False
30	71	434	108	110	110	99	0	False
30	72	435	108	110	110	99	0	False
31	29	392	109	110	110	100	0	False
31	30	393	109	110	110	100	0	False
31	31	394	109	110	110	100	0	False
31	32	395	109	25	25	98	0	False
31	33	396	109	26	26	139	0	False
31	47	410	109	146	146	32	0	False
31	48	411	109	146	146	32	0	False
31	49	412	109	146	146	32	0	False
31	50	413	109	146	146	32	0	False
31	51	414	109	146	146	32	0	False
31	52	415	109	146	146	32	0	False
31	53	416	109	146	146	32	0	False
31	60	423	109	50	50	65	0	False
31	61	424	109	50	50	65	0	False
31	62	425	109	50	50	65	0	False
31	63	426	109	50	50	65	0	False
31	67	430	109	26	26	133	0	False
31	68	431	109	25	25	93	0	False
31	69	432	109	25	25	91	0	False
31	70	433	109	25	25	92	0	False
31	71	434	109	26	26	132	0	False
32	30	393	110	26	26	140	0	False
32	31	394	110	25	25	95	0	False
32	32	395	110	25	25	94	0	False
32	33	396	110	25	25	98	0	False
32	34	397	110	26	26	139	0	False
32	44	407	110	26	26	136	0	False
32	45	408	110	26	26	136	0	False
32	46	409	110	26	26	136	0	False
32	47	410	110	146	146	32	0	False
32	48	411	110	146	146	32	0	False
32	49	412	110	146	146	32	0	False
32	50	413	110	146	146	32	0	False
32	51	414	110	146	146	32	0	False
32	52	415	110	146	146	32	0	False
32	53	416	110	146	146	32	0	False
32	54	417	110	26	26	135	0	False
32	55	418	110	26	26	135	0	False
32	56	419	110	26	26	135	0	False
32	57	420	110	26	26	134	0	False
32	60	423	110	50	50	65	0	False
32	61	424	110	50	50	65	0	False
32	62	425	110	50	50	65	0	False
32	63	426	110	50	50	65	0	False
32	66	429	110	26	26	133	0	False
32	67	430	110	25	25	93	0	False
32	68	431	110	25	25	91	0	False
32	69	432	110	25	25	92	0	False
32	70	433	110	26	26	132	0	False
32	72	435	110	54	54	15	0	False
32	73	436	110	54	54	15	0	False
32	74	437	110	54	54	15	0	False
32	75	438	110	54	54	15	0	False
33	31	394	111	26	26	140	0	False
33	32	395	111	25	25	95	0	False
33	33	396	111	25	25	94	0	False
33	34	397	111	25	25	98	0	False
33	35	398	111	26	26	139	0	False
33	43	406	111	26	26	137	0	False
33	44	407	111	25	25	49	0	False
33	45	408	111	25	25	50	0	False
33	46	409	111	25	25	50	0	False
33	47	410	111	146	146	32	0	False
33	48	411	111	146	146	32	0	False
33	49	412	111	146	146	32	0	False
33	50	413	111	146	146	32	0	False
