# capturedAtLocal=2026-09-24T15:28:11.6908417+02:00
# mapLoadSequence=3
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=2
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf3.aivjson
# aivJsonSha256=4e2a09090a53e53639c9f8c82e63362d213d53920f327d5d08936f8c02520cb0
# keepX=254
# keepY=580
# captureSequence=2
# playerId=3
# frameCount=428
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=7151
# buildingRecordChanges=224
# beforeCaptureMilliseconds=3343,3
# afterCaptureMilliseconds=3566,9
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T15:28:11.6908417+02:00	2026-09-24T15:28:11.6998559+02:00	16	0	2	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
2	2026-09-24T15:28:11.7088756+02:00	2026-09-24T15:28:11.7158801+02:00	16	1	2	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
3	2026-09-24T15:28:11.7259213+02:00	2026-09-24T15:28:11.7338666+02:00	16	2	2	52	True	1	0	1	273137	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
4	2026-09-24T15:28:11.7424032+02:00	2026-09-24T15:28:11.7513447+02:00	16	3	2	80	False	1	0	1	273578	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
5	2026-09-24T15:28:11.7699711+02:00	2026-09-24T15:28:11.7779858+02:00	16	4	2	87	False	1	0	1	279467	0	1	1	0x7FFAB099EDB0	True	100	0	0	100	
6	2026-09-24T15:28:11.7854964+02:00	2026-09-24T15:28:11.7935173+02:00	16	5	2	86	False	1	0	1	275307	0	1	1	0x7FFAB099EDB0	True	100	0	0	100	
7	2026-09-24T15:28:11.8015371+02:00	2026-09-24T15:28:11.8085567+02:00	16	6	2	88	False	1	0	1	270947	0	1	1	0x7FFAB099EDB0	True	50	0	0	50	
8	2026-09-24T15:28:11.8170602+02:00	2026-09-24T15:28:11.8240785+02:00	16	7	2	77	False	1	0	1	278630	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
9	2026-09-24T15:28:11.8325864+02:00	2026-09-24T15:28:11.8401597+02:00	16	8	2	54	False	1	0	1	265913	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
10	2026-09-24T15:28:11.8482387+02:00	2026-09-24T15:28:11.8572606+02:00	16	9	2	54	False	1	0	1	265909	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
11	2026-09-24T15:28:11.8657684+02:00	2026-09-24T15:28:11.8743767+02:00	16	10	2	54	False	1	0	1	267765	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
