# capturedAtLocal=2026-09-24T15:28:20.4776163+02:00
# mapLoadSequence=3
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=4
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir8.aivjson
# aivJsonSha256=c0287e57c640f05a602bd38bf49f5ee8db1101cdcdf965f8628caee49e43b7d5
# keepX=406
# keepY=121
# captureSequence=4
# playerId=5
# frameCount=147
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=3179
# buildingRecordChanges=56
# beforeCaptureMilliseconds=1135,4
# afterCaptureMilliseconds=1251,5
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T15:28:20.4776163+02:00	2026-09-24T15:28:20.4851265+02:00	18	0	4	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
2	2026-09-24T15:28:20.4927014+02:00	2026-09-24T15:28:20.4997184+02:00	18	1	4	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
3	2026-09-24T15:28:20.5097659+02:00	2026-09-24T15:28:20.5207767+02:00	18	2	4	52	True	1	0	1	15384	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
4	2026-09-24T15:28:20.5352516+02:00	2026-09-24T15:28:20.5412780+02:00	18	3	4	52	True	1	0	1	14169	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
5	2026-09-24T15:28:20.5503005+02:00	2026-09-24T15:28:20.5583155+02:00	18	4	4	80	False	1	0	1	18233	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
6	2026-09-24T15:28:20.5658232+02:00	2026-09-24T15:28:20.5749153+02:00	18	5	4	80	False	1	0	1	19329	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
7	2026-09-24T15:28:20.5834501+02:00	2026-09-24T15:28:20.5927198+02:00	18	6	4	77	False	1	0	1	19613	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
8	2026-09-24T15:28:20.6043923+02:00	2026-09-24T15:28:20.6136602+02:00	18	7	4	54	False	1	0	1	13449	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
9	2026-09-24T15:28:20.6304186+02:00	2026-09-24T15:28:20.6383387+02:00	18	8	4	54	False	1	0	1	13678	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
10	2026-09-24T15:28:20.6473428+02:00	2026-09-24T15:28:20.6538607+02:00	18	9	4	54	False	1	0	1	12758	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
11	2026-09-24T15:28:20.6628743+02:00	2026-09-24T15:28:20.6698990+02:00	18	10	4	54	False	1	0	1	11021	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
12	2026-09-24T15:28:20.6774114+02:00	2026-09-24T15:28:20.6849215+02:00	18	11	4	54	False	1	0	1	10844	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
13	2026-09-24T15:28:20.6924290+02:00	2026-09-24T15:28:20.7014509+02:00	18	12	4	54	False	1	0	1	13486	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
14	2026-09-24T15:28:20.7095280+02:00	2026-09-24T15:28:20.7155295+02:00	18	13	4	54	False	1	0	1	14195	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
15	2026-09-24T15:28:20.7246503+02:00	2026-09-24T15:28:20.7308625+02:00	18	14	4	54	False	1	0	1	13259	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
16	2026-09-24T15:28:20.7405817+02:00	2026-09-24T15:28:20.7475983+02:00	18	15	4	54	False	1	0	1	12356	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
17	2026-09-24T15:28:20.7560352+02:00	2026-09-24T15:28:20.7645508+02:00	18	16	4	86	False	1	0	1	19638	0	1	1	0x7FFAB099EDB0	True	100	0	0	100	
18	2026-09-24T15:28:20.7774811+02:00	2026-09-24T15:28:20.7844942+02:00	18	17	4	74	False	1	0	1	18782	0	1	1	0x7FFAB099EDB0	True	9	0	0	9	
19	2026-09-24T15:28:20.7925153+02:00	2026-09-24T15:28:20.8010493+02:00	18	18	4	75	False	1	0	1	15379	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
20	2026-09-24T15:28:20.8090675+02:00	2026-09-24T15:28:20.8187035+02:00	18	19	4	75	False	1	0	1	16387	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
21	2026-09-24T15:28:20.8262108+02:00	2026-09-24T15:28:20.8327197+02:00	18	20	4	75	False	1	0	1	14164	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
22	2026-09-24T15:28:20.8415654+02:00	2026-09-24T15:28:20.8485805+02:00	18	21	4	75	False	1	0	1	17692	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
23	2026-09-24T15:28:20.8575396+02:00	2026-09-24T15:28:20.8660338+02:00	18	22	4	75	False	1	0	1	18772	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
24	2026-09-24T15:28:20.8735411+02:00	2026-09-24T15:28:20.8820176+02:00	18	23	4	76	False	1	0	1	15396	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
25	2026-09-24T15:28:20.8905425+02:00	2026-09-24T15:28:20.8985173+02:00	18	24	4	92	False	1	0	1	15153	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
26	2026-09-24T15:28:20.9075286+02:00	2026-09-24T15:28:20.9140362+02:00	18	25	4	81	False	1	0	1	13242	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
27	2026-09-24T15:28:20.9225506+02:00	2026-09-24T15:28:20.9315634+02:00	18	26	4	87	False	1	0	1	19589	0	1	1	0x7FFAB099EDB0	True	100	0	0	100	
28	2026-09-24T15:28:20.9397944+02:00	2026-09-24T15:28:20.9460006+02:00	18	27	4	50	False	1	0	1	11254	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
29	2026-09-24T15:28:20.9545285+02:00	2026-09-24T15:28:20.9615413+02:00	18	28	4	88	False	1	0	1	16677	0	1	1	0x7FFAB099EDB0	True	50	0	0	50	
30	2026-09-24T15:28:20.9705055+02:00	2026-09-24T15:28:20.9775625+02:00	18	29	4	114	False	1	0	1	21036	0	1	1	0x7FFAB099EDB0	True	36	0	0	36	
31	2026-09-24T15:28:20.9856776+02:00	2026-09-24T15:28:20.9932884+02:00	18	30	4	114	False	1	0	1	16122	0	1	1	0x7FFAB099EDB0	True	36	0	0	36	
32	2026-09-24T15:28:21.0013009+02:00	2026-09-24T15:28:21.0073152+02:00	18	31	4	114	False	1	0	1	16158	0	1	1	0x7FFAB099EDB0	True	36	0	0	36	
33	2026-09-24T15:28:21.0158295+02:00	2026-09-24T15:28:21.0223374+02:00	18	32	4	146	False	1	0	1	11891	0	1	1	0x7FFAB099EDB0	True	49	0	0	49	
34	2026-09-24T15:28:21.0303663+02:00	2026-09-24T15:28:21.0384277+02:00	18	33	4	25	False	1	0	4	338	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
35	2026-09-24T15:28:21.0484423+02:00	2026-09-24T15:28:21.0559661+02:00	18	34	4	25	False	1	0	10	213	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
36	2026-09-24T15:28:21.0639814+02:00	2026-09-24T15:28:21.0709918+02:00	18	35	4	25	False	1	0	3	184	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
37	2026-09-24T15:28:21.0786905+02:00	2026-09-24T15:28:21.0875100+02:00	18	36	4	25	False	1	0	4	342	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
38	2026-09-24T15:28:21.0956455+02:00	2026-09-24T15:28:21.1025119+02:00	18	37	4	25	False	1	0	10	223	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
39	2026-09-24T15:28:21.1112479+02:00	2026-09-24T15:28:21.1177544+02:00	18	38	4	25	False	1	0	3	187	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
40	2026-09-24T15:28:21.1260007+02:00	2026-09-24T15:28:21.1335280+02:00	18	39	4	25	False	1	0	3	172	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
41	2026-09-24T15:28:21.1412744+02:00	2026-09-24T15:28:21.1487845+02:00	18	40	4	25	False	1	0	11	110	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
