# capturedAtLocal=2026-09-24T15:28:22.9094322+02:00
# mapLoadSequence=3
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=6
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot6.aivjson
# aivJsonSha256=caf8ad68fd46638d53f249849eb8a6b13c314b3a886f0bf9377607666d263694
# keepX=187
# keepY=407
# captureSequence=5
# playerId=6
# frameCount=155
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=5
# layerChanges=3679
# buildingRecordChanges=46
# beforeCaptureMilliseconds=1256,8
# afterCaptureMilliseconds=1316,1
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T15:28:22.9094322+02:00	2026-09-24T15:28:22.9174416+02:00	19	0	5	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
2	2026-09-24T15:28:22.9259511+02:00	2026-09-24T15:28:22.9349673+02:00	19	1	5	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
3	2026-09-24T15:28:22.9474872+02:00	2026-09-24T15:28:22.9549986+02:00	19	2	5	80	False	1	0	1	158201	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
4	2026-09-24T15:28:22.9630797+02:00	2026-09-24T15:28:22.9705924+02:00	19	3	5	77	False	1	0	1	157395	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
5	2026-09-24T15:28:22.9786073+02:00	2026-09-24T15:28:22.9866240+02:00	19	4	5	74	False	1	0	1	162978	0	1	1	0x7FFAB099EDB0	True	9	0	0	9	
6	2026-09-24T15:28:22.9956398+02:00	2026-09-24T15:28:23.0025328+02:00	19	5	5	54	False	1	0	1	180709	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
7	2026-09-24T15:28:23.0110406+02:00	2026-09-24T15:28:23.0220518+02:00	19	6	5	92	False	1	0	1	172359	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
8	2026-09-24T15:28:23.0306128+02:00	2026-09-24T15:28:23.0391590+02:00	19	7	5	75	False	1	0	1	172364	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
9	2026-09-24T15:28:23.0487919+02:00	2026-09-24T15:28:23.0586570+02:00	19	8	5	52	True	1	0	1	171603	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
10	2026-09-24T15:28:23.0695294+02:00	2026-09-24T15:28:23.0767972+02:00	19	9	5	97	False	1	0	1	175407	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
11	2026-09-24T15:28:23.0846589+02:00	2026-09-24T15:28:23.0946591+02:00	19	10	5	342	False	1	0	1	154233	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
