# capturedAtLocal=2026-09-24T15:30:02.0173251+02:00
# mapLoadSequence=4
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad4.aivjson
# aivJsonSha256=54a4bef2e38baf573124a9075a95ce0d94a3ea1941282f4af0b09481a421693b
# keepX=423
# keepY=667
# captureSequence=1
# playerId=2
# frameCount=80
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=756
# buildingRecordChanges=61
# beforeCaptureMilliseconds=619,8
# afterCaptureMilliseconds=693,7
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T15:30:02.0173251+02:00	2026-09-24T15:30:02.0258416+02:00	22	0	1	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
2	2026-09-24T15:30:02.0348562+02:00	2026-09-24T15:30:02.0428669+02:00	22	1	1	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
3	2026-09-24T15:30:02.0523786+02:00	2026-09-24T15:30:02.0598891+02:00	22	2	1	80	False	1	0	1	307836	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
4	2026-09-24T15:30:02.0684709+02:00	2026-09-24T15:30:02.0759763+02:00	22	3	1	52	True	1	0	1	305210	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
5	2026-09-24T15:30:02.0854966+02:00	2026-09-24T15:30:02.0935072+02:00	22	4	1	54	False	1	0	1	304434	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
6	2026-09-24T15:30:02.1015986+02:00	2026-09-24T15:30:02.1106173+02:00	22	5	1	46	False	1	0	8	22	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
7	2026-09-24T15:30:02.1186276+02:00	2026-09-24T15:30:02.1271392+02:00	22	6	1	46	False	1	0	5	0	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
8	2026-09-24T15:30:02.1361521+02:00	2026-09-24T15:30:02.1431678+02:00	22	7	1	46	False	1	0	10	5	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
9	2026-09-24T15:30:02.1527847+02:00	2026-09-24T15:30:02.1602921+02:00	22	8	1	79	False	1	0	1	305711	0	1	1	0x7FFAB099EDB0	True	100	0	0	100	
10	2026-09-24T15:30:02.1684369+02:00	2026-09-24T15:30:02.1764568+02:00	22	9	1	77	False	1	0	1	307830	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
11	2026-09-24T15:30:02.1854760+02:00	2026-09-24T15:30:02.1934909+02:00	22	10	1	46	False	1	0	16	55	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
12	2026-09-24T15:30:02.2021053+02:00	2026-09-24T15:30:02.2126227+02:00	22	11	1	46	False	1	0	9	75	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
13	2026-09-24T15:30:02.2216334+02:00	2026-09-24T15:30:02.2291456+02:00	22	12	1	54	False	1	0	1	303399	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
14	2026-09-24T15:30:02.2381637+02:00	2026-09-24T15:30:02.2466736+02:00	22	13	1	46	False	1	0	4	71	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
15	2026-09-24T15:30:02.2561816+02:00	2026-09-24T15:30:02.2657263+02:00	22	14	1	46	False	1	0	19	84	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
16	2026-09-24T15:30:02.2752451+02:00	2026-09-24T15:30:02.2837703+02:00	22	15	1	54	False	1	0	1	303417	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
17	2026-09-24T15:30:02.2927815+02:00	2026-09-24T15:30:02.3008172+02:00	22	16	1	46	False	1	0	23	30	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
18	2026-09-24T15:30:02.3098255+02:00	2026-09-24T15:30:02.3173356+02:00	22	17	1	54	False	1	0	1	302063	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
19	2026-09-24T15:30:02.3278573+02:00	2026-09-24T15:30:02.3440926+02:00	22	18	1	54	False	1	0	1	304462	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
20	2026-09-24T15:30:02.3527463+02:00	2026-09-24T15:30:02.3597654+02:00	22	19	1	46	False	1	0	2	53	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
