# capturedAtLocal=2026-09-24T15:30:07.7444038+02:00
# mapLoadSequence=4
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=4
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# keepX=406
# keepY=121
# captureSequence=4
# playerId=5
# frameCount=205
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=4579
# buildingRecordChanges=72
# beforeCaptureMilliseconds=1557,2
# afterCaptureMilliseconds=1792,1
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T15:30:07.7444038+02:00	2026-09-24T15:30:07.7519127+02:00	25	0	4	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
2	2026-09-24T15:30:07.7619365+02:00	2026-09-24T15:30:07.7694550+02:00	25	1	4	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
3	2026-09-24T15:30:07.7794881+02:00	2026-09-24T15:30:07.7880266+02:00	25	2	4	52	True	1	0	1	15384	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
4	2026-09-24T15:30:07.7970458+02:00	2026-09-24T15:30:07.8055542+02:00	25	3	4	52	True	1	0	1	14169	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
5	2026-09-24T15:30:07.8144698+02:00	2026-09-24T15:30:07.8229818+02:00	25	4	4	80	False	1	0	1	13004	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
6	2026-09-24T15:30:07.8319958+02:00	2026-09-24T15:30:07.8390019+02:00	25	5	4	80	False	1	0	1	12108	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
7	2026-09-24T15:30:07.8519155+02:00	2026-09-24T15:30:07.8640099+02:00	25	6	4	86	False	1	0	1	14915	0	1	1	0x7FFAB099EDB0	True	100	0	0	100	
8	2026-09-24T15:30:07.8719794+02:00	2026-09-24T15:30:07.8799847+02:00	25	7	4	77	False	1	0	1	19621	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
9	2026-09-24T15:30:07.8890173+02:00	2026-09-24T15:30:07.8963115+02:00	25	8	4	54	False	1	0	1	11264	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
10	2026-09-24T15:30:07.9050231+02:00	2026-09-24T15:30:07.9132386+02:00	25	9	4	54	False	1	0	1	10432	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
11	2026-09-24T15:30:07.9217469+02:00	2026-09-24T15:30:07.9296239+02:00	25	10	4	54	False	1	0	1	10428	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
12	2026-09-24T15:30:07.9382305+02:00	2026-09-24T15:30:07.9457865+02:00	25	11	4	54	False	1	0	1	10424	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
13	2026-09-24T15:30:07.9543550+02:00	2026-09-24T15:30:07.9618624+02:00	25	12	4	54	False	1	0	1	11256	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
14	2026-09-24T15:30:07.9707083+02:00	2026-09-24T15:30:07.9782162+02:00	25	13	4	54	False	1	0	1	15166	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
15	2026-09-24T15:30:07.9882494+02:00	2026-09-24T15:30:07.9958021+02:00	25	14	4	54	False	1	0	1	14198	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
16	2026-09-24T15:30:08.0043429+02:00	2026-09-24T15:30:08.0121036+02:00	25	15	4	54	False	1	0	1	11260	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
17	2026-09-24T15:30:08.0207713+02:00	2026-09-24T15:30:08.0272449+02:00	25	16	4	54	False	1	0	1	12349	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
18	2026-09-24T15:30:08.0363255+02:00	2026-09-24T15:30:08.0441005+02:00	25	17	4	54	False	1	0	1	12989	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
