# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=1
# keepX=654
# keepY=448
# nativeOrientation=15
# scale=7
# isFree=False
# selectionPlacementState=<not-available>
# selectionAccepted=False
# selectionFinalOrientation=<not-available>
# finalCandidateId=<not-available>
# selectedCandidateId=<none>
# aivJson=<no accepted AIV>
# aivJsonSha256=<not-available>
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=22
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=22
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=9.044
# afterScanMilliseconds=10.270
# changedLayerCells=224
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
648	448	197144	logic2	8	2
654	448	197150	logic	32768	268468224
654	448	197150	buildingId	0	3
655	448	197151	logic	32768	268468224
655	448	197151	buildingId	0	3
656	448	197152	logic	32768	268468224
656	448	197152	buildingId	0	3
657	448	197153	logic	32768	268468224
657	448	197153	buildingId	0	3
658	448	197154	logic	32768	268468224
658	448	197154	buildingId	0	3
659	448	197155	logic	32768	268468224
659	448	197155	buildingId	0	3
660	448	197156	logic	32768	268468224
660	448	197156	buildingId	0	3
654	449	197853	logic	32768	268468224
654	449	197853	buildingId	0	3
655	449	197854	logic	32768	268468224
655	449	197854	buildingId	0	3
656	449	197855	logic	32768	268468224
656	449	197855	buildingId	0	3
657	449	197856	logic	32768	268468224
657	449	197856	buildingId	0	3
658	449	197857	logic	32768	268468224
658	449	197857	buildingId	0	3
659	449	197858	logic	32768	268468224
659	449	197858	buildingId	0	3
660	449	197859	logic	0	268435456
660	449	197859	buildingId	0	3
654	450	198554	logic	32768	268468224
654	450	198554	buildingId	0	3
655	450	198555	logic	32768	268468224
655	450	198555	buildingId	0	3
656	450	198556	logic	32768	268468224
656	450	198556	buildingId	0	3
657	450	198557	logic	32768	268468224
657	450	198557	buildingId	0	3
658	450	198558	logic	32768	268468224
658	450	198558	buildingId	0	3
659	450	198559	logic	32768	268468224
659	450	198559	buildingId	0	3
660	450	198560	logic	0	268435456
660	450	198560	buildingId	0	3
661	450	198561	logic	0	1282
661	450	198561	buildingId	0	8
661	450	198561	height	130	140
662	450	198562	logic	0	1282
662	450	198562	buildingId	0	8
662	450	198562	height	130	140
663	450	198563	logic	0	258
663	450	198563	height	130	140
664	450	198564	logic	0	1282
664	450	198564	buildingId	0	9
664	450	198564	height	130	140
665	450	198565	logic	0	1282
665	450	198565	buildingId	0	9
665	450	198565	height	130	140
654	451	199253	logic	32768	268468224
654	451	199253	buildingId	0	3
655	451	199254	logic	32768	268468224
655	451	199254	buildingId	0	3
656	451	199255	logic	32768	268468224
656	451	199255	buildingId	0	3
657	451	199256	logic	32768	268468224
657	451	199256	buildingId	0	3
658	451	199257	logic	32768	268468224
658	451	199257	buildingId	0	3
659	451	199258	logic	32768	268468224
659	451	199258	buildingId	0	3
660	451	199259	logic	0	268435456
660	451	199259	buildingId	0	3
661	451	199260	logic	0	1282
661	451	199260	buildingId	0	8
661	451	199260	height	130	140
662	451	199261	logic	32768	34050
662	451	199261	buildingId	0	8
662	451	199261	height	130	140
663	451	199262	logic	32768	33026
663	451	199262	height	130	140
664	451	199263	logic	32768	34050
664	451	199263	buildingId	0	9
664	451	199263	height	130	140
665	451	199264	logic	0	1282
665	451	199264	buildingId	0	9
665	451	199264	height	130	140
654	452	199950	logic	32768	268468224
654	452	199950	buildingId	0	3
655	452	199951	logic	32768	268468224
655	452	199951	buildingId	0	3
656	452	199952	logic	32768	268468224
656	452	199952	buildingId	0	3
657	452	199953	logic	32768	268468224
657	452	199953	buildingId	0	3
658	452	199954	logic	32768	268468224
658	452	199954	buildingId	0	3
659	452	199955	logic	32768	268468224
659	452	199955	buildingId	0	3
660	452	199956	logic	0	268435456
660	452	199956	buildingId	0	3
661	452	199957	logic	0	258
661	452	199957	height	130	140
662	452	199958	logic	32768	33026
662	452	199958	height	130	140
663	452	199959	logic	32768	33026
663	452	199959	height	130	140
664	452	199960	logic	32768	33026
664	452	199960	height	130	140
665	452	199961	logic	0	258
665	452	199961	height	130	140
654	453	200645	logic	32768	268468224
654	453	200645	buildingId	0	3
655	453	200646	logic	32768	268468224
655	453	200646	buildingId	0	3
656	453	200647	logic	32768	268468224
656	453	200647	buildingId	0	3
657	453	200648	logic	32768	268468224
657	453	200648	buildingId	0	3
658	453	200649	logic	32768	268468224
658	453	200649	buildingId	0	3
659	453	200650	logic	32768	268468224
659	453	200650	buildingId	0	3
660	453	200651	logic	0	268435456
660	453	200651	buildingId	0	3
661	453	200652	logic	0	1282
661	453	200652	buildingId	0	10
661	453	200652	height	130	140
662	453	200653	logic	32768	34050
662	453	200653	buildingId	0	10
662	453	200653	height	130	140
663	453	200654	logic	32768	33026
663	453	200654	height	130	140
664	453	200655	logic	32768	34050
664	453	200655	buildingId	0	11
664	453	200655	height	130	140
665	453	200656	logic	0	1282
665	453	200656	buildingId	0	11
665	453	200656	height	130	140
654	454	201338	logic	32768	268468224
654	454	201338	buildingId	0	3
655	454	201339	logic	32768	268468224
655	454	201339	buildingId	0	3
656	454	201340	logic	32768	268468224
656	454	201340	buildingId	0	3
657	454	201341	logic	32768	268468224
657	454	201341	buildingId	0	3
658	454	201342	logic	32768	268468224
658	454	201342	buildingId	0	3
659	454	201343	logic	32768	268468224
659	454	201343	buildingId	0	3
660	454	201344	logic	0	268435456
660	454	201344	buildingId	0	3
661	454	201345	logic	0	1282
661	454	201345	buildingId	0	10
661	454	201345	height	130	140
662	454	201346	logic	0	1282
662	454	201346	buildingId	0	10
662	454	201346	height	130	140
663	454	201347	logic	0	258
663	454	201347	height	130	140
664	454	201348	logic	0	1282
664	454	201348	buildingId	0	11
664	454	201348	height	130	140
665	454	201349	logic	0	1282
665	454	201349	buildingId	0	11
665	454	201349	height	130	140
656	455	202031	logic	32768	33792
656	455	202031	buildingId	0	4
657	455	202032	buildingId	0	5
658	455	202033	logic	32768	33792
658	455	202033	buildingId	0	6
654	456	202718	buildingId	0	7
655	456	202719	buildingId	0	7
656	456	202720	buildingId	0	7
657	456	202721	buildingId	0	7
