# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# keepX=384
# keepY=360
# nativeOrientation=4
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=4
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel1.aivjson
# aivJsonSha256=2965e5952a8b14dd373d05084628ded036ecc933fd2f39b5e4c6cd4df62b7c9d
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=7
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=7
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.317
# afterScanMilliseconds=9.323
# changedLayerCells=249
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
384	352	124593	buildingId	0	703
385	352	124594	buildingId	0	703
386	352	124595	buildingId	0	703
387	352	124596	buildingId	0	703
388	352	124597	buildingId	0	703
389	352	124598	buildingId	0	703
390	352	124599	buildingId	0	703
379	353	125295	logic2	4	2
384	353	125300	buildingId	0	703
385	353	125301	buildingId	0	703
386	353	125302	buildingId	0	703
387	353	125303	buildingId	0	703
388	353	125304	buildingId	0	703
389	353	125305	buildingId	0	703
390	353	125306	buildingId	0	703
384	354	126009	buildingId	0	703
385	354	126010	buildingId	0	703
386	354	126011	buildingId	0	703
387	354	126012	logic	0	1024
387	354	126012	buildingId	0	703
388	354	126013	buildingId	0	703
389	354	126014	buildingId	0	703
390	354	126015	buildingId	0	703
384	355	126720	buildingId	0	703
385	355	126721	buildingId	0	703
386	355	126722	logic	0	1024
386	355	126722	buildingId	0	703
387	355	126723	logic	0	1024
387	355	126723	buildingId	0	703
388	355	126724	logic	0	1024
388	355	126724	buildingId	0	703
389	355	126725	buildingId	0	703
390	355	126726	buildingId	0	703
384	356	127433	buildingId	0	703
385	356	127434	buildingId	0	703
386	356	127435	buildingId	0	703
387	356	127436	logic	32768	33792
387	356	127436	buildingId	0	703
388	356	127437	buildingId	0	703
389	356	127438	buildingId	0	703
390	356	127439	buildingId	0	703
384	357	128148	buildingId	0	703
385	357	128149	buildingId	0	703
386	357	128150	buildingId	0	703
387	357	128151	buildingId	0	703
388	357	128152	buildingId	0	703
389	357	128153	buildingId	0	703
390	357	128154	buildingId	0	703
384	358	128865	buildingId	0	703
385	358	128866	buildingId	0	703
386	358	128867	buildingId	0	703
387	358	128868	buildingId	0	703
388	358	128869	buildingId	0	703
389	358	128870	buildingId	0	703
390	358	128871	buildingId	0	703
386	359	129586	logic	0	1024
386	359	129586	buildingId	0	702
387	359	129587	buildingId	0	701
388	359	129588	logic	0	1024
388	359	129588	buildingId	0	700
379	360	130300	logic	32768	34050
379	360	130300	buildingId	0	704
379	360	130300	height	80	90
379	360	130300	wallOwner	0	6
380	360	130301	logic	32768	34050
380	360	130301	buildingId	0	704
380	360	130301	height	80	90
380	360	130301	wallOwner	0	6
381	360	130302	logic	32768	33026
381	360	130302	height	80	90
381	360	130302	wallOwner	0	6
382	360	130303	logic	32768	34050
382	360	130303	buildingId	0	705
382	360	130303	height	80	90
382	360	130303	wallOwner	0	6
383	360	130304	logic	32768	34050
383	360	130304	buildingId	0	705
383	360	130304	height	80	90
383	360	130304	wallOwner	0	6
384	360	130305	logic	32768	268468224
384	360	130305	buildingId	0	699
385	360	130306	logic	0	268435456
385	360	130306	buildingId	0	699
386	360	130307	logic	0	268435456
