# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=7
# keepX=508
# keepY=352
# nativeOrientation=0
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=0
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel1.aivjson
# aivJsonSha256=2965e5952a8b14dd373d05084628ded036ecc933fd2f39b5e4c6cd4df62b7c9d
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=22
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=22
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=9.093
# afterScanMilliseconds=10.303
# changedLayerCells=271
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
513	346	120522	logic2	0	2
514	346	120523	logic2	0	2
514	347	121218	logic2	0	2
506	352	124715	logic2	0	2
508	352	124717	logic	32768	268468224
508	352	124717	buildingId	0	55
509	352	124718	logic	32768	268468224
509	352	124718	buildingId	0	55
510	352	124719	logic	32768	268468224
510	352	124719	buildingId	0	55
511	352	124720	logic	32768	268468224
511	352	124720	buildingId	0	55
512	352	124721	logic	32768	268468224
512	352	124721	buildingId	0	55
513	352	124722	logic	32768	268468224
513	352	124722	buildingId	0	55
514	352	124723	logic	32768	268468224
514	352	124723	buildingId	0	55
519	352	124728	logic2	0	2
520	352	124729	logic2	0	2
508	353	125424	logic	32768	268468224
508	353	125424	buildingId	0	55
509	353	125425	logic	32768	268468224
509	353	125425	buildingId	0	55
510	353	125426	logic	32768	268468224
510	353	125426	buildingId	0	55
511	353	125427	logic	32768	268468224
511	353	125427	buildingId	0	55
512	353	125428	logic	32768	268468224
512	353	125428	buildingId	0	55
513	353	125429	logic	32768	268468224
513	353	125429	buildingId	0	55
514	353	125430	logic	32768	268468224
514	353	125430	buildingId	0	55
519	353	125435	logic2	0	2
520	353	125436	logic2	0	2
508	354	126133	logic	32768	268468224
508	354	126133	buildingId	0	55
509	354	126134	logic	32768	268468224
509	354	126134	buildingId	0	55
510	354	126135	logic	32768	268468224
510	354	126135	buildingId	0	55
511	354	126136	logic	32768	268468224
511	354	126136	buildingId	0	55
512	354	126137	logic	32768	268468224
512	354	126137	buildingId	0	55
513	354	126138	logic	0	268435456
513	354	126138	buildingId	0	55
514	354	126139	logic	0	268435456
514	354	126139	buildingId	0	55
515	354	126140	logic	0	1282
515	354	126140	buildingId	0	60
515	354	126140	height	8	18
516	354	126141	logic	0	1282
516	354	126141	buildingId	0	60
516	354	126141	height	8	18
517	354	126142	logic	0	258
517	354	126142	height	8	18
518	354	126143	logic	32768	34050
518	354	126143	buildingId	0	61
518	354	126143	height	8	18
518	354	126143	wallOwner	0	6
519	354	126144	logic	32768	34050
519	354	126144	logic2	0	2
519	354	126144	buildingId	0	61
519	354	126144	height	8	18
519	354	126144	wallOwner	0	6
520	354	126145	logic2	0	2
508	355	126844	logic	32768	268468224
508	355	126844	buildingId	0	55
509	355	126845	logic	32768	268468224
509	355	126845	buildingId	0	55
510	355	126846	logic	32768	268468224
510	355	126846	buildingId	0	55
511	355	126847	logic	32768	268468224
511	355	126847	buildingId	0	55
512	355	126848	logic	32768	268468224
512	355	126848	buildingId	0	55
513	355	126849	logic	0	268435456
513	355	126849	buildingId	0	55
514	355	126850	logic	32768	268468224
514	355	126850	buildingId	0	55
515	355	126851	logic	32768	34050
515	355	126851	buildingId	0	60
515	355	126851	height	8	18
516	355	126852	logic	32768	34050
516	355	126852	buildingId	0	60
516	355	126852	height	8	18
517	355	126853	logic	0	258
517	355	126853	height	8	18
518	355	126854	logic	32768	34050
518	355	126854	buildingId	0	61
518	355	126854	height	8	18
518	355	126854	wallOwner	0	6
519	355	126855	logic	32768	34050
519	355	126855	logic2	0	2
519	355	126855	buildingId	0	61
519	355	126855	height	8	18
519	355	126855	wallOwner	0	6
520	355	126856	logic2	0	2
508	356	127557	logic	32768	268468224
508	356	127557	buildingId	0	55
509	356	127558	logic	32768	268468224
509	356	127558	buildingId	0	55
510	356	127559	logic	32768	268468224
510	356	127559	buildingId	0	55
511	356	127560	logic	32768	268468224
511	356	127560	buildingId	0	55
512	356	127561	logic	32768	268468224
512	356	127561	buildingId	0	55
513	356	127562	logic	0	268435456
513	356	127562	buildingId	0	55
514	356	127563	logic	32768	268468224
514	356	127563	buildingId	0	55
515	356	127564	logic	32768	33026
515	356	127564	height	8	18
516	356	127565	logic	32768	33026
516	356	127565	height	8	18
517	356	127566	logic	0	258
517	356	127566	height	8	18
518	356	127567	logic	32768	33026
518	356	127567	height	8	18
518	356	127567	wallOwner	0	6
519	356	127568	logic	32768	33026
519	356	127568	logic2	0	2
519	356	127568	height	8	18
519	356	127568	wallOwner	0	6
520	356	127569	logic2	0	2
508	357	128272	logic	32768	268468224
508	357	128272	buildingId	0	55
509	357	128273	logic	32768	268468224
509	357	128273	buildingId	0	55
510	357	128274	logic	32768	268468224
510	357	128274	buildingId	0	55
511	357	128275	logic	32768	268468224
511	357	128275	buildingId	0	55
512	357	128276	logic	32768	268468224
512	357	128276	buildingId	0	55
513	357	128277	logic	0	268435456
513	357	128277	buildingId	0	55
514	357	128278	logic	32768	268468224
514	357	128278	buildingId	0	55
515	357	128279	logic	32768	34050
515	357	128279	buildingId	0	62
515	357	128279	height	8	18
516	357	128280	logic	32768	34050
516	357	128280	buildingId	0	62
516	357	128280	height	8	18
517	357	128281	logic	0	258
517	357	128281	height	8	18
518	357	128282	logic	32768	34050
518	357	128282	buildingId	0	63
