# capturedAtLocal=2026-09-24T20:00:53.4488576+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=4
# candidateId=0
# aivName=Default 7
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# orientation=0
# originX=334
# originY=472
# keepX=377
# keepY=515
# evaluatedCells=1770
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=1770
# validatorBlockedCells=0
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
32	53	387	504	106	106	57	0	False
32	58	392	504	106	106	57	0	False
32	60	394	504	106	106	57	0	False
32	63	397	504	106	106	57	0	False
33	37	371	505	106	106	57	0	False
33	38	372	505	106	106	57	0	False
33	39	373	505	106	106	57	0	False
33	43	377	505	106	106	57	0	False
33	44	378	505	106	106	57	0	False
33	46	380	505	106	106	57	0	False
33	52	386	505	106	106	57	0	False
33	53	387	505	106	106	57	0	False
33	54	388	505	106	106	57	0	False
33	56	390	505	106	106	57	0	False
33	57	391	505	106	106	57	0	False
33	58	392	505	106	106	57	0	False
33	59	393	505	106	106	57	0	False
33	60	394	505	106	106	57	0	False
33	61	395	505	106	106	57	0	False
33	62	396	505	106	106	57	0	False
33	63	397	505	106	106	57	0	False
33	64	398	505	106	106	57	0	False
34	37	371	506	106	106	57	0	False
34	38	372	506	106	106	57	0	False
34	39	373	506	106	106	57	0	False
34	40	374	506	106	106	57	0	False
34	41	375	506	106	106	57	0	False
34	42	376	506	106	106	57	0	False
34	43	377	506	106	106	57	0	False
34	44	378	506	106	106	57	0	False
34	45	379	506	106	106	57	0	False
34	46	380	506	106	106	57	0	False
34	47	381	506	106	106	57	0	False
34	48	382	506	106	106	57	0	False
34	51	385	506	106	106	57	0	False
34	52	386	506	106	106	57	0	False
34	53	387	506	106	106	57	0	False
34	54	388	506	106	106	57	0	False
34	55	389	506	106	106	57	0	False
34	56	390	506	106	106	57	0	False
34	57	391	506	106	106	57	0	False
34	58	392	506	106	106	57	0	False
34	59	393	506	106	106	57	0	False
34	60	394	506	106	106	57	0	False
34	61	395	506	106	106	57	0	False
34	62	396	506	106	106	57	0	False
34	63	397	506	106	106	57	0	False
34	64	398	506	106	106	57	0	False
34	65	399	506	106	106	57	0	False
34	67	401	506	106	106	57	0	False
34	68	402	506	106	106	57	0	False
34	70	404	506	106	106	57	0	False
35	38	372	507	106	106	57	0	False
35	39	373	507	106	106	56	0	False
35	40	374	507	106	106	56	0	False
35	41	375	507	106	106	56	0	False
35	42	376	507	106	106	56	0	False
35	43	377	507	106	106	56	0	False
35	44	378	507	106	106	56	0	False
35	45	379	507	106	106	56	0	False
35	46	380	507	106	106	56	0	False
35	47	381	507	106	106	55	0	False
35	48	382	507	106	106	55	0	False
35	49	383	507	106	106	54	0	False
35	50	384	507	106	106	54	0	False
35	51	385	507	106	106	54	0	False
35	52	386	507	106	106	54	0	False
35	53	387	507	106	106	54	0	False
35	54	388	507	106	106	54	0	False
35	55	389	507	106	106	54	0	False
35	56	390	507	106	106	54	0	False
35	57	391	507	106	106	54	0	False
35	58	392	507	106	106	54	0	False
35	59	393	507	106	106	54	0	False
35	60	394	507	106	106	54	0	False
35	61	395	507	106	106	54	0	False
35	62	396	507	106	106	54	0	False
35	63	397	507	106	106	54	0	False
35	64	398	507	106	106	54	0	False
35	65	399	507	106	106	54	0	False
35	66	400	507	106	106	54	0	False
35	67	401	507	106	106	54	0	False
35	68	402	507	106	106	54	0	False
35	69	403	507	106	106	54	0	False
36	38	372	508	106	106	57	0	False
36	39	373	508	106	106	56	0	False
36	40	374	508	106	106	56	0	False
36	41	375	508	106	106	56	0	False
36	42	376	508	106	106	56	0	False
36	43	377	508	106	106	56	0	False
36	44	378	508	106	106	56	0	False
36	45	379	508	106	106	56	0	False
36	46	380	508	106	106	56	0	False
36	47	381	508	106	106	55	0	False
36	48	382	508	106	106	55	0	False
36	49	383	508	106	106	54	0	False
36	50	384	508	106	106	54	0	False
36	51	385	508	106	106	54	0	False
36	52	386	508	106	106	54	0	False
36	53	387	508	106	106	54	0	False
36	54	388	508	106	106	54	0	False
36	55	389	508	106	106	54	0	False
36	56	390	508	106	106	54	0	False
36	57	391	508	106	106	54	0	False
36	58	392	508	106	106	54	0	False
36	59	393	508	106	106	54	0	False
36	60	394	508	106	106	54	0	False
36	61	395	508	106	106	54	0	False
36	62	396	508	106	106	54	0	False
36	63	397	508	106	106	54	0	False
36	64	398	508	106	106	54	0	False
36	65	399	508	106	106	54	0	False
36	66	400	508	106	106	54	0	False
36	67	401	508	106	106	54	0	False
36	68	402	508	106	106	54	0	False
36	69	403	508	106	106	54	0	False
36	70	404	508	106	106	54	0	False
37	39	373	509	106	106	56	0	False
37	40	374	509	106	106	56	0	False
37	41	375	509	106	106	56	0	False
37	42	376	509	106	106	56	0	False
37	43	377	509	106	106	56	0	False
37	44	378	509	106	106	56	0	False
37	45	379	509	106	106	56	0	False
37	46	380	509	106	106	56	0	False
37	47	381	509	106	106	55	0	False
37	48	382	509	106	106	55	0	False
37	49	383	509	106	106	54	0	False
37	50	384	509	106	106	54	0	False
37	51	385	509	106	106	54	0	False
37	52	386	509	106	106	54	0	False
37	53	387	509	106	106	54	0	False
37	54	388	509	106	106	54	0	False
37	55	389	509	106	106	54	0	False
37	56	390	509	106	106	54	0	False
37	57	391	509	106	106	54	0	False
37	58	392	509	106	106	54	0	False
37	59	393	509	106	106	54	0	False
37	60	394	509	106	106	54	0	False
37	61	395	509	106	106	54	0	False
37	62	396	509	106	106	54	0	False
37	63	397	509	106	106	54	0	False
37	64	398	509	106	106	54	0	False
37	65	399	509	106	106	54	0	False
37	66	400	509	106	106	54	0	False
37	67	401	509	106	106	54	0	False
37	68	402	509	106	106	54	0	False
37	69	403	509	106	106	54	0	False
37	70	404	509	106	106	54	0	False
38	38	372	510	106	106	57	0	False
38	39	373	510	106	106	56	0	False
38	40	374	510	106	106	56	0	False
38	41	375	510	106	106	56	0	False
38	42	376	510	106	106	56	0	False
38	43	377	510	106	106	56	0	False
38	44	378	510	106	106	56	0	False
38	45	379	510	106	106	56	0	False
38	46	380	510	106	106	56	0	False
38	47	381	510	106	106	55	0	False
38	48	382	510	106	106	55	0	False
38	49	383	510	106	106	54	0	False
38	50	384	510	106	106	54	0	False
38	51	385	510	106	106	54	0	False
38	52	386	510	106	106	54	0	False
38	53	387	510	106	106	54	0	False
38	54	388	510	106	106	54	0	False
38	55	389	510	106	106	54	0	False
38	56	390	510	106	106	54	0	False
38	57	391	510	106	106	54	0	False
38	58	392	510	106	106	54	0	False
38	59	393	510	106	106	54	0	False
38	60	394	510	106	106	54	0	False
38	61	395	510	106	106	54	0	False
38	62	396	510	106	106	54	0	False
38	63	397	510	106	106	54	0	False
38	64	398	510	106	106	54	0	False
38	65	399	510	106	106	54	0	False
38	66	400	510	106	106	54	0	False
38	67	401	510	106	106	54	0	False
38	68	402	510	106	106	54	0	False
38	69	403	510	106	106	54	0	False
38	70	404	510	106	106	54	0	False
38	71	405	510	106	106	57	0	False
39	39	373	511	106	106	56	0	False
39	40	374	511	106	106	56	0	False
39	41	375	511	106	106	56	0	False
39	42	376	511	106	106	56	0	False
39	43	377	511	54	54	6	0	False
39	44	378	511	54	54	6	0	False
39	45	379	511	54	54	6	0	False
39	46	380	511	54	54	6	0	False
39	47	381	511	54	54	7	0	False
39	48	382	511	54	54	7	0	False
39	49	383	511	54	54	7	0	False
39	50	384	511	54	54	7	0	False
39	51	385	511	54	54	8	0	False
39	52	386	511	54	54	8	0	False
39	53	387	511	54	54	8	0	False
39	54	388	511	54	54	8	0	False
39	55	389	511	54	54	9	0	False
39	56	390	511	54	54	9	0	False
39	57	391	511	54	54	9	0	False
39	58	392	511	54	54	9	0	False
39	59	393	511	54	54	10	0	False
39	60	394	511	54	54	10	0	False
39	61	395	511	54	54	10	0	False
39	62	396	511	54	54	10	0	False
39	63	397	511	54	54	11	0	False
39	64	398	511	54	54	11	0	False
39	65	399	511	54	54	11	0	False
39	66	400	511	54	54	11	0	False
39	67	401	511	106	106	54	0	False
39	68	402	511	106	106	54	0	False
39	69	403	511	106	106	54	0	False
39	70	404	511	106	106	54	0	False
39	71	405	511	106	106	57	0	False
39	73	407	511	76	76	39	0	False
39	74	408	511	76	76	39	0	False
39	75	409	511	76	76	39	0	False
39	76	410	511	76	76	39	0	False
39	77	411	511	76	76	38	0	False
39	78	412	511	76	76	38	0	False
39	79	413	511	76	76	38	0	False
39	80	414	511	76	76	38	0	False
39	81	415	511	83	83	36	0	False
39	82	416	511	83	83	36	0	False
39	83	417	511	83	83	36	0	False
39	84	418	511	83	83	36	0	False
40	39	373	512	106	106	56	0	False
40	40	374	512	106	106	56	0	False
40	41	375	512	106	106	56	0	False
40	42	376	512	106	106	56	0	False
40	43	377	512	54	54	6	0	False
40	44	378	512	54	54	6	0	False
40	45	379	512	54	54	6	0	False
40	46	380	512	54	54	6	0	False
40	47	381	512	54	54	7	0	False
40	48	382	512	54	54	7	0	False
40	49	383	512	54	54	7	0	False
40	50	384	512	54	54	7	0	False
40	51	385	512	54	54	8	0	False
40	52	386	512	54	54	8	0	False
40	53	387	512	54	54	8	0	False
40	54	388	512	54	54	8	0	False
40	55	389	512	54	54	9	0	False
40	56	390	512	54	54	9	0	False
40	57	391	512	54	54	9	0	False
40	58	392	512	54	54	9	0	False
40	59	393	512	54	54	10	0	False
40	60	394	512	54	54	10	0	False
40	61	395	512	54	54	10	0	False
40	62	396	512	54	54	10	0	False
40	63	397	512	54	54	11	0	False
40	64	398	512	54	54	11	0	False
40	65	399	512	54	54	11	0	False
40	66	400	512	54	54	11	0	False
40	67	401	512	106	106	54	0	False
40	68	402	512	106	106	54	0	False
40	69	403	512	106	106	54	0	False
40	70	404	512	106	106	54	0	False
40	71	405	512	106	106	57	0	False
40	73	407	512	76	76	39	0	False
40	74	408	512	76	76	39	0	False
40	75	409	512	76	76	39	0	False
40	76	410	512	76	76	39	0	False
40	77	411	512	76	76	38	0	False
40	78	412	512	76	76	38	0	False
