# capturedAtLocal=2026-09-24T20:00:58.7330229+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=8
# candidateId=0
# aivName=Default 4
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad4.aivjson
# aivJsonSha256=54a4bef2e38baf573124a9075a95ce0d94a3ea1941282f4af0b09481a421693b
# orientation=2
# originX=492
# originY=353
# keepX=535
# keepY=396
# evaluatedCells=534
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=534
# validatorBlockedCells=0
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
28	47	539	381	46	46	19	0	False
28	48	540	381	46	46	19	0	False
28	49	541	381	46	46	10	0	False
28	50	542	381	46	46	10	0	False
28	51	543	381	46	46	10	0	False
28	52	544	381	46	46	10	0	False
28	53	545	381	46	46	10	0	False
28	54	546	381	46	46	10	0	False
28	55	547	381	46	46	10	0	False
28	56	548	381	46	46	10	0	False
28	57	549	381	46	46	10	0	False
28	58	550	381	46	46	10	0	False
28	59	551	381	46	46	10	0	False
28	60	552	381	46	46	10	0	False
28	61	553	381	46	46	10	0	False
28	62	554	381	46	46	10	0	False
28	63	555	381	46	46	10	0	False
28	64	556	381	46	46	10	0	False
28	65	557	381	46	46	11	0	False
29	46	538	382	46	46	20	0	False
29	47	539	382	183	183	29	0	False
29	48	540	382	184	184	28	0	False
29	49	541	382	185	185	27	0	False
29	65	557	382	46	46	11	0	False
30	45	537	383	46	46	20	0	False
30	48	540	383	54	54	18	0	False
30	49	541	383	54	54	18	0	False
30	50	542	383	54	54	18	0	False
30	51	543	383	54	54	18	0	False
30	53	545	383	-1	86	8	0	False
30	54	546	383	-1	86	8	0	False
30	55	547	383	-1	86	8	0	False
30	56	548	383	-1	86	8	0	False
30	57	549	383	-1	86	8	0	False
30	58	550	383	-1	86	8	0	False
30	59	551	383	-1	86	8	0	False
30	60	552	383	-1	86	8	0	False
30	61	553	383	-1	86	8	0	False
30	62	554	383	-1	86	8	0	False
30	65	557	383	46	46	11	0	False
31	44	536	384	46	46	20	0	False
31	48	540	384	54	54	18	0	False
31	49	541	384	54	54	18	0	False
31	50	542	384	54	54	18	0	False
31	51	543	384	54	54	18	0	False
31	53	545	384	-1	86	8	0	False
31	54	546	384	-1	86	8	0	False
31	55	547	384	-1	86	8	0	False
31	56	548	384	-1	86	8	0	False
31	57	549	384	-1	86	8	0	False
31	58	550	384	-1	86	8	0	False
31	59	551	384	-1	86	8	0	False
31	60	552	384	-1	86	8	0	False
31	61	553	384	-1	86	8	0	False
31	62	554	384	-1	86	8	0	False
31	65	557	384	46	46	11	0	False
32	43	535	385	46	46	20	0	False
32	48	540	385	54	54	18	0	False
32	49	541	385	54	54	18	0	False
32	50	542	385	54	54	18	0	False
32	51	543	385	54	54	18	0	False
32	53	545	385	-1	86	8	0	False
32	54	546	385	-1	86	8	0	False
32	55	547	385	-1	86	8	0	False
32	56	548	385	-1	86	8	0	False
32	57	549	385	-1	86	8	0	False
32	58	550	385	-1	86	8	0	False
32	59	551	385	-1	86	8	0	False
32	60	552	385	-1	86	8	0	False
32	61	553	385	-1	86	8	0	False
32	62	554	385	-1	86	8	0	False
32	65	557	385	46	46	11	0	False
33	42	534	386	46	46	20	0	False
33	48	540	386	54	54	18	0	False
33	49	541	386	54	54	18	0	False
33	50	542	386	54	54	18	0	False
33	51	543	386	54	54	18	0	False
33	53	545	386	-1	86	8	0	False
33	54	546	386	-1	86	8	0	False
33	55	547	386	-1	86	8	0	False
33	56	548	386	-1	86	8	0	False
33	57	549	386	-1	86	8	0	False
33	58	550	386	-1	86	8	0	False
33	59	551	386	-1	86	8	0	False
33	60	552	386	-1	86	8	0	False
33	61	553	386	-1	86	8	0	False
33	62	554	386	-1	86	8	0	False
33	65	557	386	46	46	11	0	False
34	41	533	387	46	46	20	0	False
34	53	545	387	-1	86	8	0	False
34	54	546	387	-1	86	8	0	False
34	55	547	387	-1	86	8	0	False
34	56	548	387	-1	86	8	0	False
34	57	549	387	-1	86	8	0	False
34	58	550	387	-1	86	8	0	False
34	59	551	387	-1	86	8	0	False
34	60	552	387	-1	86	8	0	False
34	61	553	387	-1	86	8	0	False
34	62	554	387	-1	86	8	0	False
34	65	557	387	46	46	11	0	False
35	40	532	388	46	46	20	0	False
35	44	536	388	54	54	15	0	False
35	45	537	388	54	54	15	0	False
35	46	538	388	54	54	15	0	False
35	47	539	388	54	54	15	0	False
35	53	545	388	79	79	8	0	False
35	54	546	388	79	79	8	0	False
35	55	547	388	79	79	8	0	False
35	56	548	388	79	79	8	0	False
35	57	549	388	79	79	8	0	False
35	58	550	388	-1	86	8	0	False
35	59	551	388	-1	86	8	0	False
35	60	552	388	-1	86	8	0	False
35	61	553	388	-1	86	8	0	False
35	62	554	388	-1	86	8	0	False
35	65	557	388	46	46	11	0	False
36	40	532	389	98	98	32	0	False
36	44	536	389	54	54	15	0	False
36	45	537	389	54	54	15	0	False
36	46	538	389	54	54	15	0	False
36	47	539	389	54	54	15	0	False
36	53	545	389	79	79	8	0	False
36	54	546	389	79	79	8	0	False
36	55	547	389	79	79	8	0	False
36	56	548	389	79	79	8	0	False
36	57	549	389	79	79	8	0	False
36	58	550	389	-1	86	8	0	False
36	59	551	389	-1	86	8	0	False
36	60	552	389	-1	86	8	0	False
36	61	553	389	-1	86	8	0	False
36	62	554	389	-1	86	8	0	False
36	65	557	389	46	46	11	0	False
37	39	531	390	98	98	31	0	False
37	44	536	390	54	54	15	0	False
37	45	537	390	54	54	15	0	False
37	46	538	390	54	54	15	0	False
37	47	539	390	54	54	15	0	False
37	53	545	390	79	79	8	0	False
37	54	546	390	79	79	8	0	False
37	55	547	390	79	79	8	0	False
37	56	548	390	79	79	8	0	False
37	57	549	390	79	79	8	0	False
37	58	550	390	-1	86	8	0	False
37	59	551	390	-1	86	8	0	False
37	60	552	390	-1	86	8	0	False
37	61	553	390	-1	86	8	0	False
37	62	554	390	-1	86	8	0	False
37	65	557	390	98	98	40	0	False
38	38	530	391	98	98	30	0	False
38	41	533	391	98	98	54	0	False
38	44	536	391	54	54	15	0	False
38	45	537	391	54	54	15	0	False
38	46	538	391	54	54	15	0	False
38	47	539	391	54	54	15	0	False
38	53	545	391	79	79	8	0	False
38	54	546	391	79	79	8	0	False
38	55	547	391	79	79	8	0	False
38	56	548	391	79	79	8	0	False
38	57	549	391	79	79	8	0	False
38	58	550	391	-1	86	8	0	False
38	59	551	391	-1	86	8	0	False
38	60	552	391	-1	86	8	0	False
38	61	553	391	-1	86	8	0	False
38	62	554	391	-1	86	8	0	False
38	65	557	391	98	98	39	0	False
39	37	529	392	98	98	33	0	False
39	40	532	392	98	98	53	0	False
39	43	535	392	98	98	55	0	False
39	53	545	392	79	79	8	0	False
39	54	546	392	79	79	8	0	False
39	55	547	392	79	79	8	0	False
39	56	548	392	79	79	8	0	False
39	57	549	392	79	79	8	0	False
39	58	550	392	-1	86	8	0	False
39	59	551	392	-1	86	8	0	False
39	60	552	392	-1	86	8	0	False
39	61	553	392	-1	86	8	0	False
39	62	554	392	-1	86	8	0	False
39	65	557	392	98	98	38	0	False
40	37	529	393	46	46	7	0	False
40	39	531	393	98	98	52	0	False
40	42	534	393	98	98	56	0	False
40	46	538	393	-1	86	1	0	False
40	47	539	393	-1	86	1	0	False
40	48	540	393	-1	86	1	0	False
40	49	541	393	-1	86	1	0	False
40	50	542	393	-1	86	1	0	False
40	51	543	393	52	52	3	0	False
40	52	544	393	52	52	3	0	False
40	53	545	393	52	52	3	0	False
40	54	546	393	52	52	3	0	False
40	55	547	393	52	52	3	0	False
40	61	553	393	98	98	50	0	False
40	63	555	393	98	98	44	0	False
40	65	557	393	98	98	37	0	False
41	37	529	394	46	46	7	0	False
41	41	533	394	98	98	57	0	False
41	46	538	394	-1	86	1	0	False
41	47	539	394	-1	86	1	0	False
41	48	540	394	-1	86	1	0	False
41	49	541	394	-1	86	1	0	False
41	50	542	394	-1	86	1	0	False
41	51	543	394	52	52	3	0	False
41	52	544	394	52	52	3	0	False
41	53	545	394	52	52	3	0	False
41	54	546	394	52	52	3	0	False
41	55	547	394	52	52	3	0	False
41	61	553	394	98	98	51	0	False
41	62	554	394	98	98	45	0	False
41	65	557	394	46	46	13	0	False
41	66	558	394	46	46	13	0	False
41	67	559	394	46	46	13	0	False
41	68	560	394	46	46	13	0	False
42	37	529	395	46	46	7	0	False
42	40	532	395	98	98	58	0	False
42	46	538	395	-1	86	1	0	False
42	47	539	395	-1	86	1	0	False
42	48	540	395	-1	86	1	0	False
42	49	541	395	-1	86	1	0	False
42	50	542	395	-1	86	1	0	False
42	51	543	395	52	52	3	0	False
42	52	544	395	52	52	3	0	False
42	53	545	395	52	52	3	0	False
42	54	546	395	52	52	3	0	False
42	55	547	395	52	52	3	0	False
42	57	549	395	98	98	68	0	False
42	61	553	395	98	98	47	0	False
42	62	554	395	98	98	48	0	False
42	65	557	395	185	185	21	0	False
42	66	558	395	184	184	22	0	False
42	67	559	395	183	183	23	0	False
42	68	560	395	46	46	14	0	False
43	37	529	396	46	46	7	0	False
43	46	538	396	-1	86	1	0	False
43	47	539	396	-1	86	1	0	False
43	48	540	396	-1	86	1	0	False
43	49	541	396	-1	86	1	0	False
43	50	542	396	-1	86	1	0	False
43	51	543	396	52	52	3	0	False
43	52	544	396	52	52	3	0	False
43	53	545	396	52	52	3	0	False
43	54	546	396	52	52	3	0	False
43	55	547	396	52	52	3	0	False
43	58	550	396	98	98	69	0	False
43	61	553	396	98	98	46	0	False
43	63	555	396	98	98	49	0	False
43	68	560	396	46	46	14	0	False
44	37	529	397	46	46	7	0	False
44	39	531	397	54	54	17	0	False
44	40	532	397	54	54	17	0	False
44	41	533	397	54	54	17	0	False
44	42	534	397	54	54	17	0	False
44	46	538	397	-1	86	1	0	False
44	47	539	397	-1	86	1	0	False
44	48	540	397	-1	86	1	0	False
44	49	541	397	-1	86	1	0	False
44	50	542	397	-1	86	1	0	False
44	51	543	397	52	52	3	0	False
44	52	544	397	52	52	3	0	False
44	53	545	397	52	52	3	0	False
44	54	546	397	52	52	3	0	False
44	55	547	397	52	52	3	0	False
44	62	554	397	80	80	2	0	False
44	63	555	397	80	80	2	0	False
44	64	556	397	80	80	2	0	False
44	65	557	397	80	80	2	0	False
44	68	560	397	46	46	14	0	False
45	37	529	398	46	46	7	0	False
45	39	531	398	54	54	17	0	False
45	40	532	398	54	54	17	0	False
45	41	533	398	54	54	17	0	False
45	42	534	398	54	54	17	0	False
45	44	536	398	61	61	1	0	False
45	45	537	398	61	61	1	0	False
45	46	538	398	61	61	1	0	False
45	47	539	398	61	61	1	0	False
45	48	540	398	61	61	1	0	False
45	49	541	398	61	61	1	0	False
45	50	542	398	61	61	1	0	False
45	52	544	398	-1	86	1	0	False
45	53	545	398	-1	86	1	0	False
45	54	546	398	-1	86	1	0	False
