# capturedAtLocal=2026-09-24T20:01:29.2806653+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=3
# candidateId=0
# aivName=Default 3
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf3.aivjson
# aivJsonSha256=4e2a09090a53e53639c9f8c82e63362d213d53920f327d5d08936f8c02520cb0
# orientation=6
# originX=355
# originY=215
# keepX=398
# keepY=258
# evaluatedCells=3348
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=3348
# validatorBlockedCells=0
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
9	53	408	224	99	99	257	0	False
10	51	406	225	99	99	257	0	False
10	52	407	225	99	99	257	0	False
11	40	395	226	99	99	257	0	False
11	46	401	226	99	99	257	0	False
12	25	380	227	99	99	256	0	False
12	28	383	227	99	99	256	0	False
12	36	391	227	99	99	257	0	False
12	38	393	227	99	99	257	0	False
12	39	394	227	99	99	257	0	False
12	42	397	227	99	99	257	0	False
12	48	403	227	99	99	257	0	False
12	55	410	227	99	99	257	0	False
12	60	415	227	99	99	255	0	False
13	31	386	228	99	99	256	0	False
13	32	387	228	99	99	256	0	False
13	35	390	228	99	99	257	0	False
13	46	401	228	99	99	257	0	False
13	47	402	228	99	99	257	0	False
13	50	405	228	99	99	257	0	False
13	53	408	228	99	99	257	0	False
14	19	374	229	99	99	256	0	False
14	24	379	229	99	99	256	0	False
14	34	389	229	99	99	256	0	False
14	36	391	229	99	99	257	0	False
14	37	392	229	99	99	257	0	False
14	41	396	229	99	99	257	0	False
14	43	398	229	99	99	257	0	False
14	46	401	229	99	99	257	0	False
14	51	406	229	99	99	257	0	False
14	53	408	229	99	99	257	0	False
14	54	409	229	99	99	257	0	False
14	56	411	229	99	99	257	0	False
14	57	412	229	99	99	255	0	False
14	61	416	229	99	99	255	0	False
14	65	420	229	99	99	255	0	False
14	68	423	229	99	99	255	0	False
15	18	373	230	99	99	256	0	False
15	22	377	230	99	99	256	0	False
15	27	382	230	99	99	256	0	False
15	28	383	230	99	99	256	0	False
15	31	386	230	99	99	256	0	False
15	34	389	230	99	99	256	0	False
15	35	390	230	99	99	257	0	False
15	36	391	230	99	99	257	0	False
15	38	393	230	99	99	257	0	False
15	41	396	230	99	99	257	0	False
15	47	402	230	99	99	257	0	False
15	54	409	230	99	99	257	0	False
15	55	410	230	99	99	257	0	False
15	58	413	230	99	99	255	0	False
15	64	419	230	99	99	255	0	False
15	65	420	230	99	99	255	0	False
16	18	373	231	99	99	256	0	False
16	21	376	231	99	99	256	0	False
16	26	381	231	99	99	256	0	False
16	27	382	231	99	99	256	0	False
16	28	383	231	99	99	256	0	False
16	30	385	231	99	99	256	0	False
16	34	389	231	99	99	257	0	False
16	37	392	231	99	99	257	0	False
16	42	397	231	99	99	257	0	False
16	43	398	231	99	99	257	0	False
16	50	405	231	99	99	257	0	False
16	52	407	231	99	99	257	0	False
16	56	411	231	99	99	257	0	False
16	57	412	231	99	99	257	0	False
16	58	413	231	99	99	255	0	False
16	68	423	231	99	99	255	0	False
17	29	384	232	99	99	256	0	False
17	70	425	232	99	99	255	0	False
17	73	428	232	99	99	255	0	False
18	17	372	233	99	99	256	0	False
18	18	373	233	99	99	256	0	False
18	19	374	233	99	99	256	0	False
18	20	375	233	99	99	256	0	False
18	22	377	233	99	99	256	0	False
18	32	387	233	98	98	386	0	False
18	33	388	233	98	98	382	0	False
18	34	389	233	98	98	383	0	False
18	35	390	233	98	98	387	0	False
18	36	391	233	98	98	388	0	False
18	37	392	233	98	98	384	0	False
18	38	393	233	98	98	391	0	False
18	39	394	233	98	98	392	0	False
18	40	395	233	98	98	400	0	False
18	41	396	233	98	98	399	0	False
18	42	397	233	98	98	393	0	False
18	43	398	233	98	98	409	0	False
18	44	399	233	98	98	408	0	False
18	45	400	233	98	98	410	0	False
18	46	401	233	98	98	394	0	False
18	47	402	233	98	98	395	0	False
18	48	403	233	98	98	396	0	False
18	49	404	233	98	98	414	0	False
18	50	405	233	98	98	417	0	False
18	51	406	233	98	98	415	0	False
18	52	407	233	98	98	416	0	False
18	53	408	233	98	98	397	0	False
18	54	409	233	98	98	426	0	False
18	55	410	233	98	98	425	0	False
18	56	411	233	98	98	424	0	False
18	69	424	233	99	99	255	0	False
19	17	372	234	99	99	256	0	False
19	19	374	234	99	99	256	0	False
19	32	387	234	98	98	380	0	False
19	33	388	234	98	98	379	0	False
19	34	389	234	98	98	381	0	False
19	35	390	234	98	98	378	0	False
19	36	391	234	98	98	389	0	False
19	37	392	234	98	98	390	0	False
19	38	393	234	98	98	401	0	False
19	39	394	234	98	98	402	0	False
19	40	395	234	98	98	385	0	False
19	41	396	234	98	98	398	0	False
19	42	397	234	98	98	403	0	False
19	43	398	234	98	98	411	0	False
19	44	399	234	98	98	404	0	False
19	45	400	234	98	98	405	0	False
19	46	401	234	98	98	406	0	False
19	47	402	234	98	98	407	0	False
19	48	403	234	98	98	413	0	False
19	49	404	234	98	98	412	0	False
19	50	405	234	98	98	418	0	False
19	51	406	234	98	98	419	0	False
19	52	407	234	98	98	420	0	False
19	53	408	234	98	98	427	0	False
19	54	409	234	98	98	421	0	False
19	55	410	234	98	98	422	0	False
19	56	411	234	98	98	423	0	False
19	71	426	234	99	99	255	0	False
19	72	427	234	99	99	255	0	False
20	18	373	235	99	99	256	0	False
20	23	378	235	26	26	182	0	False
20	24	379	235	26	26	183	0	False
20	25	380	235	26	26	183	0	False
20	26	381	235	26	26	183	0	False
20	27	382	235	26	26	183	0	False
20	28	383	235	26	26	183	0	False
20	29	384	235	26	26	183	0	False
20	30	385	235	26	26	183	0	False
20	31	386	235	26	26	184	0	False
20	32	387	235	35	35	227	0	False
20	33	388	235	35	35	227	0	False
20	34	389	235	35	35	227	0	False
20	35	390	235	35	35	227	0	False
20	36	391	235	35	35	227	0	False
20	37	392	235	35	35	227	0	False
20	38	393	235	35	35	227	0	False
20	39	394	235	35	35	227	0	False
20	40	395	235	35	35	227	0	False
20	41	396	235	35	35	227	0	False
20	42	397	235	35	35	227	0	False
20	43	398	235	35	35	227	0	False
20	44	399	235	35	35	227	0	False
20	45	400	235	35	35	227	0	False
20	46	401	235	35	35	227	0	False
20	47	402	235	35	35	227	0	False
20	48	403	235	35	35	227	0	False
20	49	404	235	35	35	227	0	False
20	50	405	235	35	35	227	0	False
20	51	406	235	35	35	227	0	False
20	52	407	235	35	35	227	0	False
20	53	408	235	35	35	227	0	False
20	54	409	235	35	35	227	0	False
20	55	410	235	35	35	227	0	False
20	56	411	235	35	35	227	0	False
20	57	412	235	26	26	73	0	False
20	58	413	235	26	26	73	0	False
20	59	414	235	26	26	73	0	False
20	60	415	235	26	26	73	0	False
20	61	416	235	26	26	73	0	False
20	62	417	235	26	26	73	0	False
20	63	418	235	26	26	73	0	False
20	64	419	235	26	26	73	0	False
20	65	420	235	26	26	73	0	False
20	66	421	235	26	26	70	0	False
20	71	426	235	99	99	255	0	False
21	15	370	236	99	99	256	0	False
21	16	371	236	99	99	256	0	False
21	19	374	236	99	99	256	0	False
21	23	378	236	26	26	182	0	False
21	24	379	236	25	25	167	0	False
21	25	380	236	25	25	168	0	False
21	26	381	236	25	25	168	0	False
21	27	382	236	25	25	168	0	False
21	28	383	236	25	25	168	0	False
21	29	384	236	25	25	168	0	False
21	30	385	236	25	25	168	0	False
21	31	386	236	26	26	184	0	False
21	32	387	236	46	46	226	0	False
21	33	388	236	46	46	226	0	False
21	34	389	236	46	46	226	0	False
21	35	390	236	46	46	226	0	False
21	36	391	236	46	46	226	0	False
21	37	392	236	46	46	226	0	False
21	38	393	236	46	46	226	0	False
21	39	394	236	46	46	226	0	False
21	40	395	236	46	46	226	0	False
21	41	396	236	46	46	226	0	False
21	42	397	236	46	46	226	0	False
21	43	398	236	46	46	226	0	False
21	44	399	236	46	46	226	0	False
21	45	400	236	46	46	226	0	False
21	46	401	236	46	46	226	0	False
21	47	402	236	46	46	226	0	False
21	48	403	236	46	46	226	0	False
21	49	404	236	46	46	226	0	False
21	50	405	236	46	46	226	0	False
21	51	406	236	46	46	226	0	False
21	52	407	236	46	46	226	0	False
21	53	408	236	46	46	226	0	False
21	54	409	236	46	46	226	0	False
21	55	410	236	46	46	226	0	False
21	56	411	236	46	46	226	0	False
21	57	412	236	26	26	74	0	False
21	58	413	236	25	25	51	0	False
21	59	414	236	25	25	51	0	False
21	60	415	236	25	25	51	0	False
21	61	416	236	25	25	51	0	False
21	62	417	236	25	25	51	0	False
21	63	418	236	25	25	51	0	False
21	64	419	236	25	25	51	0	False
21	65	420	236	25	25	50	0	False
21	66	421	236	26	26	70	0	False
22	17	372	237	99	99	256	0	False
22	23	378	237	26	26	182	0	False
22	24	379	237	25	25	167	0	False
22	25	380	237	112	112	164	0	False
22	26	381	237	112	112	164	0	False
22	27	382	237	112	112	164	0	False
22	28	383	237	112	112	164	0	False
22	29	384	237	112	112	164	0	False
22	30	385	237	25	25	165	0	False
22	31	386	237	26	26	184	0	False
22	32	387	237	176	176	111	0	False
22	33	388	237	176	176	111	0	False
22	35	390	237	95	95	194	0	False
22	36	391	237	95	95	194	0	False
22	37	392	237	95	95	194	0	False
22	38	393	237	95	95	194	0	False
22	39	394	237	95	95	194	0	False
22	40	395	237	95	95	194	0	False
22	42	397	237	177	177	110	0	False
22	43	398	237	177	177	110	0	False
22	44	399	237	177	177	110	0	False
22	45	400	237	177	177	109	0	False
22	46	401	237	177	177	109	0	False
22	47	402	237	177	177	109	0	False
22	48	403	237	177	177	108	0	False
22	49	404	237	177	177	108	0	False
22	50	405	237	177	177	108	0	False
22	51	406	237	177	177	107	0	False
22	52	407	237	177	177	107	0	False
22	53	408	237	177	177	107	0	False
22	54	409	237	177	177	106	0	False
22	55	410	237	177	177	106	0	False
22	56	411	237	177	177	106	0	False
22	57	412	237	26	26	74	0	False
22	58	413	237	25	25	52	0	False
22	59	414	237	113	113	48	0	False
