# capturedAtLocal=2026-09-24T20:01:44.0386927+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=8
# candidateId=0
# aivName=Default 7
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad7.aivjson
# aivJsonSha256=48f6c0603de610ce1c27493352e3b83d1ff506672799da92709aa7ee2becaf14
# orientation=2
# originX=492
# originY=353
# keepX=535
# keepY=396
# evaluatedCells=608
# nativeBlockedCells=52
# resultGridBlockedCells=52
# validatorCalls=608
# validatorBlockedCells=52
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
36	43	535	389	46	46	15	1	True
36	44	536	389	46	46	18	1	True
36	45	537	389	46	46	17	1	True
36	46	538	389	46	46	11	0	False
36	47	539	389	46	46	11	0	False
36	48	540	389	46	46	11	0	False
36	49	541	389	46	46	11	0	False
36	50	542	389	46	46	11	0	False
36	51	543	389	46	46	11	0	False
36	52	544	389	46	46	11	0	False
36	53	545	389	46	46	11	0	False
36	54	546	389	46	46	11	0	False
36	55	547	389	46	46	11	0	False
36	56	548	389	46	46	11	0	False
36	57	549	389	46	46	11	0	False
36	58	550	389	46	46	11	0	False
36	59	551	389	46	46	11	0	False
36	60	552	389	46	46	11	0	False
36	61	553	389	46	46	11	0	False
36	62	554	389	46	46	11	0	False
36	63	555	389	46	46	14	0	False
37	43	535	390	46	46	15	1	True
37	62	554	390	183	183	22	0	False
37	63	555	390	46	46	14	0	False
38	34	526	391	46	46	19	1	True
38	35	527	391	46	46	19	1	True
38	36	528	391	46	46	19	1	True
38	37	529	391	46	46	16	1	True
38	38	530	391	46	46	16	1	True
38	39	531	391	46	46	16	1	True
38	40	532	391	46	46	16	1	True
38	41	533	391	46	46	16	1	True
38	42	534	391	46	46	16	1	True
38	43	535	391	46	46	17	1	True
38	46	538	391	54	54	6	0	False
38	47	539	391	54	54	6	0	False
38	48	540	391	54	54	6	0	False
38	49	541	391	54	54	6	0	False
38	51	543	391	54	54	7	0	False
38	52	544	391	54	54	7	0	False
38	53	545	391	54	54	7	0	False
38	54	546	391	54	54	7	0	False
38	56	548	391	54	54	13	0	False
38	57	549	391	54	54	13	0	False
38	58	550	391	54	54	13	0	False
38	59	551	391	54	54	13	0	False
38	62	554	391	184	184	21	0	False
38	63	555	391	46	46	14	0	False
39	35	527	392	98	98	64	0	False
39	37	529	392	98	98	44	0	False
39	39	531	392	98	98	58	1	True
39	41	533	392	98	98	79	1	True
39	46	538	392	54	54	6	0	False
39	47	539	392	54	54	6	0	False
39	48	540	392	54	54	6	0	False
39	49	541	392	54	54	6	0	False
39	51	543	392	54	54	7	0	False
39	52	544	392	54	54	7	0	False
39	53	545	392	54	54	7	0	False
39	54	546	392	54	54	7	0	False
39	56	548	392	54	54	13	0	False
39	57	549	392	54	54	13	0	False
39	58	550	392	54	54	13	0	False
39	59	551	392	54	54	13	0	False
39	62	554	392	185	185	20	0	False
39	63	555	392	46	46	14	0	False
40	34	526	393	98	98	63	0	False
40	36	528	393	98	98	65	0	False
40	38	530	393	98	98	57	0	False
40	40	532	393	98	98	78	0	False
