# capturedAtLocal=2026-09-24T20:02:01.1243466+02:00
# mapLoadSequence=5
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=6
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf3.aivjson
# aivJsonSha256=4e2a09090a53e53639c9f8c82e63362d213d53920f327d5d08936f8c02520cb0
# keepX=398
# keepY=258
# captureSequence=2
# playerId=3
# frameCount=428
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=7167
# buildingRecordChanges=224
# beforeCaptureMilliseconds=2758,5
# afterCaptureMilliseconds=3629,3
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T20:02:01.1243466+02:00	2026-09-24T20:02:01.1318553+02:00	30	0	2	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
2	2026-09-24T20:02:01.1394815+02:00	2026-09-24T20:02:01.1462192+02:00	30	1	2	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
3	2026-09-24T20:02:01.1552683+02:00	2026-09-24T20:02:01.1617697+02:00	30	2	2	52	True	1	0	1	70756	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
4	2026-09-24T20:02:01.1697822+02:00	2026-09-24T20:02:01.1762914+02:00	30	3	2	80	False	1	0	1	70751	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
5	2026-09-24T20:02:01.1848018+02:00	2026-09-24T20:02:01.1903036+02:00	30	4	2	87	False	1	0	1	62986	0	1	1	0x7FFAB507EDB0	True	100	0	0	100	
6	2026-09-24T20:02:01.1993488+02:00	2026-09-24T20:02:01.2053619+02:00	30	5	2	86	False	1	0	1	68106	0	1	1	0x7FFAB507EDB0	True	100	0	0	100	
7	2026-09-24T20:02:01.2133720+02:00	2026-09-24T20:02:01.2193742+02:00	30	6	2	88	False	1	0	1	73426	0	1	1	0x7FFAB507EDB0	True	50	0	0	50	
8	2026-09-24T20:02:01.2283883+02:00	2026-09-24T20:02:01.2344002+02:00	30	7	2	77	False	1	0	1	64015	0	1	1	0x7FFAB507EDB0	True	25	0	0	25	
9	2026-09-24T20:02:01.2434127+02:00	2026-09-24T20:02:01.2489204+02:00	30	8	2	54	False	1	0	1	80082	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
10	2026-09-24T20:02:01.2574326+02:00	2026-09-24T20:02:01.2639374+02:00	30	9	2	54	False	1	0	1	80086	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
11	2026-09-24T20:02:01.2719517+02:00	2026-09-24T20:02:01.2779571+02:00	30	10	2	54	False	1	0	1	77838	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
12	2026-09-24T20:02:01.2864640+02:00	2026-09-24T20:02:01.2929707+02:00	30	11	2	54	False	1	0	1	77842	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
13	2026-09-24T20:02:01.3004755+02:00	2026-09-24T20:02:01.3079847+02:00	30	12	2	54	False	1	0	1	80090	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
