# capturedAtLocal=2026-09-24T20:02:46.3239030+02:00
# mapLoadSequence=6
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=2
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel1.aivjson
# aivJsonSha256=2965e5952a8b14dd373d05084628ded036ecc933fd2f39b5e4c6cd4df62b7c9d
# keepX=506
# keepY=352
# captureSequence=6
# playerId=7
# frameCount=125
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=3535
# buildingRecordChanges=31
# beforeCaptureMilliseconds=807,0
# afterCaptureMilliseconds=1065,5
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T20:02:46.3239030+02:00	2026-09-24T20:02:46.3304094+02:00	41	0	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
2	2026-09-24T20:02:46.3384206+02:00	2026-09-24T20:02:46.3449328+02:00	41	1	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
3	2026-09-24T20:02:46.3539599+02:00	2026-09-24T20:02:46.3605012+02:00	41	2	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
4	2026-09-24T20:02:46.3688968+02:00	2026-09-24T20:02:46.3754098+02:00	41	3	6	52	True	1	0	1	124722	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
5	2026-09-24T20:02:46.3839357+02:00	2026-09-24T20:02:46.3894419+02:00	41	4	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
6	2026-09-24T20:02:46.3984673+02:00	2026-09-24T20:02:46.4045869+02:00	41	5	6	77	False	1	0	1	139990	0	1	1	0x7FFAB507EDB0	True	25	0	0	25	
7	2026-09-24T20:02:46.4120954+02:00	2026-09-24T20:02:46.4196214+02:00	41	6	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
8	2026-09-24T20:02:46.4277408+02:00	2026-09-24T20:02:46.4347594+02:00	41	7	6	25	False	1	0	10	537	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
9	2026-09-24T20:02:46.4428057+02:00	2026-09-24T20:02:46.4498454+02:00	41	8	6	25	False	1	0	9	424	0	1	0	0x7FFAB507EDB0	True	0	117	0	117	
10	2026-09-24T20:02:46.4575178+02:00	2026-09-24T20:02:46.4640420+02:00	41	9	6	25	False	1	0	14	433	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
11	2026-09-24T20:02:46.4725493+02:00	2026-09-24T20:02:46.4790609+02:00	41	10	6	54	False	1	0	1	149096	0	1	0	0x7FFAB507EDB0	True	0	219	0	219	
12	2026-09-24T20:02:46.4880948+02:00	2026-09-24T20:02:46.4941046+02:00	41	11	6	81	False	1	0	1	120546	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
13	2026-09-24T20:02:46.5021381+02:00	2026-09-24T20:02:46.5086444+02:00	41	12	6	25	False	1	0	19	211	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
14	2026-09-24T20:02:46.5171515+02:00	2026-09-24T20:02:46.5241776+02:00	41	13	6	25	False	1	0	19	447	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
15	2026-09-24T20:02:46.5325857+02:00	2026-09-24T20:02:46.5396018+02:00	41	14	6	25	False	1	0	9	466	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
16	2026-09-24T20:02:46.5481062+02:00	2026-09-24T20:02:46.5541710+02:00	41	15	6	25	False	1	0	13	239	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
17	2026-09-24T20:02:46.5626774+02:00	2026-09-24T20:02:46.5697470+02:00	41	16	6	25	False	1	0	11	252	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
18	2026-09-24T20:02:46.5782518+02:00	2026-09-24T20:02:46.5838534+02:00	41	17	6	25	False	1	0	9	230	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
19	2026-09-24T20:02:46.5920239+02:00	2026-09-24T20:02:46.5985320+02:00	41	18	6	82	False	1	0	1	131902	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
20	2026-09-24T20:02:46.6075524+02:00	2026-09-24T20:02:46.6140535+02:00	41	19	6	50	False	1	0	1	129014	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
21	2026-09-24T20:02:46.6225597+02:00	2026-09-24T20:02:46.6290738+02:00	41	20	6	54	False	1	0	1	139973	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
22	2026-09-24T20:02:46.6365856+02:00	2026-09-24T20:02:46.6436639+02:00	41	21	6	25	False	1	0	23	110	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
23	2026-09-24T20:02:46.6521686+02:00	2026-09-24T20:02:46.6582436+02:00	41	22	6	25	False	1	0	10	33	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
24	2026-09-24T20:02:46.6662619+02:00	2026-09-24T20:02:46.6722653+02:00	41	23	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
25	2026-09-24T20:02:46.6822741+02:00	2026-09-24T20:02:46.6882861+02:00	41	24	6	85	False	1	0	1	126158	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
26	2026-09-24T20:02:46.6972972+02:00	2026-09-24T20:02:46.7038020+02:00	41	25	6	83	False	1	0	1	134822	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
27	2026-09-24T20:02:46.7128133+02:00	2026-09-24T20:02:46.7193200+02:00	41	26	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
28	2026-09-24T20:02:46.7273320+02:00	2026-09-24T20:02:46.7343385+02:00	41	27	6	54	False	1	0	1	140720	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
29	2026-09-24T20:02:46.7428464+02:00	2026-09-24T20:02:46.7493537+02:00	41	28	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
30	2026-09-24T20:02:46.7583662+02:00	2026-09-24T20:02:46.7643731+02:00	41	29	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
31	2026-09-24T20:02:46.7728825+02:00	2026-09-24T20:02:46.7828971+02:00	41	30	6	84	False	1	0	1	122632	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
32	2026-09-24T20:02:46.7916120+02:00	2026-09-24T20:02:46.7981200+02:00	41	31	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
33	2026-09-24T20:02:46.8121375+02:00	2026-09-24T20:02:46.8191516+02:00	41	32	6	76	False	1	0	1	144522	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
34	2026-09-24T20:02:46.8281700+02:00	2026-09-24T20:02:46.8341851+02:00	41	33	6	95	False	1	0	1	133331	0	1	1	0x7FFAB507EDB0	True	36	0	0	36	
35	2026-09-24T20:02:46.8421911+02:00	2026-09-24T20:02:46.8487002+02:00	41	34	6	82	False	1	0	1	131896	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
36	2026-09-24T20:02:46.8572058+02:00	2026-09-24T20:02:46.8642132+02:00	41	35	6	50	False	1	0	1	129008	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
37	2026-09-24T20:02:46.8727226+02:00	2026-09-24T20:02:46.8792303+02:00	41	36	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
38	2026-09-24T20:02:46.8882502+02:00	2026-09-24T20:02:46.8952635+02:00	41	37	6	113	False	1	0	1	129737	0	1	1	0x7FFAB507EDB0	True	36	0	0	36	
39	2026-09-24T20:02:46.9022714+02:00	2026-09-24T20:02:46.9092825+02:00	41	38	6	113	False	1	0	1	103792	0	1	1	0x7FFAB507EDB0	True	36	0	0	36	
40	2026-09-24T20:02:46.9177938+02:00	2026-09-24T20:02:46.9237949+02:00	41	39	6	185	False	1	0	1	137744	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
41	2026-09-24T20:02:46.9323217+02:00	2026-09-24T20:02:46.9388435+02:00	41	40	6	54	False	1	0	1	141478	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
42	2026-09-24T20:02:46.9463549+02:00	2026-09-24T20:02:46.9523548+02:00	41	41	6	184	False	1	0	1	137743	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
43	2026-09-24T20:02:46.9613705+02:00	2026-09-24T20:02:46.9668915+02:00	41	42	6	183	False	1	0	1	137742	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
44	2026-09-24T20:02:46.9754020+02:00	2026-09-24T20:02:46.9819067+02:00	41	43	6	81	False	1	0	1	117786	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
45	2026-09-24T20:02:46.9909289+02:00	2026-09-24T20:02:46.9974417+02:00	41	44	6	182	False	1	0	1	137741	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
46	2026-09-24T20:02:47.0064589+02:00	2026-09-24T20:02:47.0129647+02:00	41	45	6	181	False	1	0	1	137740	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
47	2026-09-24T20:02:47.0219773+02:00	2026-09-24T20:02:47.0284871+02:00	41	46	6	88	False	1	0	1	107699	0	1	1	0x7FFAB507EDB0	True	50	0	0	50	
48	2026-09-24T20:02:47.0365704+02:00	2026-09-24T20:02:47.0435711+02:00	41	47	6	147	False	1	0	1	149883	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
49	2026-09-24T20:02:47.0510381+02:00	2026-09-24T20:02:47.0575450+02:00	41	48	6	92	False	1	0	1	147567	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
50	2026-09-24T20:02:47.0655672+02:00	2026-09-24T20:02:47.0720771+02:00	41	49	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
51	2026-09-24T20:02:47.0805862+02:00	2026-09-24T20:02:47.0881151+02:00	41	50	6	0	False	0	0	0	133	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
52	2026-09-24T20:02:47.0961322+02:00	2026-09-24T20:02:47.1026416+02:00	41	51	6	25	False	1	0	12	275	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
53	2026-09-24T20:02:47.1097211+02:00	2026-09-24T20:02:47.1167416+02:00	41	52	6	25	False	1	0	6	288	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
54	2026-09-24T20:02:47.1251021+02:00	2026-09-24T20:02:47.1316129+02:00	41	53	6	54	False	1	0	1	144503	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
55	2026-09-24T20:02:47.1392692+02:00	2026-09-24T20:02:47.1457777+02:00	41	54	6	76	False	1	0	1	147578	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
56	2026-09-24T20:02:47.1537796+02:00	2026-09-24T20:02:47.1600041+02:00	41	55	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
57	2026-09-24T20:02:47.1685307+02:00	2026-09-24T20:02:47.1745669+02:00	41	56	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
58	2026-09-24T20:02:47.1830980+02:00	2026-09-24T20:02:47.1891479+02:00	41	57	6	25	False	1	0	9	24	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
59	2026-09-24T20:02:47.1981626+02:00	2026-09-24T20:02:47.2046724+02:00	41	58	6	26	False	1	0	8	16	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
60	2026-09-24T20:02:47.2122659+02:00	2026-09-24T20:02:47.2185147+02:00	41	59	6	79	False	1	0	1	113024	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
61	2026-09-24T20:02:47.2270252+02:00	2026-09-24T20:02:47.2339885+02:00	41	60	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
62	2026-09-24T20:02:47.2425004+02:00	2026-09-24T20:02:47.2495169+02:00	41	61	6	65	False	1	0	1	119859	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
