# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=5
# keepX=418
# keepY=519
# nativeOrientation=0
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
37	before	0	0	0	0	0	0	0	0	0
37	after	1	41	5	34767	34767	241857	7	418	519
38	before	0	0	0	0	0	0	0	0	0
38	after	1	71	5	34768	34767	245744	1	420	526
39	before	0	0	0	0	0	0	0	0	0
39	after	1	73	5	34769	34767	245745	1	421	526
40	before	0	0	0	0	0	0	0	0	0
40	after	1	72	5	34770	34767	245746	1	422	526
41	before	0	0	0	0	0	0	0	0	0
41	after	1	55	5	34771	34767	246289	7	418	527
42	before	0	0	0	0	0	0	0	0	0
42	after	1	10	5	34772	34772	242984	2	425	521
43	before	0	0	0	0	0	0	0	0	0
43	after	1	10	5	34773	34772	242987	2	428	521
44	before	0	0	0	0	0	0	0	0	0
44	after	1	10	5	34774	34772	244649	2	425	524
45	before	0	0	0	0	0	0	0	0	0
45	after	1	10	5	34775	34772	244652	2	428	524
