# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=6
# keepX=488
# keepY=397
# nativeOrientation=6
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
46	before	0	0	0	0	0	0	0	0	0
46	after	1	41	6	34777	34777	158492	7	488	397
47	before	0	0	0	0	0	0	0	0	0
47	after	1	71	6	34778	34777	160087	1	487	399
48	before	0	0	0	0	0	0	0	0	0
48	after	1	73	6	34779	34777	160887	1	487	400
49	before	0	0	0	0	0	0	0	0	0
49	after	1	72	6	34780	34777	161686	1	487	401
50	before	0	0	0	0	0	0	0	0	0
50	after	1	55	6	34781	34777	158484	7	480	397
51	before	0	0	0	0	0	0	0	0	0
51	after	1	10	6	34782	34782	164072	2	488	404
52	before	0	0	0	0	0	0	0	0	0
52	after	1	10	6	34783	34782	164075	2	491	404
53	before	0	0	0	0	0	0	0	0	0
53	after	1	10	6	34784	34782	166439	2	488	407
54	before	0	0	0	0	0	0	0	0	0
54	after	1	10	6	34785	34782	166442	2	491	407
