# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=7
# keepX=507
# keepY=358
# nativeOrientation=2
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
55	before	0	0	0	0	0	0	0	0	0
55	after	1	41	7	34787	34787	128988	7	507	358
56	before	0	0	0	0	0	0	0	0	0
56	after	1	71	7	34788	34787	131883	1	514	362
57	before	0	0	0	0	0	0	0	0	0
57	after	1	73	7	34789	34787	131158	1	514	361
58	before	0	0	0	0	0	0	0	0	0
58	after	1	72	7	34790	34787	130435	1	514	360
59	before	0	0	0	0	0	0	0	0	0
59	after	1	55	7	34791	34787	128996	7	515	358
60	before	0	0	0	0	0	0	0	0	0
60	after	1	10	7	34792	34792	125425	2	509	353
61	before	0	0	0	0	0	0	0	0	0
61	after	1	10	7	34793	34792	125428	2	512	353
62	before	0	0	0	0	0	0	0	0	0
62	after	1	10	7	34794	34792	127558	2	509	356
63	before	0	0	0	0	0	0	0	0	0
63	after	1	10	7	34795	34792	127561	2	512	356
