# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=8
# keepX=536
# keepY=398
# nativeOrientation=2
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=54a4bef2e38baf573124a9075a95ce0d94a3ea1941282f4af0b09481a421693b
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
64	before	0	0	0	0	0	0	0	0	0
64	after	1	41	8	34797	34797	159337	7	536	398
65	before	0	0	0	0	0	0	0	0	0
65	after	1	71	8	34798	34797	162539	1	543	402
66	before	0	0	0	0	0	0	0	0	0
66	after	1	73	8	34799	34797	161742	1	543	401
67	before	0	0	0	0	0	0	0	0	0
67	after	1	72	8	34800	34797	160943	1	543	400
68	before	0	0	0	0	0	0	0	0	0
68	after	1	55	8	34801	34797	159345	7	544	398
69	before	0	0	0	0	0	0	0	0	0
69	after	1	10	8	34802	34802	155374	2	538	393
70	before	0	0	0	0	0	0	0	0	0
70	after	1	10	8	34803	34802	155377	2	541	393
71	before	0	0	0	0	0	0	0	0	0
71	after	1	10	8	34804	34802	157747	2	538	396
72	before	0	0	0	0	0	0	0	0	0
72	after	1	10	8	34805	34802	157750	2	541	396
