# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=8
# keepX=536
# keepY=402
# nativeOrientation=2
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=48f6c0603de610ce1c27493352e3b83d1ff506672799da92709aa7ee2becaf14
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
64	before	0	0	0	0	0	0	0	0	0
64	after	1	41	8	34797	34797	162532	7	536	402
65	before	0	0	0	0	0	0	0	0	0
65	after	1	71	8	34798	34797	165707	1	543	406
66	before	0	0	0	0	0	0	0	0	0
66	after	1	73	8	34799	34797	164918	1	543	405
67	before	0	0	0	0	0	0	0	0	0
67	after	1	72	8	34800	34797	164127	1	543	404
68	before	0	0	0	0	0	0	0	0	0
68	after	1	55	8	34801	34797	162540	7	544	402
69	before	0	0	0	0	0	0	0	0	0
69	after	1	10	8	34802	34802	158542	2	538	397
70	before	0	0	0	0	0	0	0	0	0
70	after	1	10	8	34803	34802	158545	2	541	397
71	before	0	0	0	0	0	0	0	0	0
71	after	1	10	8	34804	34802	160938	2	538	400
72	before	0	0	0	0	0	0	0	0	0
72	after	1	10	8	34805	34802	160941	2	541	400
