# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=6
# keepX=481
# keepY=404
# nativeOrientation=2
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=caf8ad68fd46638d53f249849eb8a6b13c314b3a886f0bf9377607666d263694
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
556	before	0	0	0	0	0	0	0	0	0
556	after	1	41	6	35734	35734	164065	7	481	404
557	before	0	0	0	0	0	0	0	0	0
557	after	1	71	6	35735	35734	167224	1	488	408
558	before	0	0	0	0	0	0	0	0	0
558	after	1	73	6	35736	35734	166439	1	488	407
559	before	0	0	0	0	0	0	0	0	0
559	after	1	72	6	35737	35734	165652	1	488	406
560	before	0	0	0	0	0	0	0	0	0
560	after	1	55	6	35738	35734	164073	7	489	404
561	before	0	0	0	0	0	0	0	0	0
561	after	1	10	6	35739	35739	160083	2	483	399
562	before	0	0	0	0	0	0	0	0	0
562	after	1	10	6	35740	35739	160086	2	486	399
563	before	0	0	0	0	0	0	0	0	0
563	after	1	10	6	35741	35739	162479	2	483	402
564	before	0	0	0	0	0	0	0	0	0
564	after	1	10	6	35742	35739	162482	2	486	402
