# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=4
# keepX=377
# keepY=515
# nativeOrientation=0
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=08dafe266d71fcd88f105ebca4e0ea76b7c938430010d816e77f50fb8fae60b0
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
455	before	0	0	0	0	0	0	0	0	0
455	after	1	41	4	35589	35589	239552	7	377	515
456	before	0	0	0	0	0	0	0	0	0
456	after	1	71	4	35590	35589	243495	1	379	522
457	before	0	0	0	0	0	0	0	0	0
457	after	1	73	4	35591	35589	243496	1	380	522
458	before	0	0	0	0	0	0	0	0	0
458	after	1	72	4	35592	35589	243497	1	381	522
459	before	0	0	0	0	0	0	0	0	0
459	after	1	55	4	35593	35589	244048	7	377	523
460	before	0	0	0	0	0	0	0	0	0
460	after	1	10	4	35594	35594	240695	2	384	517
461	before	0	0	0	0	0	0	0	0	0
461	after	1	10	4	35595	35594	240698	2	387	517
462	before	0	0	0	0	0	0	0	0	0
462	after	1	10	4	35596	35594	242384	2	384	520
463	before	0	0	0	0	0	0	0	0	0
463	after	1	10	4	35597	35594	242387	2	387	520
