# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=2
# keepX=337
# keepY=333
# nativeOrientation=6
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nizar5.aivjson
# aivJsonSha256=75ec63581c8d2d6a4dcf2a67c44690af4080f597d3356b84503ec68944bb3ca7
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=22
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=22
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.619
# afterScanMilliseconds=10.133
# changedLayerCells=359
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-200325-816-session007-p2-n02.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
329	327	107513	logic2	8	2
338	327	107522	logic2	8	2
339	327	107523	logic2	8	2
340	327	107524	logic2	8	2
341	327	107525	logic2	8	2
342	327	107526	logic2	8	2
343	327	107527	logic2	8	2
328	328	108169	logic2	8	2
338	328	108179	logic2	8	2
339	328	108180	logic2	8	2
340	328	108181	logic2	8	2
341	328	108182	logic2	8	2
343	328	108184	logic2	8	2
344	328	108185	logic2	8	2
327	329	108827	logic2	8	2
339	329	108839	logic2	8	2
340	329	108840	logic2	8	2
344	329	108844	logic2	8	2
345	329	108845	logic2	8	2
340	330	109501	logic2	8	2
345	330	109506	logic2	8	2
346	330	109507	logic2	8	2
345	331	110169	logic2	8	2
346	331	110170	logic2	8	2
347	331	110171	logic2	8	2
324	332	110813	logic2	8	2
344	332	110833	logic2	8	2
345	332	110834	logic2	8	2
346	332	110835	logic2	8	2
347	332	110836	logic2	8	2
348	332	110837	logic2	8	2
323	333	111479	logic2	8	2
329	333	111485	buildingId	0	14
330	333	111486	logic2	8	2
330	333	111486	buildingId	0	14
331	333	111487	buildingId	0	14
332	333	111488	buildingId	0	14
333	333	111489	buildingId	0	14
334	333	111490	buildingId	0	14
335	333	111491	buildingId	0	14
337	333	111493	logic	32768	268468224
337	333	111493	buildingId	0	10
338	333	111494	logic	32768	268468224
338	333	111494	buildingId	0	10
339	333	111495	logic	32768	268468224
339	333	111495	buildingId	0	10
340	333	111496	logic	32768	268468224
340	333	111496	buildingId	0	10
341	333	111497	logic	32768	268468224
341	333	111497	buildingId	0	10
342	333	111498	logic	32768	268468224
