# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=3
# keepX=405
# keepY=258
# nativeOrientation=6
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=0e59ca19225bfa86472a4b2a939ac8c97a1d6301e0fcc00b36cb998dd36eedd2
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	tileIdBegin	occupyTileGridSize	tileX	tileY
241	before	0	0	0	0	0	0	0	0
241	after	1	41	3	34970	67086	7	405	258
242	before	0	0	0	0	0	0	0	0
242	after	1	71	3	34971	68125	1	404	260
243	before	0	0	0	0	0	0	0	0
243	after	1	73	3	34972	68648	1	404	261
244	before	0	0	0	0	0	0	0	0
244	after	1	72	3	34973	69173	1	404	262
245	before	0	0	0	0	0	0	0	0
245	after	1	55	3	34974	67078	7	397	258
246	before	0	0	0	0	0	0	0	0
246	after	1	10	3	34975	70761	2	405	265
247	before	0	0	0	0	0	0	0	0
247	after	1	10	3	34976	70764	2	408	265
248	before	0	0	0	0	0	0	0	0
248	after	1	10	3	34977	72366	2	405	268
249	before	0	0	0	0	0	0	0	0
249	after	1	10	3	34978	72369	2	408	268
