# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=4
# keepX=377
# keepY=515
# nativeOrientation=0
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	tileIdBegin	occupyTileGridSize	tileX	tileY
545	before	0	0	0	0	0	0	0	0
545	after	1	41	4	35650	239552	7	377	515
546	before	0	0	0	0	0	0	0	0
546	after	1	71	4	35651	243495	1	379	522
547	before	0	0	0	0	0	0	0	0
547	after	1	73	4	35652	243496	1	380	522
548	before	0	0	0	0	0	0	0	0
548	after	1	72	4	35653	243497	1	381	522
549	before	0	0	0	0	0	0	0	0
549	after	1	55	4	35654	244048	7	377	523
550	before	0	0	0	0	0	0	0	0
550	after	1	10	4	35655	240695	2	384	517
551	before	0	0	0	0	0	0	0	0
551	after	1	10	4	35656	240698	2	387	517
552	before	0	0	0	0	0	0	0	0
552	after	1	10	4	35657	242384	2	384	520
553	before	0	0	0	0	0	0	0	0
553	after	1	10	4	35658	242387	2	387	520
