# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=7
# keepX=507
# keepY=358
# nativeOrientation=2
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	tileIdBegin	occupyTileGridSize	tileX	tileY
674	before	0	0	0	0	0	0	0	0
674	after	1	41	7	35964	128988	7	507	358
675	before	0	0	0	0	0	0	0	0
675	after	1	71	7	35965	131883	1	514	362
676	before	0	0	0	0	0	0	0	0
676	after	1	73	7	35966	131158	1	514	361
677	before	0	0	0	0	0	0	0	0
677	after	1	72	7	35967	130435	1	514	360
678	before	0	0	0	0	0	0	0	0
678	after	1	55	7	35968	128996	7	515	358
679	before	0	0	0	0	0	0	0	0
679	after	1	10	7	35969	125425	2	509	353
680	before	0	0	0	0	0	0	0	0
680	after	1	10	7	35970	125428	2	512	353
681	before	0	0	0	0	0	0	0	0
681	after	1	10	7	35971	127558	2	509	356
682	before	0	0	0	0	0	0	0	0
682	after	1	10	7	35972	127561	2	512	356
