# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=8
# keepX=536
# keepY=398
# nativeOrientation=2
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=2
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad4.aivjson
# aivJsonSha256=54a4bef2e38baf573124a9075a95ce0d94a3ea1941282f4af0b09481a421693b
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=17
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=17
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=10.864
# afterScanMilliseconds=8.884
# changedLayerCells=383
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-193433-442-session001-p8-n08.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
545	392	154594	logic2	0	2
546	392	154595	logic2	0	2
547	392	154596	logic2	0	2
548	392	154597	logic2	0	2
549	392	154598	logic2	0	2
550	392	154599	logic2	0	2
538	393	155374	logic	32768	34050
538	393	155374	buildingId	0	714
538	393	155374	height	8	18
538	393	155374	wallOwner	0	7
539	393	155375	logic	32768	34050
539	393	155375	buildingId	0	714
539	393	155375	height	8	18
539	393	155375	wallOwner	0	7
540	393	155376	logic	32768	33026
540	393	155376	height	8	18
540	393	155376	wallOwner	0	7
541	393	155377	logic	32768	34050
541	393	155377	buildingId	0	715
541	393	155377	height	8	18
541	393	155377	wallOwner	0	7
542	393	155378	logic	32768	34050
542	393	155378	buildingId	0	715
542	393	155378	height	8	18
542	393	155378	wallOwner	0	7
546	393	155382	logic2	0	2
547	393	155383	logic2	0	2
548	393	155384	logic2	0	2
549	393	155385	logic2	0	2
550	393	155386	logic2	0	2
551	393	155387	logic2	0	2
538	394	156163	logic	32768	34050
538	394	156163	buildingId	0	714
538	394	156163	height	8	18
538	394	156163	wallOwner	0	7
539	394	156164	logic	32768	34050
539	394	156164	buildingId	0	714
539	394	156164	height	8	18
539	394	156164	wallOwner	0	7
540	394	156165	logic	32768	33026
540	394	156165	height	8	18
540	394	156165	wallOwner	0	7
541	394	156166	logic	32768	34050
541	394	156166	buildingId	0	715
541	394	156166	height	8	18
541	394	156166	wallOwner	0	7
542	394	156167	logic	32768	34050
542	394	156167	buildingId	0	715
542	394	156167	height	8	18
542	394	156167	wallOwner	0	7
546	394	156171	logic2	0	2
547	394	156172	logic2	0	2
548	394	156173	logic2	0	2
549	394	156174	logic2	0	2
550	394	156175	logic2	0	2
551	394	156176	logic2	0	2
552	394	156177	logic2	0	2
538	395	156954	logic	32768	33026
538	395	156954	height	8	18
538	395	156954	wallOwner	0	7
539	395	156955	logic	32768	33026
539	395	156955	height	8	18
539	395	156955	wallOwner	0	7
540	395	156956	logic	32768	33026
540	395	156956	height	8	18
540	395	156956	wallOwner	0	7
541	395	156957	logic	32768	33026
541	395	156957	height	8	18
541	395	156957	wallOwner	0	7
542	395	156958	logic	32768	33026
542	395	156958	height	8	18
542	395	156958	wallOwner	0	7
547	395	156963	logic2	0	2
548	395	156964	logic2	0	2
549	395	156965	logic2	0	2
550	395	156966	logic2	0	2
551	395	156967	logic2	0	2
552	395	156968	logic2	0	2
553	395	156969	logic2	0	2
535	396	157744	logic2	1	2
538	396	157747	logic	32768	34050
538	396	157747	buildingId	0	716
538	396	157747	height	8	18
538	396	157747	wallOwner	0	7
539	396	157748	logic	32768	34050
539	396	157748	buildingId	0	716
539	396	157748	height	8	18
539	396	157748	wallOwner	0	7
540	396	157749	logic	32768	33026
540	396	157749	height	8	18
540	396	157749	wallOwner	0	7
541	396	157750	logic	32768	34050
541	396	157750	buildingId	0	717
541	396	157750	height	8	18
541	396	157750	wallOwner	0	7
542	396	157751	logic	32768	34050
542	396	157751	buildingId	0	717
542	396	157751	height	8	18
542	396	157751	wallOwner	0	7
548	396	157757	logic2	0	2
549	396	157758	logic2	0	2
550	396	157759	logic2	0	2
551	396	157760	logic2	0	2
552	396	157761	logic2	0	2
553	396	157762	logic2	0	2
554	396	157763	logic2	0	2
538	397	158542	logic	32768	34050
538	397	158542	buildingId	0	716
538	397	158542	height	8	18
538	397	158542	wallOwner	0	7
539	397	158543	logic	32768	34050
539	397	158543	buildingId	0	716
539	397	158543	height	8	18
539	397	158543	wallOwner	0	7
540	397	158544	logic	32768	33026
540	397	158544	height	8	18
540	397	158544	wallOwner	0	7
541	397	158545	logic	32768	34050
541	397	158545	buildingId	0	717
541	397	158545	height	8	18
541	397	158545	wallOwner	0	7
542	397	158546	logic	32768	34050
542	397	158546	buildingId	0	717
542	397	158546	height	8	18
542	397	158546	wallOwner	0	7
548	397	158552	logic2	0	2
549	397	158553	logic2	0	2
550	397	158554	logic2	0	2
551	397	158555	logic2	0	2
552	397	158556	logic2	0	2
553	397	158557	logic2	0	2
554	397	158558	logic2	0	2
555	397	158559	logic2	0	2
536	398	159337	logic	32768	268468224
536	398	159337	buildingId	0	709
537	398	159338	logic	32768	268468224
537	398	159338	buildingId	0	709
538	398	159339	logic	32768	268468224
538	398	159339	buildingId	0	709
539	398	159340	logic	32768	268468224
539	398	159340	buildingId	0	709
540	398	159341	logic	32768	268468224
540	398	159341	buildingId	0	709
541	398	159342	logic	32768	268468224
541	398	159342	buildingId	0	709
542	398	159343	logic	0	268435456
542	398	159343	buildingId	0	709
544	398	159345	buildingId	0	713
545	398	159346	buildingId	0	713
546	398	159347	buildingId	0	713
547	398	159348	buildingId	0	713
548	398	159349	logic2	0	2
548	398	159349	buildingId	0	713
549	398	159350	logic2	0	2
549	398	159350	buildingId	0	713
550	398	159351	logic2	0	2
550	398	159351	buildingId	0	713
551	398	159352	logic2	0	2
552	398	159353	logic2	0	2
553	398	159354	logic2	0	2
554	398	159355	logic2	0	2
555	398	159356	logic2	0	2
556	398	159357	logic2	0	2
536	399	160136	logic	32768	268468224
536	399	160136	buildingId	0	709
537	399	160137	logic	32768	268468224
537	399	160137	buildingId	0	709
538	399	160138	logic	32768	268468224
538	399	160138	buildingId	0	709
539	399	160139	logic	32768	268468224
539	399	160139	buildingId	0	709
540	399	160140	logic	32768	268468224
540	399	160140	buildingId	0	709
541	399	160141	logic	32768	268468224
541	399	160141	buildingId	0	709
542	399	160142	logic	0	268435456
542	399	160142	buildingId	0	709
544	399	160144	buildingId	0	713
545	399	160145	buildingId	0	713
546	399	160146	buildingId	0	713
547	399	160147	buildingId	0	713
548	399	160148	logic2	0	2
548	399	160148	buildingId	0	713
549	399	160149	logic2	0	2
549	399	160149	buildingId	0	713
550	399	160150	logic2	0	2
550	399	160150	buildingId	0	713
551	399	160151	logic2	0	2
552	399	160152	logic2	0	2
553	399	160153	logic2	0	2
554	399	160154	logic2	0	2
555	399	160155	logic2	0	2
556	399	160156	logic2	0	2
536	400	160936	logic	32768	268468224
536	400	160936	buildingId	0	709
537	400	160937	logic	32768	268468224
537	400	160937	buildingId	0	709
538	400	160938	logic	32768	268468224
538	400	160938	buildingId	0	709
539	400	160939	logic	32768	268468224
539	400	160939	buildingId	0	709
540	400	160940	logic	32768	268468224
540	400	160940	buildingId	0	709
541	400	160941	logic	32768	268468224
541	400	160941	buildingId	0	709
542	400	160942	logic	0	268435456
542	400	160942	buildingId	0	709
543	400	160943	logic	32768	33792
543	400	160943	buildingId	0	712
544	400	160944	buildingId	0	713
545	400	160945	buildingId	0	713
546	400	160946	buildingId	0	713
547	400	160947	logic	32768	33792
547	400	160947	buildingId	0	713
548	400	160948	logic2	0	2
548	400	160948	buildingId	0	713
549	400	160949	logic2	0	2
549	400	160949	buildingId	0	713
550	400	160950	logic2	0	2
550	400	160950	buildingId	0	713
551	400	160951	logic2	0	2
552	400	160952	logic2	0	2
553	400	160953	logic2	0	2
554	400	160954	logic2	0	2
555	400	160955	logic2	0	2
556	400	160956	logic2	0	2
536	401	161735	logic	32768	268468224
536	401	161735	buildingId	0	709
537	401	161736	logic	32768	268468224
537	401	161736	buildingId	0	709
538	401	161737	logic	32768	268468224
538	401	161737	buildingId	0	709
539	401	161738	logic	32768	268468224
539	401	161738	buildingId	0	709
540	401	161739	logic	32768	268468224
540	401	161739	buildingId	0	709
541	401	161740	logic	32768	268468224
541	401	161740	buildingId	0	709
542	401	161741	logic	0	268435456
542	401	161741	buildingId	0	709
543	401	161742	buildingId	0	711
544	401	161743	buildingId	0	713
545	401	161744	buildingId	0	713
546	401	161745	logic	0	1024
546	401	161745	buildingId	0	713
547	401	161746	logic	32768	33792
547	401	161746	buildingId	0	713
548	401	161747	logic	32768	33792
548	401	161747	logic2	0	2
548	401	161747	buildingId	0	713
549	401	161748	logic2	0	2
549	401	161748	buildingId	0	713
550	401	161749	logic2	0	2
550	401	161749	buildingId	0	713
551	401	161750	logic2	0	2
552	401	161751	logic2	0	2
553	401	161752	logic2	0	2
554	401	161753	logic2	0	2
555	401	161754	logic2	0	2
556	401	161755	logic2	0	2
536	402	162532	logic	32768	268468224
536	402	162532	buildingId	0	709
537	402	162533	logic	32768	268468224
537	402	162533	buildingId	0	709
538	402	162534	logic	32768	268468224
538	402	162534	buildingId	0	709
539	402	162535	logic	32768	268468224
539	402	162535	buildingId	0	709
540	402	162536	logic	32768	268468224
540	402	162536	buildingId	0	709
541	402	162537	logic	32768	268468224
541	402	162537	buildingId	0	709
542	402	162538	logic	0	268435456
542	402	162538	buildingId	0	709
543	402	162539	logic	0	1024
543	402	162539	buildingId	0	710
544	402	162540	buildingId	0	713
545	402	162541	buildingId	0	713
546	402	162542	buildingId	0	713
547	402	162543	logic	32768	33792
547	402	162543	buildingId	0	713
548	402	162544	logic2	0	2
548	402	162544	buildingId	0	713
549	402	162545	logic2	0	2
549	402	162545	buildingId	0	713
550	402	162546	logic2	0	2
550	402	162546	buildingId	0	713
551	402	162547	logic2	0	2
552	402	162548	logic2	0	2
553	402	162549	logic2	0	2
554	402	162550	logic2	0	2
555	402	162551	logic2	0	2
556	402	162552	logic2	0	2
536	403	163327	logic	32768	268468224
536	403	163327	buildingId	0	709
537	403	163328	logic	32768	268468224
537	403	163328	buildingId	0	709
538	403	163329	logic	32768	268468224
538	403	163329	buildingId	0	709
539	403	163330	logic	32768	268468224
539	403	163330	buildingId	0	709
540	403	163331	logic	32768	268468224
540	403	163331	buildingId	0	709
541	403	163332	logic	32768	268468224
541	403	163332	buildingId	0	709
542	403	163333	logic	32768	268468224
542	403	163333	buildingId	0	709
544	403	163335	buildingId	0	713
545	403	163336	buildingId	0	713
546	403	163337	buildingId	0	713
547	403	163338	logic2	0	2
547	403	163338	buildingId	0	713
548	403	163339	logic2	0	2
548	403	163339	buildingId	0	713
549	403	163340	logic2	0	2
549	403	163340	buildingId	0	713
550	403	163341	logic2	0	2
550	403	163341	buildingId	0	713
