# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=5
# keepX=418
# keepY=519
# nativeOrientation=0
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=c0287e57c640f05a602bd38bf49f5ee8db1101cdcdf965f8628caee49e43b7d5
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	tileIdBegin	occupyTileGridSize	tileX	tileY
514	before	0	0	0	0	0	0	0	0
514	after	1	41	5	35651	241857	7	418	519
515	before	0	0	0	0	0	0	0	0
515	after	1	71	5	35652	245744	1	420	526
516	before	0	0	0	0	0	0	0	0
516	after	1	73	5	35653	245745	1	421	526
517	before	0	0	0	0	0	0	0	0
517	after	1	72	5	35654	245746	1	422	526
518	before	0	0	0	0	0	0	0	0
518	after	1	55	5	35655	246289	7	418	527
519	before	0	0	0	0	0	0	0	0
519	after	1	10	5	35656	242984	2	425	521
520	before	0	0	0	0	0	0	0	0
520	after	1	10	5	35657	242987	2	428	521
521	before	0	0	0	0	0	0	0	0
521	after	1	10	5	35658	244649	2	425	524
522	before	0	0	0	0	0	0	0	0
522	after	1	10	5	35659	244652	2	428	524
