# capturedAtLocal=2026-09-24T20:24:51.8728407+02:00
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=4
# candidateId=0
# aivName=Default 7
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# orientation=6
# originX=215
# originY=374
# keepX=258
# keepY=417
# evaluatedCells=1770
# nativeBlockedCells=391
# resultGridBlockedCells=391
# validatorCalls=1770
# validatorBlockedCells=391
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
36	40	255	410	54	54	79	0	False
36	41	256	410	54	54	79	0	False
36	42	257	410	54	54	79	1	True
36	43	258	410	54	54	79	1	True
36	46	261	410	54	54	77	1	True
36	47	262	410	54	54	77	1	True
36	48	263	410	54	54	77	1	True
36	49	264	410	54	54	77	0	False
37	35	250	411	54	54	78	1	True
37	36	251	411	54	54	78	1	True
37	37	252	411	54	54	78	1	True
37	38	253	411	54	54	78	1	True
37	40	255	411	54	54	79	0	False
37	41	256	411	54	54	79	0	False
37	42	257	411	54	54	79	1	True
37	43	258	411	54	54	79	1	True
37	46	261	411	54	54	77	1	True
37	47	262	411	54	54	77	1	True
37	48	263	411	54	54	77	1	True
37	49	264	411	54	54	77	0	False
37	65	280	411	106	106	57	0	False
37	66	281	411	106	106	57	0	False
38	35	250	412	54	54	78	1	True
38	36	251	412	54	54	78	1	True
38	37	252	412	54	54	78	1	True
38	38	253	412	54	54	78	1	True
38	40	255	412	54	54	79	0	False
38	41	256	412	54	54	79	0	False
38	42	257	412	54	54	79	1	True
38	43	258	412	54	54	79	1	True
38	46	261	412	54	54	77	1	True
38	47	262	412	54	54	77	1	True
38	48	263	412	54	54	77	0	False
38	49	264	412	54	54	77	0	False
38	53	268	412	106	106	57	0	False
38	54	269	412	106	106	57	0	False
38	57	272	412	106	106	57	0	False
38	58	273	412	106	106	57	0	False
38	61	276	412	106	106	57	0	False
38	63	278	412	106	106	57	0	False
38	64	279	412	106	106	57	0	False
38	65	280	412	106	106	57	0	False
38	66	281	412	106	106	57	0	False
39	35	250	413	54	54	78	0	False
39	36	251	413	54	54	78	0	False
39	37	252	413	54	54	78	0	False
39	38	253	413	54	54	78	0	False
39	40	255	413	54	54	79	0	False
39	41	256	413	54	54	79	0	False
39	42	257	413	54	54	79	1	True
39	43	258	413	54	54	79	1	True
39	46	261	413	54	54	77	1	True
39	47	262	413	54	54	77	1	True
39	48	263	413	54	54	77	1	True
39	49	264	413	54	54	77	0	False
39	52	267	413	106	106	56	0	False
39	53	268	413	106	106	56	0	False
39	54	269	413	106	106	56	0	False
39	55	270	413	106	106	56	0	False
39	56	271	413	106	106	56	0	False
39	57	272	413	106	106	56	0	False
39	58	273	413	106	106	56	0	False
39	59	274	413	106	106	56	0	False
39	60	275	413	106	106	56	0	False
39	61	276	413	106	106	56	0	False
39	62	277	413	106	106	56	0	False
39	63	278	413	106	106	56	0	False
39	64	279	413	106	106	56	0	False
39	65	280	413	106	106	57	0	False
39	66	281	413	106	106	57	0	False
40	35	250	414	54	54	78	1	True
40	36	251	414	54	54	78	1	True
40	37	252	414	54	54	78	1	True
40	38	253	414	54	54	78	0	False
40	51	266	414	106	106	57	0	False
40	52	267	414	106	106	56	0	False
40	53	268	414	106	106	56	0	False
40	54	269	414	106	106	56	0	False
40	55	270	414	106	106	56	0	False
40	56	271	414	106	106	56	0	False
40	57	272	414	106	106	56	0	False
40	58	273	414	106	106	56	0	False
40	59	274	414	106	106	56	0	False
40	60	275	414	106	106	56	0	False
40	61	276	414	106	106	56	0	False
40	62	277	414	106	106	56	0	False
40	63	278	414	106	106	56	0	False
40	64	279	414	106	106	56	0	False
40	65	280	414	106	106	57	0	False
41	26	241	415	112	112	53	1	True
41	27	242	415	112	112	53	1	True
41	28	243	415	112	112	53	1	True
41	29	244	415	112	112	53	1	True
41	30	245	415	112	112	53	1	True
41	40	255	415	26	26	45	0	False
41	41	256	415	26	26	46	0	False
41	42	257	415	26	26	46	1	True
41	43	258	415	26	26	46	1	True
41	44	259	415	26	26	46	1	True
41	45	260	415	26	26	46	1	True
41	46	261	415	26	26	46	1	True
41	47	262	415	26	26	46	1	True
41	48	263	415	26	26	46	1	True
41	49	264	415	26	26	46	0	False
41	50	265	415	26	26	46	0	False
41	51	266	415	26	26	46	0	False
41	52	267	415	106	106	56	0	False
41	53	268	415	106	106	56	0	False
41	54	269	415	106	106	56	0	False
41	55	270	415	106	106	56	0	False
41	56	271	415	106	106	56	0	False
41	57	272	415	106	106	56	0	False
41	58	273	415	106	106	56	0	False
41	59	274	415	106	106	56	0	False
41	60	275	415	106	106	56	0	False
41	61	276	415	106	106	56	0	False
41	62	277	415	106	106	56	0	False
41	63	278	415	106	106	56	0	False
41	64	279	415	106	106	56	0	False
41	65	280	415	106	106	57	0	False
42	26	241	416	112	112	53	1	True
42	27	242	416	112	112	53	1	True
42	28	243	416	112	112	53	1	True
42	29	244	416	112	112	53	1	True
42	30	245	416	112	112	53	1	True
42	31	246	416	26	26	51	1	True
42	32	247	416	26	26	51	1	True
42	33	248	416	26	26	51	1	True
42	34	249	416	26	26	51	0	False
42	35	250	416	26	26	51	1	True
42	36	251	416	26	26	51	1	True
42	37	252	416	26	26	51	1	True
42	38	253	416	26	26	51	0	False
42	39	254	416	26	26	51	0	False
42	40	255	416	26	26	45	0	False
42	41	256	416	25	25	29	0	False
42	42	257	416	25	25	30	1	True
42	43	258	416	25	25	30	1	True
42	44	259	416	25	25	30	1	True
42	45	260	416	25	25	30	1	True
42	46	261	416	25	25	30	1	True
42	47	262	416	25	25	30	1	True
42	48	263	416	25	25	30	1	True
42	49	264	416	25	25	30	1	True
42	50	265	416	25	25	30	0	False
42	51	266	416	26	26	47	0	False
42	52	267	416	106	106	56	0	False
42	53	268	416	106	106	56	0	False
42	54	269	416	106	106	56	0	False
42	55	270	416	106	106	56	0	False
42	56	271	416	106	106	56	0	False
42	57	272	416	106	106	56	0	False
42	58	273	416	106	106	56	0	False
