# capturedAtLocal=2026-09-24T20:25:47.0983574+02:00
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=3
# candidateId=0
# aivName=Default 8
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf8.aivjson
# aivJsonSha256=0e59ca19225bfa86472a4b2a939ac8c97a1d6301e0fcc00b36cb998dd36eedd2
# orientation=4
# originX=215
# originY=374
# keepX=258
# keepY=417
# evaluatedCells=2068
# nativeBlockedCells=883
# resultGridBlockedCells=883
# validatorCalls=2068
# validatorBlockedCells=883
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
18	52	267	392	99	99	186	0	False
18	64	279	392	99	99	187	0	False
19	49	264	393	99	99	186	0	False
19	58	273	393	99	99	186	0	False
19	65	280	393	99	99	187	1	True
19	70	285	393	99	99	187	1	True
19	74	289	393	99	99	187	1	True
20	36	251	394	99	99	186	0	False
20	39	254	394	99	99	186	0	False
20	42	257	394	99	99	335	1	True
20	46	261	394	99	99	186	1	True
20	57	272	394	99	99	186	1	True
20	59	274	394	99	99	186	1	True
20	61	276	394	99	99	186	0	False
20	63	278	394	99	99	187	0	False
20	64	279	394	99	99	187	0	False
20	66	281	394	99	99	187	0	False
20	70	285	394	99	99	187	0	False
20	71	286	394	99	99	187	0	False
20	75	290	394	99	99	187	0	False
20	77	292	394	99	99	187	0	False
20	78	293	394	99	99	187	1	True
20	79	294	394	99	99	187	0	False
20	81	296	394	99	99	187	0	False
20	82	297	394	99	99	187	0	False
21	32	247	395	99	99	186	0	False
21	33	248	395	99	99	186	0	False
21	36	251	395	99	99	186	0	False
21	37	252	395	99	99	186	0	False
21	38	253	395	99	99	186	0	False
21	42	257	395	99	99	186	0	False
21	44	259	395	99	99	186	1	True
21	46	261	395	99	99	186	1	True
21	50	265	395	99	99	186	0	False
21	54	269	395	99	99	186	1	True
21	55	270	395	99	99	186	0	False
21	60	275	395	99	99	187	1	True
21	65	280	395	99	99	187	1	True
21	69	284	395	99	99	187	0	False
21	73	288	395	99	99	187	1	True
22	42	257	396	99	99	186	1	True
22	44	259	396	99	99	335	1	True
22	45	260	396	99	99	335	1	True
22	52	267	396	99	99	186	0	False
22	58	273	396	99	99	335	1	True
22	59	274	396	92	92	32	1	True
22	60	275	396	92	92	32	1	True
22	61	276	396	92	92	32	0	False
22	62	277	396	92	92	32	1	True
22	63	278	396	92	92	32	1	True
22	65	280	396	99	99	187	1	True
22	66	281	396	99	99	187	1	True
22	78	293	396	99	99	187	1	True
22	79	294	396	99	99	187	0	False
22	81	296	396	99	99	187	0	False
23	32	247	397	99	99	186	0	False
23	35	250	397	99	99	186	0	False
23	38	253	397	99	99	186	0	False
23	40	255	397	99	99	186	0	False
23	41	256	397	99	99	186	1	True
23	44	259	397	330	330	74	1	True
23	45	260	397	330	330	74	1	True
23	46	261	397	330	330	74	1	True
23	47	262	397	99	99	335	1	True
23	49	264	397	99	99	186	1	True
23	54	269	397	99	99	186	1	True
23	56	271	397	99	99	186	0	False
23	57	272	397	99	99	186	1	True
23	58	273	397	99	99	335	1	True
23	59	274	397	92	92	32	1	True
23	60	275	397	92	92	32	1	True
23	61	276	397	92	92	32	0	False
23	62	277	397	92	92	32	1	True
23	63	278	397	92	92	32	1	True
23	65	280	397	99	99	335	1	True
23	70	285	397	99	99	335	1	True
