# capturedAtLocal=2026-09-24T20:24:51.9300145+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=6
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# keepX=278
# keepY=395
# captureSequence=2
# playerId=5
# frameCount=141
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=3696
# buildingRecordChanges=43
# beforeCaptureMilliseconds=970,2
# afterCaptureMilliseconds=1263,6
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T20:24:51.9300145+02:00	2026-09-24T20:24:51.9365208+02:00	8	0	4	0	False	0	0	0	0	0	1	0	0x7FFABB5FEDB0	True	0	0	0	0	
2	2026-09-24T20:24:51.9459580+02:00	2026-09-24T20:24:51.9533317+02:00	8	1	4	0	False	0	0	0	0	0	1	0	0x7FFABB5FEDB0	True	0	0	0	0	
3	2026-09-24T20:24:51.9623489+02:00	2026-09-24T20:24:51.9693635+02:00	8	2	4	80	False	1	0	1	159870	0	1	1	0x7FFABB5FEDB0	True	16	0	0	16	
4	2026-09-24T20:24:51.9778733+02:00	2026-09-24T20:24:51.9861442+02:00	8	3	4	52	True	1	0	1	167020	0	1	0	0x7FFABB5FEDB0	True	0	0	0	0	
5	2026-09-24T20:24:51.9946721+02:00	2026-09-24T20:24:52.0026957+02:00	8	4	4	77	False	1	0	1	155133	0	1	1	0x7FFABB5FEDB0	True	25	0	0	25	
6	2026-09-24T20:24:52.0113663+02:00	2026-09-24T20:24:52.0178685+02:00	8	5	4	54	False	1	0	1	153540	0	1	1	0x7FFABB5FEDB0	True	16	0	0	16	
7	2026-09-24T20:24:52.0283242+02:00	2026-09-24T20:24:52.0343280+02:00	8	6	4	54	False	1	0	1	153544	0	1	1	0x7FFABB5FEDB0	True	16	0	0	16	
8	2026-09-24T20:24:52.0438349+02:00	2026-09-24T20:24:52.0513422+02:00	8	7	4	87	False	1	0	1	172485	0	1	1	0x7FFABB5FEDB0	True	100	0	0	100	
9	2026-09-24T20:24:52.0606967+02:00	2026-09-24T20:24:52.0677010+02:00	8	8	4	25	False	1	0	11	315	0	1	1	0x7FFABB5FEDB0	True	0	0	0	0	
10	2026-09-24T20:24:52.0774743+02:00	2026-09-24T20:24:52.0852244+02:00	8	9	4	25	False	1	0	12	467	0	1	1	0x7FFABB5FEDB0	True	0	0	0	0	
