# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=4
# keepX=265
# keepY=417
# nativeOrientation=6
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=9.507
# afterScanMilliseconds=9.801
# changedLayerCells=376
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-202433-343-session001-p4-n04.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
257	411	169336	logic2	0	2
265	411	169344	logic2	0	2
266	411	169345	logic2	0	2
267	411	169346	logic2	0	2
268	411	169347	logic2	0	2
269	411	169348	logic2	0	2
270	411	169349	logic2	0	2
271	411	169350	logic2	0	2
256	412	170112	logic2	0	2
266	412	170122	logic2	0	2
267	412	170123	logic2	0	2
268	412	170124	logic2	0	2
269	412	170125	logic2	0	2
270	412	170126	logic2	0	2
271	412	170127	logic2	0	2
272	412	170128	logic2	0	2
255	413	170886	logic2	0	2
267	413	170898	logic2	0	2
268	413	170899	logic2	0	2
269	413	170900	logic2	0	2
270	413	170901	logic2	0	2
271	413	170902	logic2	0	2
272	413	170903	logic2	0	2
273	413	170904	logic2	0	2
254	414	171658	logic2	0	2
268	414	171672	logic2	0	2
269	414	171673	logic2	0	2
270	414	171674	logic2	0	2
271	414	171675	logic2	0	2
272	414	171676	logic2	0	2
273	414	171677	logic2	0	2
274	414	171678	logic2	0	2
253	415	172428	logic2	0	2
269	415	172444	logic2	0	2
270	415	172445	logic2	0	2
271	415	172446	logic2	0	2
272	415	172447	logic2	0	2
273	415	172448	logic2	0	2
274	415	172449	logic2	0	2
275	415	172450	logic2	0	2
252	416	173196	logic2	0	2
270	416	173214	logic2	0	2
271	416	173215	logic2	0	2
272	416	173216	logic2	0	2
273	416	173217	logic2	0	2
274	416	173218	logic2	0	2
275	416	173219	logic2	0	2
276	416	173220	logic2	0	2
251	417	173962	logic2	0	2
257	417	173968	buildingId	0	32
258	417	173969	logic2	0	2
258	417	173969	buildingId	0	32
259	417	173970	buildingId	0	32
260	417	173971	buildingId	0	32
261	417	173972	buildingId	0	32
262	417	173973	buildingId	0	32
263	417	173974	buildingId	0	32
265	417	173976	logic	32768	268468224
265	417	173976	buildingId	0	28
266	417	173977	logic	32768	268468224
266	417	173977	buildingId	0	28
267	417	173978	logic	32768	268468224
267	417	173978	buildingId	0	28
268	417	173979	logic	32768	268468224
268	417	173979	buildingId	0	28
269	417	173980	logic	32768	268468224
269	417	173980	buildingId	0	28
270	417	173981	logic	32768	268468224
270	417	173981	buildingId	0	28
271	417	173982	logic	32768	268468224
271	417	173982	logic2	0	2
271	417	173982	buildingId	0	28
272	417	173983	logic2	0	2
273	417	173984	logic2	0	2
274	417	173985	logic2	0	2
275	417	173986	logic2	0	2
276	417	173987	logic2	0	2
277	417	173988	logic2	0	2
251	418	174727	logic2	0	2
257	418	174733	buildingId	0	32
258	418	174734	buildingId	0	32
259	418	174735	buildingId	0	32
260	418	174736	buildingId	0	32
261	418	174737	buildingId	0	32
262	418	174738	buildingId	0	32
263	418	174739	buildingId	0	32
265	418	174741	logic	32768	268468224
265	418	174741	buildingId	0	28
266	418	174742	logic	32768	268468224
266	418	174742	buildingId	0	28
267	418	174743	logic	32768	268468224
267	418	174743	buildingId	0	28
268	418	174744	logic	32768	268468224
268	418	174744	buildingId	0	28
269	418	174745	logic	32768	268468224
269	418	174745	buildingId	0	28
270	418	174746	logic	32768	268468224
270	418	174746	buildingId	0	28
271	418	174747	logic	32768	268468224
271	418	174747	logic2	0	2
271	418	174747	buildingId	0	28
272	418	174748	logic2	0	2
273	418	174749	logic2	0	2
274	418	174750	logic2	0	2
275	418	174751	logic2	0	2
276	418	174752	logic2	0	2
277	418	174753	logic2	0	2
251	419	175490	logic2	0	2
257	419	175496	buildingId	0	32
258	419	175497	buildingId	0	32
259	419	175498	buildingId	0	32
260	419	175499	logic	32768	33792
260	419	175499	buildingId	0	32
261	419	175500	buildingId	0	32
262	419	175501	buildingId	0	32
263	419	175502	buildingId	0	32
264	419	175503	logic	32768	33792
264	419	175503	buildingId	0	29
265	419	175504	logic	0	268435456
265	419	175504	buildingId	0	28
266	419	175505	logic	0	268435456
266	419	175505	buildingId	0	28
267	419	175506	logic	0	268435456
267	419	175506	buildingId	0	28
268	419	175507	logic	0	268435456
268	419	175507	buildingId	0	28
269	419	175508	logic	0	268435456
269	419	175508	buildingId	0	28
270	419	175509	logic	32768	268468224
270	419	175509	buildingId	0	28
271	419	175510	logic	32768	268468224
271	419	175510	logic2	0	2
271	419	175510	buildingId	0	28
272	419	175511	logic2	0	2
273	419	175512	logic2	0	2
274	419	175513	logic2	0	2
275	419	175514	logic2	0	2
276	419	175515	logic2	0	2
277	419	175516	logic2	0	2
251	420	176251	logic2	0	2
257	420	176257	buildingId	0	32
258	420	176258	buildingId	0	32
259	420	176259	logic	32768	33792
259	420	176259	buildingId	0	32
260	420	176260	logic	32768	33792
260	420	176260	buildingId	0	32
261	420	176261	logic	32768	33792
261	420	176261	buildingId	0	32
262	420	176262	buildingId	0	32
263	420	176263	buildingId	0	32
264	420	176264	buildingId	0	30
265	420	176265	logic	0	268435456
265	420	176265	buildingId	0	28
266	420	176266	logic	32768	268468224
266	420	176266	buildingId	0	28
267	420	176267	logic	32768	268468224
267	420	176267	buildingId	0	28
268	420	176268	logic	32768	268468224
268	420	176268	buildingId	0	28
269	420	176269	logic	0	268435456
269	420	176269	buildingId	0	28
270	420	176270	logic	32768	268468224
270	420	176270	buildingId	0	28
271	420	176271	logic	32768	268468224
271	420	176271	logic2	0	2
271	420	176271	buildingId	0	28
272	420	176272	logic2	0	2
273	420	176273	logic2	0	2
274	420	176274	logic2	0	2
275	420	176275	logic2	0	2
276	420	176276	logic2	0	2
277	420	176277	logic2	0	2
251	421	177010	logic2	0	2
257	421	177016	buildingId	0	32
258	421	177017	buildingId	0	32
259	421	177018	buildingId	0	32
260	421	177019	logic	32768	33792
260	421	177019	buildingId	0	32
261	421	177020	buildingId	0	32
262	421	177021	buildingId	0	32
263	421	177022	buildingId	0	32
264	421	177023	logic	32768	33792
264	421	177023	buildingId	0	31
265	421	177024	logic	0	268435456
265	421	177024	buildingId	0	28
266	421	177025	logic	32768	268468224
266	421	177025	buildingId	0	28
267	421	177026	logic	32768	268468224
267	421	177026	buildingId	0	28
268	421	177027	logic	32768	268468224
268	421	177027	buildingId	0	28
269	421	177028	logic	0	268435456
269	421	177028	buildingId	0	28
270	421	177029	logic	32768	268468224
270	421	177029	buildingId	0	28
271	421	177030	logic	32768	268468224
271	421	177030	logic2	0	2
271	421	177030	buildingId	0	28
272	421	177031	logic2	0	2
273	421	177032	logic2	0	2
274	421	177033	logic2	0	2
275	421	177034	logic2	0	2
276	421	177035	logic2	0	2
277	421	177036	logic2	0	2
251	422	177767	logic2	0	2
257	422	177773	buildingId	0	32
258	422	177774	buildingId	0	32
259	422	177775	buildingId	0	32
260	422	177776	buildingId	0	32
261	422	177777	buildingId	0	32
262	422	177778	buildingId	0	32
263	422	177779	buildingId	0	32
