# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=3
# keepX=254
# keepY=379
# nativeOrientation=15
# scale=7
# isFree=False
# selectionPlacementState=0
# selectionAccepted=False
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=<none>
# aivJson=<no accepted AIV>
# aivJsonSha256=<not-available>
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=3
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=3
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.799
# afterScanMilliseconds=10.352
# changedLayerCells=358
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-202454-695-session002-p3-n03.records.tsv
# newBuildingCells=114
# replacedBuildingCells=3
# clearedBuildingCells=2
# sampledRegionComplete=True
x	y	tileId	layer	before	after
254	379	144254	logic	1073774592	268468224
254	379	144254	buildingId	0	128
254	379	144254	height	0	8
255	379	144255	logic	1073774592	268468224
255	379	144255	buildingId	0	128
255	379	144255	height	0	8
256	379	144256	logic	1073774592	268468224
256	379	144256	buildingId	0	128
256	379	144256	height	0	8
257	379	144257	logic	1073774592	268468224
257	379	144257	buildingId	0	128
257	379	144257	height	0	8
258	379	144258	logic	1073774592	268468224
258	379	144258	buildingId	0	128
258	379	144258	height	0	8
259	379	144259	logic	32768	268468224
259	379	144259	buildingId	0	128
260	379	144260	logic	32768	268468224
260	379	144260	buildingId	0	128
254	380	145015	logic	1073774592	268468224
254	380	145015	buildingId	0	128
254	380	145015	height	0	8
255	380	145016	logic	1073774592	268468224
255	380	145016	buildingId	0	128
255	380	145016	height	0	8
256	380	145017	logic	1073774592	268468224
256	380	145017	buildingId	0	128
256	380	145017	height	0	8
257	380	145018	logic	1073774592	268468224
257	380	145018	buildingId	0	128
257	380	145018	height	0	8
258	380	145019	logic	1073774592	268468224
258	380	145019	buildingId	0	128
258	380	145019	height	0	8
259	380	145020	logic	1073774592	268468224
259	380	145020	buildingId	0	128
259	380	145020	height	0	8
260	380	145021	logic	32768	268468224
260	380	145021	buildingId	136	128
254	381	145778	logic	32768	268468224
254	381	145778	buildingId	0	128
255	381	145779	logic	1073774592	268468224
255	381	145779	buildingId	0	128
255	381	145779	height	0	8
256	381	145780	logic	1073774592	268468224
256	381	145780	buildingId	0	128
256	381	145780	height	0	8
257	381	145781	logic	1073774592	268468224
257	381	145781	buildingId	0	128
257	381	145781	height	0	8
258	381	145782	logic	1073774592	268468224
258	381	145782	buildingId	0	128
258	381	145782	height	0	8
259	381	145783	logic	1073774592	268468224
259	381	145783	buildingId	0	128
259	381	145783	height	0	8
260	381	145784	logic	32768	268468224
260	381	145784	buildingId	0	128
261	381	145785	logic	0	1282
261	381	145785	buildingId	128	241
261	381	145785	height	8	18
261	381	145785	wallOwner	1	2
262	381	145786	logic	0	1282
262	381	145786	buildingId	0	241
262	381	145786	height	8	18
262	381	145786	wallOwner	1	2
263	381	145787	logic	0	258
263	381	145787	height	8	18
263	381	145787	wallOwner	1	2
264	381	145788	logic	0	1282
264	381	145788	buildingId	0	242
264	381	145788	height	8	18
264	381	145788	wallOwner	1	2
265	381	145789	logic	0	1282
265	381	145789	buildingId	0	242
265	381	145789	height	8	18
265	381	145789	wallOwner	1	2
254	382	146543	logic	32768	268468224
254	382	146543	buildingId	0	128
255	382	146544	logic	1073774592	268468224
255	382	146544	buildingId	0	128
255	382	146544	height	0	8
256	382	146545	logic	1073774592	268468224
256	382	146545	buildingId	0	128
256	382	146545	height	0	8
257	382	146546	logic	1073774592	268468224
257	382	146546	buildingId	0	128
257	382	146546	height	0	8
258	382	146547	logic	1073774592	268468224
258	382	146547	buildingId	0	128
258	382	146547	height	0	8
259	382	146548	logic	1073774592	268468224
259	382	146548	buildingId	0	128
259	382	146548	height	0	8
260	382	146549	logic	32768	268468224
260	382	146549	buildingId	0	128
261	382	146550	logic	0	1282
261	382	146550	buildingId	0	241
261	382	146550	height	8	18
261	382	146550	wallOwner	1	2
262	382	146551	logic	32768	34050
262	382	146551	buildingId	0	241
262	382	146551	height	8	18
262	382	146551	wallOwner	1	2
263	382	146552	logic	32768	33026
263	382	146552	buildingId	229	0
263	382	146552	height	8	18
263	382	146552	wallOwner	1	2
264	382	146553	logic	32768	34050
264	382	146553	buildingId	0	242
264	382	146553	height	8	18
264	382	146553	wallOwner	1	2
265	382	146554	logic	0	1282
265	382	146554	buildingId	0	242
265	382	146554	height	8	18
265	382	146554	wallOwner	1	2
254	383	147310	logic	32768	268468224
254	383	147310	buildingId	0	128
255	383	147311	logic	32768	268468224
255	383	147311	buildingId	0	128
256	383	147312	logic	1073774592	268468224
256	383	147312	buildingId	0	128
256	383	147312	height	0	8
257	383	147313	logic	1073774592	268468224
257	383	147313	buildingId	0	128
257	383	147313	height	0	8
258	383	147314	logic	1073774592	268468224
258	383	147314	buildingId	0	128
258	383	147314	height	0	8
259	383	147315	logic	1073774592	268468224
259	383	147315	buildingId	0	128
259	383	147315	height	0	8
260	383	147316	logic	1073774592	268468224
260	383	147316	buildingId	0	128
260	383	147316	height	0	8
261	383	147317	logic	0	258
261	383	147317	height	8	18
261	383	147317	wallOwner	1	2
262	383	147318	logic	32768	33026
262	383	147318	buildingId	132	0
262	383	147318	height	8	18
262	383	147318	wallOwner	1	2
263	383	147319	logic	32768	33026
263	383	147319	height	8	18
263	383	147319	wallOwner	1	2
264	383	147320	logic	32768	33026
264	383	147320	height	8	18
264	383	147320	wallOwner	1	2
265	383	147321	logic	0	258
265	383	147321	height	8	18
265	383	147321	wallOwner	1	2
254	384	148079	logic	32768	268468224
254	384	148079	buildingId	0	128
255	384	148080	logic	32768	268468224
255	384	148080	buildingId	0	128
256	384	148081	logic	1073774592	268468224
256	384	148081	buildingId	0	128
256	384	148081	height	0	8
257	384	148082	logic	1073774592	268468224
257	384	148082	buildingId	0	128
257	384	148082	height	0	8
258	384	148083	logic	1073774592	268468224
258	384	148083	buildingId	0	128
258	384	148083	height	0	8
259	384	148084	logic	1073774592	268468224
259	384	148084	buildingId	0	128
259	384	148084	height	0	8
260	384	148085	logic	1073774592	268468224
260	384	148085	buildingId	0	128
260	384	148085	height	0	8
261	384	148086	logic	0	1282
261	384	148086	buildingId	0	243
261	384	148086	height	8	18
261	384	148086	wallOwner	1	2
262	384	148087	logic	32768	34050
262	384	148087	buildingId	0	243
262	384	148087	height	8	18
262	384	148087	wallOwner	1	2
263	384	148088	logic	32768	33026
263	384	148088	height	8	18
263	384	148088	wallOwner	1	2
264	384	148089	logic	32768	34050
264	384	148089	buildingId	0	244
264	384	148089	height	8	18
264	384	148089	wallOwner	1	2
265	384	148090	logic	0	1282
265	384	148090	buildingId	0	244
265	384	148090	height	8	18
265	384	148090	wallOwner	1	2
254	385	148850	logic	32768	268468224
254	385	148850	buildingId	0	128
255	385	148851	logic	32768	268468224
255	385	148851	buildingId	0	128
256	385	148852	logic	1073774592	268468224
256	385	148852	buildingId	0	128
256	385	148852	height	0	8
257	385	148853	logic	1073774592	268468224
257	385	148853	buildingId	0	128
257	385	148853	height	0	8
258	385	148854	logic	1073774592	268468224
258	385	148854	buildingId	0	128
258	385	148854	height	0	8
259	385	148855	logic	1073774592	268468224
259	385	148855	buildingId	0	128
259	385	148855	height	0	8
260	385	148856	logic	1073774592	268468224
260	385	148856	buildingId	0	128
260	385	148856	height	0	8
261	385	148857	logic	0	1282
261	385	148857	buildingId	0	243
261	385	148857	height	8	18
261	385	148857	wallOwner	1	2
262	385	148858	logic	0	1282
262	385	148858	buildingId	131	243
262	385	148858	height	8	18
262	385	148858	wallOwner	1	2
263	385	148859	logic	0	258
263	385	148859	height	8	18
263	385	148859	wallOwner	1	2
264	385	148860	logic	0	1282
264	385	148860	buildingId	0	244
264	385	148860	height	8	18
264	385	148860	wallOwner	1	2
265	385	148861	logic	0	1282
265	385	148861	buildingId	0	244
265	385	148861	height	8	18
265	385	148861	wallOwner	1	2
256	386	149625	logic	1073774592	1073775616
256	386	149625	buildingId	0	131
256	386	149625	height	0	8
257	386	149626	buildingId	0	132
257	386	149626	height	0	8
258	386	149627	logic	1073774592	1073775616
258	386	149627	buildingId	0	136
258	386	149627	height	0	8
254	387	150398	buildingId	0	229
255	387	150399	buildingId	0	229
256	387	150400	logic	1073774592	32768
256	387	150400	buildingId	0	229
256	387	150400	height	0	8
257	387	150401	logic	1073774592	32768
257	387	150401	buildingId	0	229
257	387	150401	height	0	8
258	387	150402	logic	1073774592	32768
258	387	150402	buildingId	0	229
258	387	150402	height	0	8
259	387	150403	logic	1073774592	32768
259	387	150403	buildingId	0	229
259	387	150403	height	0	8
260	387	150404	logic	1073774592	32768
260	387	150404	buildingId	0	229
260	387	150404	height	0	8
254	388	151175	buildingId	0	229
255	388	151176	buildingId	0	229
256	388	151177	logic	1073774592	32768
256	388	151177	buildingId	0	229
256	388	151177	height	0	8
257	388	151178	logic	1073774592	32768
257	388	151178	buildingId	0	229
257	388	151178	height	0	8
258	388	151179	logic	1073774592	32768
258	388	151179	buildingId	0	229
258	388	151179	height	0	8
259	388	151180	logic	1073774592	32768
259	388	151180	buildingId	0	229
259	388	151180	height	0	8
260	388	151181	logic	1073774592	32768
260	388	151181	buildingId	0	229
260	388	151181	height	0	8
254	389	151954	buildingId	0	229
255	389	151955	logic	1073774592	32768
255	389	151955	buildingId	0	229
255	389	151955	height	0	8
256	389	151956	logic	1073774592	32768
256	389	151956	buildingId	0	229
256	389	151956	height	0	8
257	389	151957	logic	1073774592	33792
257	389	151957	buildingId	0	229
257	389	151957	height	0	8
258	389	151958	logic	1073774592	32768
258	389	151958	buildingId	0	229
258	389	151958	height	0	8
259	389	151959	logic	1073774592	32768
259	389	151959	buildingId	0	229
259	389	151959	height	0	8
260	389	151960	logic	1073774592	32768
260	389	151960	buildingId	0	229
260	389	151960	height	0	8
254	390	152735	buildingId	0	229
255	390	152736	logic	1073774592	32768
255	390	152736	buildingId	0	229
255	390	152736	height	0	8
256	390	152737	logic	1073774592	33792
256	390	152737	buildingId	0	229
256	390	152737	height	0	8
257	390	152738	logic	1073774592	33792
257	390	152738	buildingId	0	229
257	390	152738	height	0	8
258	390	152739	logic	1073774592	33792
258	390	152739	buildingId	0	229
258	390	152739	height	0	8
259	390	152740	logic	1073774592	32768
259	390	152740	buildingId	0	229
259	390	152740	height	0	8
260	390	152741	logic	1073774592	32768
260	390	152741	buildingId	0	229
260	390	152741	height	0	8
254	391	153518	buildingId	0	229
255	391	153519	buildingId	0	229
256	391	153520	logic	1073774592	32768
256	391	153520	buildingId	0	229
256	391	153520	height	0	8
257	391	153521	logic	1073774592	33792
257	391	153521	buildingId	0	229
257	391	153521	height	0	8
258	391	153522	logic	1073774592	32768
258	391	153522	buildingId	0	229
258	391	153522	height	0	8
259	391	153523	logic	1073774592	32768
259	391	153523	buildingId	0	229
259	391	153523	height	0	8
260	391	153524	logic	1073774592	32768
260	391	153524	buildingId	0	229
260	391	153524	height	0	8
254	392	154303	buildingId	0	229
255	392	154304	buildingId	0	229
256	392	154305	logic	1073774592	32768
256	392	154305	buildingId	0	229
256	392	154305	height	0	8
257	392	154306	logic	1073774592	32768
257	392	154306	buildingId	0	229
257	392	154306	height	0	8
258	392	154307	logic	1073774592	32768
258	392	154307	buildingId	0	229
258	392	154307	height	0	8
259	392	154308	logic	1073774592	32768
259	392	154308	buildingId	0	229
259	392	154308	height	0	8
260	392	154309	logic	1073774592	32768
260	392	154309	buildingId	0	229
260	392	154309	height	0	8
254	393	155090	buildingId	0	229
255	393	155091	buildingId	0	229
