# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# keepX=243
# keepY=398
# nativeOrientation=6
# scale=7
# isFree=False
# selectionPlacementState=1
# selectionAccepted=True
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=3
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=3
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=32.969
# afterScanMilliseconds=11.154
# changedLayerCells=337
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-202549-971-session005-p5-n05.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=1
# sampledRegionComplete=True
x	y	tileId	layer	before	after
235	392	154284	logic2	0	2
245	392	154294	logic2	0	2
246	392	154295	logic2	0	2
247	392	154296	logic2	0	2
234	393	155070	logic2	0	2
246	393	155082	logic2	0	2
247	393	155083	logic2	0	2
233	394	155858	logic2	0	2
247	394	155872	logic2	0	2
248	394	155873	logic2	0	2
232	395	156648	logic2	0	2
248	395	156664	logic2	0	2
249	395	156665	logic2	0	2
231	396	157440	logic2	0	2
249	396	157458	logic2	0	2
250	396	157459	logic2	0	2
230	397	158234	logic2	0	2
237	397	158241	logic2	0	2
250	397	158254	logic2	0	2
251	397	158255	logic2	0	2
229	398	159030	logic2	0	2
230	398	159031	logic2	0	2
235	398	159036	buildingId	0	246
236	398	159037	buildingId	0	246
237	398	159038	buildingId	0	246
238	398	159039	buildingId	0	246
239	398	159040	buildingId	0	246
240	398	159041	buildingId	0	246
241	398	159042	buildingId	0	246
243	398	159044	logic	32768	268468224
243	398	159044	buildingId	0	196
244	398	159045	logic	32768	268468224
244	398	159045	buildingId	0	196
245	398	159046	logic	32768	268468224
245	398	159046	buildingId	0	196
246	398	159047	logic	32768	268468224
246	398	159047	buildingId	0	196
247	398	159048	logic	32768	268468224
247	398	159048	buildingId	0	196
248	398	159049	logic	32768	268468224
248	398	159049	buildingId	0	196
249	398	159050	logic	32768	268468224
249	398	159050	buildingId	0	196
250	398	159051	logic2	0	2
251	398	159052	logic2	0	2
252	398	159053	logic2	0	2
229	399	159829	logic2	0	2
230	399	159830	logic2	0	2
235	399	159835	buildingId	0	246
236	399	159836	buildingId	0	246
237	399	159837	buildingId	0	246
238	399	159838	buildingId	0	246
239	399	159839	buildingId	0	246
240	399	159840	buildingId	0	246
241	399	159841	buildingId	0	246
243	399	159843	logic	32768	268468224
243	399	159843	buildingId	0	196
244	399	159844	logic	0	268435456
244	399	159844	buildingId	0	196
245	399	159845	logic	0	268435456
245	399	159845	buildingId	0	196
246	399	159846	logic	0	268435456
246	399	159846	buildingId	0	196
247	399	159847	logic	0	268435456
247	399	159847	buildingId	0	196
248	399	159848	logic	0	268435456
248	399	159848	buildingId	0	196
249	399	159849	logic	32768	268468224
249	399	159849	buildingId	0	196
250	399	159850	logic2	0	2
251	399	159851	logic2	0	2
252	399	159852	logic2	0	2
253	399	159853	logic2	0	2
229	400	160629	logic2	0	2
230	400	160630	logic2	0	2
235	400	160635	buildingId	0	246
236	400	160636	buildingId	0	246
237	400	160637	buildingId	0	246
238	400	160638	logic	32768	33792
238	400	160638	buildingId	0	246
239	400	160639	buildingId	0	246
240	400	160640	buildingId	0	246
241	400	160641	buildingId	0	246
242	400	160642	logic	32768	33792
242	400	160642	buildingId	0	197
243	400	160643	logic	32768	268468224
243	400	160643	buildingId	0	196
244	400	160644	logic	0	268435456
244	400	160644	buildingId	0	196
245	400	160645	logic	32768	268468224
245	400	160645	buildingId	0	196
246	400	160646	logic	32768	268468224
246	400	160646	buildingId	0	196
247	400	160647	logic	32768	268468224
247	400	160647	buildingId	0	196
248	400	160648	logic	0	268435456
248	400	160648	buildingId	0	196
249	400	160649	logic	32768	268468224
249	400	160649	buildingId	0	196
250	400	160650	logic2	0	2
251	400	160651	logic2	0	2
252	400	160652	logic2	0	2
253	400	160653	logic2	0	2
254	400	160654	logic2	0	2
229	401	161428	logic2	0	2
230	401	161429	logic2	0	2
235	401	161434	buildingId	0	246
236	401	161435	buildingId	0	246
237	401	161436	logic	32768	33792
237	401	161436	buildingId	0	246
238	401	161437	logic	32768	33792
238	401	161437	buildingId	0	246
239	401	161438	logic	32768	33792
239	401	161438	buildingId	0	246
240	401	161439	buildingId	0	246
241	401	161440	buildingId	0	246
242	401	161441	buildingId	0	198
243	401	161442	logic	32768	268468224
243	401	161442	buildingId	0	196
244	401	161443	logic	0	268435456
244	401	161443	buildingId	0	196
245	401	161444	logic	32768	268468224
