# capturedAtLocal=2026-09-24T22:11:54.8582216+02:00
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=2
# candidateId=0
# aivName=Default 2
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\sentinel2.aivjson
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# orientation=6
# originX=194
# originY=354
# keepX=237
# keepY=397
# evaluatedCells=2228
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=2228
# validatorBlockedCells=0
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
17	40	234	371	25	25	53	0	False
17	41	235	371	25	25	53	0	False
17	42	236	371	25	25	53	0	False
17	43	237	371	25	25	53	0	False
17	44	238	371	25	25	53	0	False
17	45	239	371	25	25	53	0	False
17	46	240	371	25	25	53	0	False
17	47	241	371	25	25	53	0	False
17	48	242	371	25	25	53	0	False
17	49	243	371	25	25	53	0	False
17	50	244	371	25	25	53	0	False
17	51	245	371	25	25	53	0	False
17	52	246	371	25	25	53	0	False
17	53	247	371	25	25	53	0	False
17	54	248	371	25	25	53	0	False
17	55	249	371	25	25	53	0	False
17	56	250	371	25	25	53	0	False
17	57	251	371	25	25	53	0	False
17	58	252	371	25	25	53	0	False
17	59	253	371	25	25	53	0	False
17	60	254	371	25	25	53	0	False
17	61	255	371	25	25	53	0	False
17	62	256	371	25	25	53	0	False
17	63	257	371	25	25	53	0	False
17	64	258	371	25	25	53	0	False
17	65	259	371	25	25	53	0	False
17	66	260	371	25	25	53	0	False
17	67	261	371	25	25	53	0	False
17	68	262	371	25	25	51	0	False
18	24	218	372	-1	86	20	0	False
18	25	219	372	-1	86	20	0	False
18	26	220	372	-1	86	20	0	False
18	27	221	372	-1	86	20	0	False
18	28	222	372	-1	86	20	0	False
18	29	223	372	79	79	20	0	False
18	30	224	372	79	79	20	0	False
18	31	225	372	79	79	20	0	False
18	32	226	372	79	79	20	0	False
18	33	227	372	79	79	20	0	False
18	39	233	372	106	106	91	0	False
18	40	234	372	25	25	55	0	False
18	41	235	372	25	25	103	0	False
18	42	236	372	25	25	106	0	False
18	43	237	372	25	25	106	0	False
18	44	238	372	25	25	106	0	False
18	45	239	372	25	25	106	0	False
18	46	240	372	25	25	106	0	False
18	47	241	372	25	25	106	0	False
18	48	242	372	25	25	106	0	False
18	49	243	372	25	25	106	0	False
18	50	244	372	25	25	106	0	False
18	51	245	372	25	25	106	0	False
18	52	246	372	25	25	106	0	False
18	53	247	372	25	25	106	0	False
18	54	248	372	25	25	106	0	False
18	55	249	372	25	25	106	0	False
18	56	250	372	25	25	106	0	False
18	57	251	372	25	25	106	0	False
18	58	252	372	25	25	106	0	False
18	59	253	372	25	25	106	0	False
18	60	254	372	25	25	106	0	False
18	61	255	372	25	25	106	0	False
18	62	256	372	25	25	106	0	False
18	63	257	372	25	25	106	0	False
18	64	258	372	25	25	106	0	False
18	65	259	372	25	25	106	0	False
18	66	260	372	25	25	106	0	False
18	67	261	372	25	25	105	0	False
18	68	262	372	25	25	51	0	False
19	24	218	373	-1	86	20	0	False
19	25	219	373	-1	86	20	0	False
19	26	220	373	-1	86	20	0	False
19	27	221	373	-1	86	20	0	False
19	28	222	373	-1	86	20	0	False
19	29	223	373	79	79	20	0	False
19	30	224	373	79	79	20	0	False
19	31	225	373	79	79	20	0	False
19	32	226	373	79	79	20	0	False
19	33	227	373	79	79	20	0	False
19	38	232	373	106	106	91	0	False
19	39	233	373	106	106	91	0	False
19	40	234	373	106	106	91	0	False
19	41	235	373	25	25	56	0	False
19	42	236	373	25	25	103	0	False
19	46	240	373	113	113	128	0	False
19	47	241	373	113	113	128	0	False
19	48	242	373	113	113	128	0	False
19	49	243	373	113	113	128	0	False
19	50	244	373	113	113	128	0	False
19	51	245	373	113	113	128	0	False
19	54	248	373	181	181	112	0	False
19	66	260	373	25	25	105	0	False
19	67	261	373	25	25	50	0	False
20	24	218	374	-1	86	20	0	False
20	25	219	374	-1	86	20	0	False
20	26	220	374	-1	86	20	0	False
20	27	221	374	-1	86	20	0	False
20	28	222	374	-1	86	20	0	False
20	29	223	374	79	79	20	0	False
20	30	224	374	79	79	20	0	False
20	31	225	374	79	79	20	0	False
20	32	226	374	79	79	20	0	False
20	33	227	374	79	79	20	0	False
20	38	232	374	106	106	91	0	False
20	39	233	374	106	106	91	0	False
20	40	234	374	106	106	91	0	False
20	41	235	374	106	106	91	0	False
20	42	236	374	25	25	57	0	False
20	43	237	374	25	25	103	0	False
20	46	240	374	113	113	128	0	False
20	47	241	374	113	113	128	0	False
20	48	242	374	113	113	128	0	False
20	49	243	374	113	113	128	0	False
20	50	244	374	113	113	128	0	False
20	51	245	374	113	113	128	0	False
20	54	248	374	182	182	111	0	False
20	56	250	374	95	95	45	0	False
20	57	251	374	95	95	45	0	False
20	58	252	374	95	95	45	0	False
20	59	253	374	95	95	45	0	False
