# capturedAtLocal=2026-09-24T22:12:44.5393419+02:00
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=2
# candidateId=0
# aivName=Default 8
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf8.aivjson
# aivJsonSha256=0e59ca19225bfa86472a4b2a939ac8c97a1d6301e0fcc00b36cb998dd36eedd2
# orientation=6
# originX=235
# originY=352
# keepX=278
# keepY=395
# evaluatedCells=2068
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=2068
# validatorBlockedCells=0
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
14	24	259	366	99	99	187	0	False
15	26	261	367	99	99	187	0	False
15	28	263	367	99	99	187	0	False
15	33	268	367	99	99	187	0	False
15	36	271	367	99	99	187	0	False
15	37	272	367	99	99	187	0	False
15	44	279	367	99	99	187	0	False
16	24	259	368	99	99	187	0	False
16	28	263	368	99	99	187	0	False
16	32	267	368	99	99	187	0	False
16	40	275	368	99	99	187	0	False
16	41	276	368	99	99	187	0	False
16	51	286	368	99	99	187	0	False
17	20	255	369	99	99	187	0	False
17	26	261	369	99	99	187	0	False
17	27	262	369	99	99	187	0	False
17	29	264	369	99	99	187	0	False
17	32	267	369	99	99	187	0	False
17	34	269	369	99	99	187	0	False
17	35	270	369	99	99	187	0	False
17	39	274	369	92	92	78	0	False
17	40	275	369	92	92	78	0	False
17	41	276	369	92	92	78	0	False
17	42	277	369	92	92	78	0	False
17	43	278	369	92	92	78	0	False
17	47	282	369	99	99	187	0	False
17	49	284	369	99	99	187	0	False
17	57	292	369	99	99	187	0	False
18	20	255	370	99	99	187	0	False
18	22	257	370	99	99	187	0	False
18	25	260	370	99	99	187	0	False
18	26	261	370	99	99	187	0	False
18	27	262	370	99	99	187	0	False
18	29	264	370	99	99	187	0	False
18	30	265	370	99	99	187	0	False
18	34	269	370	99	99	187	0	False
18	35	270	370	99	99	187	0	False
18	39	274	370	92	92	78	0	False
18	40	275	370	92	92	78	0	False
18	41	276	370	92	92	78	0	False
18	42	277	370	92	92	78	0	False
18	43	278	370	92	92	78	0	False
18	46	281	370	99	99	187	0	False
18	53	288	370	99	99	187	0	False
18	54	289	370	99	99	187	0	False
18	56	291	370	99	99	187	0	False
18	58	293	370	99	99	187	0	False
18	60	295	370	99	99	187	0	False
18	63	298	370	99	99	187	0	False
18	65	300	370	99	99	187	0	False
18	67	302	370	99	99	187	0	False
19	24	259	371	99	99	187	0	False
19	35	270	371	99	99	187	0	False
19	37	272	371	99	99	187	0	False
19	39	274	371	92	92	78	0	False
19	40	275	371	92	92	78	0	False
19	41	276	371	92	92	78	0	False
19	42	277	371	92	92	78	0	False
19	43	278	371	92	92	78	0	False
19	44	279	371	99	99	187	0	False
19	48	283	371	99	99	187	0	False
19	56	291	371	99	99	187	0	False
19	58	293	371	99	99	187	0	False
19	61	296	371	99	99	187	0	False
19	68	303	371	99	99	187	0	False
20	20	255	372	99	99	187	0	False
20	22	257	372	99	99	187	0	False
20	23	258	372	99	99	187	0	False
20	24	259	372	99	99	187	0	False
20	33	268	372	99	99	335	0	False
20	39	274	372	92	92	78	0	False
20	40	275	372	92	92	78	0	False
20	41	276	372	92	92	78	0	False
20	42	277	372	92	92	78	0	False
20	43	278	372	92	92	78	0	False
20	50	285	372	99	99	187	0	False
20	54	289	372	99	99	187	0	False
20	59	294	372	99	99	187	0	False
20	60	295	372	99	99	187	0	False
20	62	297	372	99	99	187	0	False
20	63	298	372	99	99	187	0	False
20	64	299	372	99	99	187	0	False
20	70	305	372	99	99	185	0	False
21	20	255	373	99	99	187	0	False
21	22	257	373	99	99	187	0	False
21	26	261	373	99	99	335	0	False
21	27	262	373	99	99	335	0	False
21	29	264	373	99	99	335	0	False
21	31	266	373	99	99	335	0	False
21	39	274	373	92	92	78	0	False
21	40	275	373	92	92	78	0	False
21	41	276	373	92	92	78	0	False
21	42	277	373	92	92	78	0	False
21	43	278	373	92	92	78	0	False
21	48	283	373	99	99	187	0	False
21	49	284	373	99	99	187	0	False
21	60	295	373	99	99	335	0	False
21	62	297	373	99	99	187	0	False
21	73	308	373	99	99	185	0	False
22	20	255	374	99	99	187	0	False
22	27	262	374	82	82	48	0	False
22	28	263	374	82	82	48	0	False
22	29	264	374	82	82	48	0	False
22	30	265	374	82	82	48	0	False
22	31	266	374	50	50	47	0	False
22	32	267	374	50	50	47	0	False
22	33	268	374	50	50	47	0	False
22	34	269	374	50	50	47	0	False
22	38	273	374	99	99	335	0	False
22	74	309	374	99	99	185	0	False
23	23	258	375	99	99	187	0	False
23	24	259	375	99	99	335	0	False
23	27	262	375	82	82	48	0	False
23	28	263	375	82	82	48	0	False
23	29	264	375	82	82	48	0	False
23	30	265	375	82	82	48	0	False
23	31	266	375	50	50	47	0	False
23	32	267	375	50	50	47	0	False
23	33	268	375	50	50	47	0	False
