# capturedAtLocal=2026-09-24T22:12:09.2485309+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=6
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\sentinel2.aivjson
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# keepX=237
# keepY=397
# captureSequence=1
# playerId=2
# frameCount=134
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=4669
# buildingRecordChanges=46
# beforeCaptureMilliseconds=1083,9
# afterCaptureMilliseconds=1229,8
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T22:12:09.2485309+02:00	2026-09-24T22:12:09.2580398+02:00	5	0	1	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
2	2026-09-24T22:12:09.2700484+02:00	2026-09-24T22:12:09.2785550+02:00	5	1	1	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
3	2026-09-24T22:12:09.2880637+02:00	2026-09-24T22:12:09.2965689+02:00	5	2	1	52	True	1	0	1	164639	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
4	2026-09-24T22:12:09.3050708+02:00	2026-09-24T22:12:09.3130756+02:00	5	3	1	80	False	1	0	1	165422	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
5	2026-09-24T22:12:09.3235872+02:00	2026-09-24T22:12:09.3310936+02:00	5	4	1	77	False	1	0	1	158259	0	1	1	0x7FFAAE2DEDB0	True	25	0	0	25	
6	2026-09-24T22:12:09.3406032+02:00	2026-09-24T22:12:09.3486125+02:00	5	5	1	54	False	1	0	1	165406	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
7	2026-09-24T22:12:09.3581188+02:00	2026-09-24T22:12:09.3661274+02:00	5	6	1	50	False	1	0	1	166186	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
8	2026-09-24T22:12:09.3756348+02:00	2026-09-24T22:12:09.3851410+02:00	5	7	1	25	False	1	0	10	500	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
9	2026-09-24T22:12:09.3946505+02:00	2026-09-24T22:12:09.4026555+02:00	5	8	1	25	False	1	0	12	617	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
10	2026-09-24T22:12:09.4121623+02:00	2026-09-24T22:12:09.4206707+02:00	5	9	1	81	False	1	0	1	166954	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
11	2026-09-24T22:12:09.4291786+02:00	2026-09-24T22:12:09.4376842+02:00	5	10	1	54	False	1	0	1	149611	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
12	2026-09-24T22:12:09.4461888+02:00	2026-09-24T22:12:09.4551952+02:00	5	11	1	25	False	1	0	1	1017	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
13	2026-09-24T22:12:09.4647019+02:00	2026-09-24T22:12:09.4732093+02:00	5	12	1	25	False	1	0	1	936	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
14	2026-09-24T22:12:09.4817166+02:00	2026-09-24T22:12:09.4902226+02:00	5	13	1	25	False	1	0	2	933	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
15	2026-09-24T22:12:09.5047337+02:00	2026-09-24T22:12:09.5128781+02:00	5	14	1	25	False	1	0	2	877	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
16	2026-09-24T22:12:09.5223860+02:00	2026-09-24T22:12:09.5298909+02:00	5	15	1	25	False	1	0	3	868	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
17	2026-09-24T22:12:09.5403975+02:00	2026-09-24T22:12:09.5479023+02:00	5	16	1	25	False	1	0	14	754	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
18	2026-09-24T22:12:09.5577398+02:00	2026-09-24T22:12:09.5657455+02:00	5	17	1	50	False	1	0	1	166182	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
19	2026-09-24T22:12:09.5810754+02:00	2026-09-24T22:12:09.5885835+02:00	5	18	1	82	False	1	0	1	157444	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
20	2026-09-24T22:12:09.5980857+02:00	2026-09-24T22:12:09.6055964+02:00	5	19	1	54	False	1	0	1	151951	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
21	2026-09-24T22:12:09.6150962+02:00	2026-09-24T22:12:09.6230990+02:00	5	20	1	79	False	1	0	1	138952	0	1	1	0x7FFAAE2DEDB0	True	100	0	0	100	
22	2026-09-24T22:12:09.6326056+02:00	2026-09-24T22:12:09.6407483+02:00	5	21	1	25	False	1	0	2	434	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
23	2026-09-24T22:12:09.6497612+02:00	2026-09-24T22:12:09.6582677+02:00	5	22	1	25	False	1	0	1	433	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
24	2026-09-24T22:12:09.6672824+02:00	2026-09-24T22:12:09.6747874+02:00	5	23	1	25	False	1	0	1	451	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
25	2026-09-24T22:12:09.6842960+02:00	2026-09-24T22:12:09.6923018+02:00	5	24	1	25	False	1	0	2	478	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
26	2026-09-24T22:12:09.7018106+02:00	2026-09-24T22:12:09.7093177+02:00	5	25	1	25	False	1	0	2	512	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
27	2026-09-24T22:12:09.7188248+02:00	2026-09-24T22:12:09.7263311+02:00	5	26	1	25	False	1	0	3	519	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
28	2026-09-24T22:12:09.7358380+02:00	2026-09-24T22:12:09.7428399+02:00	5	27	1	25	False	1	0	14	538	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
29	2026-09-24T22:12:09.7528491+02:00	2026-09-24T22:12:09.7613629+02:00	5	28	1	54	False	1	0	1	157452	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
30	2026-09-24T22:12:09.7698620+02:00	2026-09-24T22:12:09.7783710+02:00	5	29	1	25	False	1	0	13	855	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
31	2026-09-24T22:12:09.7878775+02:00	2026-09-24T22:12:09.7958866+02:00	5	30	1	25	False	1	0	3	1021	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
32	2026-09-24T22:12:09.8043906+02:00	2026-09-24T22:12:09.8128982+02:00	5	31	1	25	False	1	0	2	1026	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
33	2026-09-24T22:12:09.8214058+02:00	2026-09-24T22:12:09.8299125+02:00	5	32	1	25	False	1	0	2	1030	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
34	2026-09-24T22:12:09.8384196+02:00	2026-09-24T22:12:09.8459238+02:00	5	33	1	25	False	1	0	1	1033	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
35	2026-09-24T22:12:09.8549304+02:00	2026-09-24T22:12:09.8629349+02:00	5	34	1	25	False	1	0	2	1060	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
36	2026-09-24T22:12:09.8729492+02:00	2026-09-24T22:12:09.8814565+02:00	5	35	1	25	False	1	0	28	1062	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
37	2026-09-24T22:12:09.8899653+02:00	2026-09-24T22:12:09.8984719+02:00	5	36	1	54	False	1	0	1	146540	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
38	2026-09-24T22:12:09.9079781+02:00	2026-09-24T22:12:09.9159888+02:00	5	37	1	85	False	1	0	1	161434	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
39	2026-09-24T22:12:09.9254960+02:00	2026-09-24T22:12:09.9334982+02:00	5	38	1	83	False	1	0	1	157436	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
40	2026-09-24T22:12:09.9430049+02:00	2026-09-24T22:12:09.9510145+02:00	5	39	1	25	False	1	0	1	1034	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
41	2026-09-24T22:12:09.9605213+02:00	2026-09-24T22:12:09.9690300+02:00	5	40	1	25	False	1	0	1	1032	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
42	2026-09-24T22:12:09.9775373+02:00	2026-09-24T22:12:09.9860416+02:00	5	41	1	25	False	1	0	2	1028	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
43	2026-09-24T22:12:09.9955485+02:00	2026-09-24T22:12:10.0035505+02:00	5	42	1	25	False	1	0	2	1024	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
44	2026-09-24T22:12:10.0130579+02:00	2026-09-24T22:12:10.0205652+02:00	5	43	1	25	False	1	0	3	1018	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
45	2026-09-24T22:12:10.0300715+02:00	2026-09-24T22:12:10.0375786+02:00	5	44	1	25	False	1	0	14	717	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
46	2026-09-24T22:12:10.0470828+02:00	2026-09-24T22:12:10.0550888+02:00	5	45	1	95	False	1	0	1	140475	0	1	1	0x7FFAAE2DEDB0	True	36	0	0	36	
47	2026-09-24T22:12:10.0645956+02:00	2026-09-24T22:12:10.0731100+02:00	5	46	1	25	False	1	0	13	211	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
48	2026-09-24T22:12:10.0826177+02:00	2026-09-24T22:12:10.0901243+02:00	5	47	1	25	False	1	0	3	194	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
49	2026-09-24T22:12:10.0996311+02:00	2026-09-24T22:12:10.1081398+02:00	5	48	1	25	False	1	0	2	189	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
50	2026-09-24T22:12:10.1166471+02:00	2026-09-24T22:12:10.1251488+02:00	5	49	1	25	False	1	0	2	185	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
51	2026-09-24T22:12:10.1331536+02:00	2026-09-24T22:12:10.1416603+02:00	5	50	1	25	False	1	0	1	182	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
