# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=2
# keepX=269
# keepY=398
# nativeOrientation=6
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
10	before	0	0	0	0	0	0	0	0	0
10	after	1	41	2	179	179	159070	7	269	398
11	before	0	0	0	0	0	0	0	0	0
11	after	1	71	2	180	179	160668	1	268	400
12	before	0	0	0	0	0	0	0	0	0
12	after	1	73	2	181	179	161467	1	268	401
13	before	0	0	0	0	0	0	0	0	0
13	after	1	72	2	182	179	162264	1	268	402
14	before	0	0	0	0	0	0	0	0	0
14	after	1	55	2	183	179	159062	7	261	398
15	before	0	0	0	0	0	0	0	0	0
15	after	1	10	2	184	184	164644	2	269	405
16	before	0	0	0	0	0	0	0	0	0
16	after	1	10	2	185	184	164647	2	272	405
17	before	0	0	0	0	0	0	0	0	0
17	after	1	10	2	186	184	167005	2	269	408
18	before	0	0	0	0	0	0	0	0	0
18	after	1	10	2	187	184	167008	2	272	408
