# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=4
# keepX=261
# keepY=379
# nativeOrientation=6
# scale=7
# isFree=False
# selectionPlacementState=1
# selectionAccepted=True
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nizar6.aivjson
# aivJsonSha256=1d86b141261297706ad65f60d870a3ae30a8c0da05b6b3b1d4d923c702cb11ad
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.562
# afterScanMilliseconds=10.113
# changedLayerCells=376
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-221155-532-session001-p4-n04.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
253	373	139729	logic2	0	2
261	373	139737	logic2	0	2
262	373	139738	logic2	0	2
263	373	139739	logic2	0	2
264	373	139740	logic2	0	2
265	373	139741	logic2	0	2
266	373	139742	logic2	0	2
267	373	139743	logic2	0	2
252	374	140477	logic2	0	2
262	374	140487	logic2	0	2
263	374	140488	logic2	0	2
264	374	140489	logic2	0	2
265	374	140490	logic2	0	2
266	374	140491	logic2	0	2
267	374	140492	logic2	0	2
268	374	140493	logic2	0	2
251	375	141227	logic2	0	2
263	375	141239	logic2	0	2
264	375	141240	logic2	0	2
265	375	141241	logic2	0	2
266	375	141242	logic2	0	2
267	375	141243	logic2	0	2
268	375	141244	logic2	0	2
269	375	141245	logic2	0	2
250	376	141979	logic2	0	2
264	376	141993	logic2	0	2
265	376	141994	logic2	0	2
266	376	141995	logic2	0	2
267	376	141996	logic2	0	2
268	376	141997	logic2	0	2
269	376	141998	logic2	0	2
270	376	141999	logic2	0	2
249	377	142733	logic2	0	2
265	377	142749	logic2	0	2
266	377	142750	logic2	0	2
267	377	142751	logic2	0	2
268	377	142752	logic2	0	2
269	377	142753	logic2	0	2
270	377	142754	logic2	0	2
271	377	142755	logic2	0	2
248	378	143489	logic2	0	2
266	378	143507	logic2	0	2
267	378	143508	logic2	0	2
268	378	143509	logic2	0	2
269	378	143510	logic2	0	2
270	378	143511	logic2	0	2
271	378	143512	logic2	0	2
272	378	143513	logic2	0	2
247	379	144247	logic2	0	2
253	379	144253	buildingId	0	32
254	379	144254	logic2	0	2
254	379	144254	buildingId	0	32
255	379	144255	buildingId	0	32
256	379	144256	buildingId	0	32
257	379	144257	buildingId	0	32
258	379	144258	buildingId	0	32
259	379	144259	buildingId	0	32
261	379	144261	logic	32768	268468224
261	379	144261	buildingId	0	28
262	379	144262	logic	32768	268468224
262	379	144262	buildingId	0	28
