# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# keepX=258
# keepY=417
# nativeOrientation=15
# scale=7
# isFree=False
# selectionPlacementState=0
# selectionAccepted=False
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=<none>
# aivJson=<no accepted AIV>
# aivJsonSha256=<not-available>
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=4
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=4
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=7.875
# afterScanMilliseconds=9.068
# changedLayerCells=410
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-221314-606-session005-p5-n05.records.tsv
# newBuildingCells=105
# replacedBuildingCells=12
# clearedBuildingCells=88
# sampledRegionComplete=True
x	y	tileId	layer	before	after
258	417	173969	logic	32768	268468224
258	417	173969	buildingId	0	62
259	417	173970	logic	32768	268468224
259	417	173970	buildingId	0	62
260	417	173971	logic	32768	268468224
260	417	173971	buildingId	0	62
261	417	173972	logic	32768	268468224
261	417	173972	buildingId	0	62
262	417	173973	logic	32768	268468224
262	417	173973	buildingId	0	62
263	417	173974	logic	32768	268468224
263	417	173974	buildingId	0	62
264	417	173975	logic	32768	268468224
264	417	173975	buildingId	0	62
258	418	174734	logic	32768	268468224
258	418	174734	buildingId	0	62
259	418	174735	logic	32768	268468224
259	418	174735	buildingId	0	62
260	418	174736	logic	32776	268468224
260	418	174736	buildingId	0	62
260	418	174736	height	4	8
261	418	174737	logic	32768	268468224
261	418	174737	buildingId	0	62
262	418	174738	logic	32768	268468224
262	418	174738	buildingId	0	62
263	418	174739	logic	32768	268468224
263	418	174739	buildingId	0	62
264	418	174740	logic	32768	268468224
264	418	174740	buildingId	0	62
258	419	175497	logic	32776	268468224
258	419	175497	buildingId	0	62
258	419	175497	height	4	8
259	419	175498	logic	32768	268468224
259	419	175498	buildingId	0	62
260	419	175499	logic	32776	268468224
260	419	175499	buildingId	0	62
260	419	175499	height	4	8
261	419	175500	logic	32768	268468224
261	419	175500	buildingId	0	62
262	419	175501	logic	32776	268468224
262	419	175501	buildingId	0	62
262	419	175501	height	4	8
263	419	175502	logic	32768	268468224
263	419	175502	buildingId	0	62
264	419	175503	logic	32776	268468224
264	419	175503	buildingId	0	62
264	419	175503	height	4	8
265	419	175504	logic	0	1282
265	419	175504	buildingId	0	368
265	419	175504	height	8	18
265	419	175504	wallOwner	2	4
266	419	175505	logic	0	1282
266	419	175505	buildingId	0	368
266	419	175505	height	8	18
266	419	175505	wallOwner	2	4
267	419	175506	logic	0	258
267	419	175506	height	8	18
267	419	175506	wallOwner	2	4
268	419	175507	logic	0	1282
268	419	175507	buildingId	0	369
268	419	175507	height	8	18
268	419	175507	wallOwner	2	4
269	419	175508	logic	0	1282
269	419	175508	buildingId	0	369
269	419	175508	height	8	18
269	419	175508	wallOwner	2	4
258	420	176258	logic	32768	268468224
258	420	176258	buildingId	0	62
259	420	176259	logic	32768	268468224
259	420	176259	buildingId	0	62
260	420	176260	logic	32768	268468224
260	420	176260	buildingId	0	62
261	420	176261	logic	32768	268468224
261	420	176261	buildingId	0	62
262	420	176262	logic	32768	268468224
262	420	176262	buildingId	0	62
263	420	176263	logic	32776	268468224
263	420	176263	buildingId	0	62
263	420	176263	height	4	8
264	420	176264	logic	32768	268468224
264	420	176264	buildingId	0	62
265	420	176265	logic	1024	1282
265	420	176265	buildingId	62	368
265	420	176265	height	8	18
265	420	176265	wallOwner	2	4
266	420	176266	logic	33792	34050
266	420	176266	buildingId	62	368
266	420	176266	height	8	18
266	420	176266	wallOwner	2	4
267	420	176267	logic	33792	33026
267	420	176267	buildingId	62	0
267	420	176267	height	8	18
267	420	176267	wallOwner	2	4
268	420	176268	logic	33792	34050
268	420	176268	buildingId	62	369
268	420	176268	height	8	18
268	420	176268	wallOwner	2	4
269	420	176269	logic	1024	1282
269	420	176269	buildingId	62	369
269	420	176269	height	8	18
269	420	176269	wallOwner	2	4
270	420	176270	buildingId	63	0
271	420	176271	buildingId	63	0
272	420	176272	buildingId	63	0
273	420	176273	buildingId	63	0
274	420	176274	buildingId	63	0
258	421	177017	logic	1073774592	268468224
258	421	177017	buildingId	0	62
258	421	177017	height	0	8
259	421	177018	logic	32768	268468224
259	421	177018	buildingId	0	62
260	421	177019	logic	32768	268468224
260	421	177019	buildingId	0	62
261	421	177020	logic	32776	268468224
261	421	177020	buildingId	0	62
261	421	177020	height	4	8
262	421	177021	logic	32768	268468224
262	421	177021	buildingId	0	62
263	421	177022	logic	32768	268468224
263	421	177022	buildingId	0	62
264	421	177023	logic	32768	268468224
264	421	177023	buildingId	0	62
265	421	177024	logic	1024	258
265	421	177024	buildingId	62	0
265	421	177024	height	8	18
265	421	177024	wallOwner	2	4
266	421	177025	logic	33792	33026
266	421	177025	buildingId	62	0
266	421	177025	height	8	18
266	421	177025	wallOwner	2	4
267	421	177026	logic	33792	33026
267	421	177026	buildingId	62	0
267	421	177026	height	8	18
267	421	177026	wallOwner	2	4
268	421	177027	logic	33792	33026
268	421	177027	buildingId	62	0
268	421	177027	height	8	18
268	421	177027	wallOwner	2	4
269	421	177028	logic	1024	258
269	421	177028	buildingId	62	0
269	421	177028	height	8	18
269	421	177028	wallOwner	2	4
270	421	177029	buildingId	63	0
271	421	177030	buildingId	63	0
272	421	177031	buildingId	63	0
273	421	177032	buildingId	63	0
274	421	177033	buildingId	63	0
258	422	177774	logic	1073774592	268468224
258	422	177774	buildingId	0	62
258	422	177774	height	0	8
259	422	177775	logic	1073774592	268468224
259	422	177775	buildingId	0	62
259	422	177775	height	0	8
260	422	177776	logic	32768	268468224
260	422	177776	buildingId	0	62
261	422	177777	logic	32776	268468224
261	422	177777	buildingId	0	62
261	422	177777	height	4	8
262	422	177778	logic	32768	268468224
262	422	177778	buildingId	0	62
263	422	177779	logic	32768	268468224
263	422	177779	buildingId	0	62
264	422	177780	logic	32768	268468224
264	422	177780	buildingId	0	62
265	422	177781	logic	1024	1282
265	422	177781	buildingId	62	370
265	422	177781	height	8	18
265	422	177781	wallOwner	2	4
266	422	177782	logic	33792	34050
266	422	177782	buildingId	62	370
266	422	177782	height	8	18
266	422	177782	wallOwner	2	4
267	422	177783	logic	33792	33026
267	422	177783	buildingId	62	0
267	422	177783	height	8	18
267	422	177783	wallOwner	2	4
268	422	177784	logic	33792	34050
268	422	177784	buildingId	62	371
268	422	177784	height	8	18
268	422	177784	wallOwner	2	4
269	422	177785	logic	1024	1282
269	422	177785	buildingId	62	371
269	422	177785	height	8	18
269	422	177785	wallOwner	2	4
270	422	177786	buildingId	63	0
271	422	177787	buildingId	63	0
272	422	177788	logic	33792	32768
272	422	177788	buildingId	63	0
273	422	177789	buildingId	63	0
274	422	177790	buildingId	63	0
258	423	178529	logic	1073774592	268468224
258	423	178529	buildingId	0	62
258	423	178529	height	0	8
259	423	178530	logic	1073774600	268468224
