"CaseId","Session","PlayerId","Rotation","Classification","NativeScore","NativePercent","NativeBlocked","NativeGridRows","PriorChangedTileCount","PriorChangedReadCount","FirstPriorChangedReadTileId","FirstUnavailableReason","FirstCellDifference","CellTrace"
"oracle-001-01-default-2-r270-map-load-001","1","2","270","ExactMatch","999999","100","0","2228","0","0","","","","oracle-cell-trace-20260924-221154-858-p2-c0-r6-keep237-397.tsv"
"oracle-002-01-default-8-r270-map-load-001","1","3","270","NotEvaluable","6","94","106","2068","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221154-881-p3-c0-r6-keep278-395.tsv"
"oracle-002-02-default-8-r0-map-load-001","1","3","0","NotEvaluable","2","94","124","2068","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221154-882-p3-c0-r0-keep278-395.tsv"
"oracle-002-03-default-8-r90-map-load-001","1","3","90","NotEvaluable","39","96","75","2068","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221154-883-p3-c0-r2-keep278-395.tsv"
"oracle-002-04-default-8-r180-map-load-001","1","3","180","NotEvaluable","4","95","91","2068","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221154-883-p3-c0-r4-keep278-395.tsv"
"oracle-003-01-default-6-r270-map-load-001","1","4","270","NotEvaluable","14","94","122","2352","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221154-904-p4-c0-r6-keep254-379.tsv"
"oracle-003-02-default-6-r0-map-load-001","1","4","0","NotEvaluable","13","92","175","2352","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221154-905-p4-c0-r0-keep254-379.tsv"
"oracle-003-03-default-6-r90-map-load-001","1","4","90","NotEvaluable","7","93","152","2352","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221154-906-p4-c0-r2-keep254-379.tsv"
"oracle-003-04-default-6-r180-map-load-001","1","4","180","NotEvaluable","14","93","162","2352","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221154-907-p4-c0-r4-keep254-379.tsv"
"oracle-004-01-default-7-r270-map-load-001","1","5","270","NotEvaluable","999999","100","0","1770","0","0","","An earlier AI start may clear a connected building record: rebuilt tile (253,379) buildingId=14 owner=0 near AI start owner=1","","oracle-cell-trace-20260924-221154-928-p5-c0-r6-keep258-417.tsv"
"oracle-005-01-default-2-r270-map-load-002","2","2","270","ExactMatch","999999","100","0","2228","0","0","","","","oracle-cell-trace-20260924-221209-228-p2-c0-r6-keep237-397.tsv"
"oracle-006-01-default-8-r270-map-load-002","2","3","270","NotEvaluable","0","85","290","2068","2061","184","138243","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-588-p3-c0-r6-keep278-395.tsv"
"oracle-006-02-default-8-r0-map-load-002","2","3","0","NotEvaluable","0","82","361","2068","2061","237","142742","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-589-p3-c0-r0-keep278-395.tsv"
"oracle-006-03-default-8-r90-map-load-002","2","3","90","NotEvaluable","0","89","218","2068","2061","143","143499","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-590-p3-c0-r2-keep278-395.tsv"
"oracle-006-04-default-8-r180-map-load-002","2","3","180","NotEvaluable","0","89","223","2068","2061","132","151979","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-591-p3-c0-r4-keep278-395.tsv"
"oracle-007-01-default-6-r270-map-load-002","2","4","270","NotEvaluable","0","67","772","2352","2061","670","138220","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-624-p4-c0-r6-keep254-379.tsv"
"oracle-007-02-default-6-r0-map-load-002","2","4","0","NotEvaluable","0","65","803","2352","2061","663","138219","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-625-p4-c0-r0-keep254-379.tsv"
"oracle-007-03-default-6-r90-map-load-002","2","4","90","NotEvaluable","0","75","584","2352","2061","432","138223","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-626-p4-c0-r2-keep254-379.tsv"
"oracle-007-04-default-6-r180-map-load-002","2","4","180","NotEvaluable","0","69","728","2352","2061","596","138221","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-627-p4-c0-r4-keep254-379.tsv"
"oracle-008-01-default-7-r270-map-load-002","2","5","270","NotEvaluable","0","85","254","1770","2061","254","169330","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-648-p5-c0-r6-keep258-417.tsv"
"oracle-008-02-default-7-r0-map-load-002","2","5","0","NotEvaluable","0","89","193","1770","2061","168","166209","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-649-p5-c0-r0-keep258-417.tsv"
"oracle-008-03-default-7-r90-map-load-002","2","5","90","NotEvaluable","0","67","580","1770","2061","382","151954","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-650-p5-c0-r2-keep258-417.tsv"
"oracle-008-04-default-7-r180-map-load-002","2","5","180","NotEvaluable","1","57","757","1770","2061","676","158225","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221211-650-p5-c0-r4-keep258-417.tsv"
"oracle-009-01-default-8-r270-map-load-003","3","2","270","ExactMatch","999999","100","0","2068","0","0","","","","oracle-cell-trace-20260924-221230-886-p2-c0-r6-keep278-395.tsv"
"oracle-010-01-default-2-r270-map-load-003","3","3","270","NotEvaluable","6","99","17","2228","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=4","","oracle-cell-trace-20260924-221230-906-p3-c0-r6-keep237-397.tsv"
"oracle-010-02-default-2-r0-map-load-003","3","3","0","NotEvaluable","999999","100","0","2228","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=4","","oracle-cell-trace-20260924-221230-907-p3-c0-r0-keep237-397.tsv"
"oracle-011-01-default-6-r270-map-load-003","3","4","270","NotEvaluable","14","94","126","2352","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221230-928-p4-c0-r6-keep254-379.tsv"
"oracle-011-02-default-6-r0-map-load-003","3","4","0","NotEvaluable","13","93","155","2352","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221230-929-p4-c0-r0-keep254-379.tsv"
"oracle-011-03-default-6-r90-map-load-003","3","4","90","NotEvaluable","14","94","137","2352","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221230-929-p4-c0-r2-keep254-379.tsv"
"oracle-011-04-default-6-r180-map-load-003","3","4","180","NotEvaluable","13","92","174","2352","0","0","","An earlier AI start may clear a connected building record: source tile (261,381) buildingId=15 owner=1 near AI start owner=1","","oracle-cell-trace-20260924-221230-930-p4-c0-r4-keep254-379.tsv"
"oracle-012-01-default-7-r270-map-load-003","3","5","270","NotEvaluable","999999","100","0","1770","0","0","","An earlier AI start may clear a connected building record: rebuilt tile (253,379) buildingId=14 owner=0 near AI start owner=1","","oracle-cell-trace-20260924-221230-962-p5-c0-r6-keep258-417.tsv"
"oracle-013-01-default-8-r270-map-load-004","4","2","270","ExactMatch","999999","100","0","2068","0","0","","","","oracle-cell-trace-20260924-221244-539-p2-c0-r6-keep278-395.tsv"
"oracle-014-01-default-2-r270-map-load-004","4","3","270","NotEvaluable","0","89","240","2228","1850","266","138243","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221250-521-p3-c0-r6-keep237-397.tsv"
"oracle-014-02-default-2-r0-map-load-004","4","3","0","NotEvaluable","28","89","234","2228","1850","298","136755","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221250-522-p3-c0-r0-keep237-397.tsv"
"oracle-014-03-default-2-r90-map-load-004","4","3","90","NotEvaluable","51","80","425","2228","1850","494","139737","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221250-523-p3-c0-r2-keep237-397.tsv"
"oracle-014-04-default-2-r180-map-load-004","4","3","180","NotEvaluable","9","87","281","2228","1850","368","138243","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221250-524-p3-c0-r4-keep237-397.tsv"
"oracle-015-01-default-6-r270-map-load-004","4","4","270","NotEvaluable","0","53","1084","2352","3556","1088","133797","A prior player's native AIV prebuild has already executed; its resulting live tile state cannot be reconstructed exactly from the AIV plan.","","oracle-cell-trace-20260924-221252-902-p4-c0-r6-keep254-379.tsv"
